ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
,,,,,,,,,,,,,,Error,,16.3
1 -- 55 166 4,,,,,,,,,,,,,,Error,4.0,16.3
1-875559-14-0,The Menopause Industry: A Guide to Medicine's Discovery of the Mid-Life Woman,"Coney, Sandra",Spinifex Press,,1993-08,,Paperback,,en,,"Height: 8.5 Inches, Length: 0.98 Inches, Width: 5.46 Inches",0.0,https://images.isbndb.com/covers/91/45/9781875559145.jpg,Success,101.0,16.3
1-875559-14-0,The Menopause Industry: A Guide to Medicine's Discovery of the Mid-Life Woman,"Coney, Sandra",Spinifex Press,,1993-08,,Paperback,,en,,"Height: 8.5 Inches, Length: 0.98 Inches, Width: 5.46 Inches",0.0,https://images.isbndb.com/covers/91/45/9781875559145.jpg,Success,103.0,16.3
0-87975-831-7,The Third Pink Book: A Global View of Lesbian and Gay Liberation and Oppression (New Concepts in Human Sexuality),,Prometheus Books,349.0,1993,"Gay Liberation Movement, Homosexuality, Law And Legislation, Gays, Civil Rights",Hardcover,"Describes the legal and sociopolitical status of lesbians and gays in more than 15 nations, including laws against sodomy, gays in the military, and andgay discrimination measures.",en,,"Height: 9.25 Inches, Length: 6.5 Inches, Weight: 1.4991433816 Pounds, Width: 1.25 Inches",41.98,https://images.isbndb.com/covers/83/18/9780879758318.jpg,Success,74.0,16.3
8-56640-600-5,,,,,,,,,,,,,,Error,83.0,16.3
3-925443-23-1,"Boys And Sports (jungen Und Sport): Boy Photos By Cosidetto, Volume 2",,Vch Publishing,72.0,1993,,Paperback,,de,,,0.0,https://images.isbndb.com/covers/32/37/9783925443237.jpg,Success,73.0,16.3
0-88984-172-1,Bad Imaginings,"Adderson, Caroline",Porcupine's Quill,160.0,1993-10-15,"Short Story Collections, Canadian Fiction",Paperback,"<p>In these ten short stories, Caroline Adderson adopts a brilliant array of perspectives ranging from that of a nineteenth-century prospector, to a chambermaid in WWI Victoria, to two long-time friends trying to sort out the eighties. The intensity of these deeply imagined stories is stunning.</p>",en,First Edition,"Height: 8.77 Inches, Length: 5.6 Inches, Weight: 0.6283174467 Pounds, Width: 0.6 Inches",1.99,https://images.isbndb.com/covers/17/27/9780889841727.jpg,Success,71.0,16.3
1-878067-32-X,Home Movies,"Martinac, Paula",Seal Press,222.0,1993-08-30,"Gay & Lesbian Fiction, Arts & Entertainment - Fiction",Paperback,,en,,"Height: 8.25 Inches, Length: 5.25 Inches, Weight: 0.5291094288 Pounds, Width: 0.5 Inches",1.99,https://images.isbndb.com/covers/73/26/9781878067326.jpg,Success,101.0,16.3
0-89594-641-6,Writing from the Heart: Inspirations and Exercises for Women Who Want to Write,"Newman, Leslea",Crossing Press,198.0,1993-09-01,,Paperback,,en,English Language,"Height: 9 Inches, Length: 6 Inches, Weight: 0.65 Pounds, Width: 0.75 Inches",14.95,https://images.isbndb.com/covers/64/16/9780895946416.jpg,Success,109.0,16.3
0-8075-8491-6,Visions: Stories About Women Artists,"Sills, Leslie, Cassatt, Mary, Saar, Betye",Albert Whitman & Co,58.0,1993,,Hardcover,,en,First Edition,"Height: 9.25 Inches, Length: 11.25 Inches, Weight: 1.25002102554 Pounds, Width: 0.5 Inches",18.95,https://images.isbndb.com/covers/49/10/9780807584910.jpg,Success,84.0,16.3
