ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
0-89594-245-3,The Inner Dance: A Guide to Spiritual and Psychological Unfolding,"Mariechild, Diane",Crossing Pr,180.0,1987,"Spiritual Life, Spiritual Exercises",Paperback,,en,Not Indicated,"Height: 8 Inches, Length: 5.5 Inches, Weight: 0.5 Pounds, Width: 0.5 Inches",10.95,https://images.isbndb.com/covers/24/56/9780895942456.jpg,Success,61,10.3
0-8108-1782-9,Paintings And Drawings (drawings And Graphics),Sue Coe,Scarecrow Pr,162.0,1985,,Hardcover,,en,1,,34.5,https://images.isbndb.com/covers/78/21/9780810817821.jpg,Success,40,10.3
0-931188-43-1,"To Live and to Write: Selections by Japanese Women Writers, 1913-1938",Tanaka,Seal Press,225.0,1993-01-19,,Paperback,,en,First Edition,"Height: 8.25 Inches, Length: 5.5 Inches, Weight: 0.7165023515 Pounds, Width: 0.75 Inches",12.95,https://images.isbndb.com/covers/84/35/9780931188435.jpg,Success,58,10.3
0-394-56143-0,The Radiant Way,"Drabble, Margaret",Knopf,407.0,1987-10-12,,Hardcover,Margaret Drabble.,en,,Weight: 1.3125 Pounds,18.95,https://images.isbndb.com/covers/14/31/9780394561431.jpg,Success,80,10.3
0-937872-29-6,Shelter,"Jensen, Laura",Dragon Gate Pr,105.0,1985-10,,Paperback,By Laura Jensen.,en,F First Edition,"Height: 9.25 Inches, Length: 5.75 Inches, Weight: 0.35 Pounds, Width: 0.5 Inches",7.0,https://images.isbndb.com/covers/22/91/9780937872291.jpg,Success,64,10.3
0-394-54479-X,Until We Meet Again,Elena Poniatowska,Pantheon Books,,1993,Literary Collections,Hardcover,,en,,,16.95,https://images.isbndb.com/covers/47/93/9780394544793.jpg,Success,79,10.3
0-86543-052-7,Under a Soprano Sky,"Sanchez, Sonia",Africa World Pr,101.0,1987,"PS3569.A468 U53 1987, 811/.54",Hardcover,Sonia Sanchez.,en,illustrated edition,"Height: 8.75 Inches, Length: 5.75 Inches, Weight: 0.31 Pounds, Width: 0.5 Inches",0.0,https://images.isbndb.com/covers/05/25/9780865430525.jpg,Success,64,10.3
0-918393-44-2,Perverts by Official Order: The Campaign Against Homosexuals by the United States Navy (Journal of Homosexuality Ser. No. 1),"Murphy, Lawrence",Routledge,354.0,1988-09-08,,Paperback,"<p>This candid book documents for the first time the U.S. Navy’s use of entrapment in pursuit of homosexuals in and around Newport, Rhode Island, during the early twentieth century. This most extensive systematic persecution of gays in American history occurred with the approval of Navy Secretary Josephus Daniels and Assistant Secretary Franklin Roosevelt, as dozens of sailors were ordered to identify and even seduce gay men in order to report their names to the authorities. Noted historian Lawrence Murphy reveals the details of this sordid campaign that ultimately generated a national scandal and first raised issues of gay rights and governmental persecution of homosexuals.</p>",en,,"Height: 8.5 Inches, Length: 6.14 Inches, Weight: 1.433004703 Pounds, Width: 0.8 Inches",62.95,https://images.isbndb.com/covers/34/49/9780918393449.jpg,Success,50,10.3
0-8014-1894-1,Gwen John: The Artist and Her Work,"Taubman, Mary",NCROL,136.0,1986-02-01,"British Art, Painters - Biography",Hardcover,,en,1,"Height: 10.75 Inches, Length: 8.75 Inches, Weight: 1.13317602668 Pounds, Width: 0.5 Inches",21.45,https://images.isbndb.com/covers/89/45/9780801418945.jpg,Success,39,10.3
0-920316-64-4,,,,,,,,,,,,,,Error,63,10.3
0-9609626-3-8,Windbreak: A Woman Rancher on the Northern Plains,"Hasselstrom, Linda M.",Barn Owl Books,233.0,1987-06-01,"DiariesHasselstrom, Linda M, Ranch life, Ranch life--Poetry, Authors, American, Authors, American--20th century--Diaries, Ranchers--Diaries, Ranchers--South Dakota--Diaries, Ranch life--South Dakota, PS3558.A7257 Z477 1987, 818/.5403 B",Paperback,By Linda Hasselstrom.,en,First Edition,"Height: 8.75 Inches, Length: 5.75 Inches, Weight: 0.95 Pounds, Width: 0.5 Inches",0.0,https://images.isbndb.com/covers/26/31/9780960962631.jpg,Success,55,10.3
1-55652-023-9,Make Way: 200 Years of American Women in Cartoons,"Franzen, Monika, Ethiel, Nancy",Chicago Review Pr,147.0,1987,"Women--Caricatures and cartoons, American wit and humor, Pictorial, NC1423 .F73 1988, 741.5/973",Paperback,[compiled By] Monika Franzen And Nancy Ethiel ; [with A Note From Nicole Hollander].,en,First Edition,"Height: 9.75 Inches, Length: 8.25 Inches, Weight: 0.83334735036 Pounds, Width: 0.5 Inches",9.95,https://images.isbndb.com/covers/02/35/9781556520235.jpg,Success,65,10.3
0-394-55645-6,,,,,,,,,,,,,,Error,50,10.3
0-939165-03-1,A Portrait of American Mothers & Daughters: Photographs,"Fastman, Raisa",NewSage Press,127.0,1987,"Mothers and daughters, Mothers and daughters--United States, Women--Portraits, Women--United States--Portraits, Photography of women, Mothers and daughters--United States--Pictorial works, HQ755.85 .F37 1987",Hardcover,A Collection Of Portraits Of Mothers And Daughters Along With Brief Statements By Some Of The Women Photographed. Photographs By Raisa Fastman.,en,First Edition,Weight: 2.3 Pounds,0.0,https://images.isbndb.com/covers/50/32/9780939165032.jpg,Success,2,10.3
0-939165-04-X,How to Sew for Children (Better Homes and Gardens Creative Sewing Library),Better Homes & Gardens,Meredith Press,62.0,1966,"Photography, General",Hardcover,,en,First Edition,"Height: 1 Inches, Length: 7 Inches, Weight: 1.55 Pounds, Width: 5 Inches",0.0,https://images.isbndb.com/covers/50/49/9780939165049.jpg,Success,2,10.3
0-918949-00-9,Atlanta: An Anthology of Creative Work Celebrating Women's Athletic Achievements,"Martz, Sandra",Papier Mache Pr,54.0,1984,,Paperback,,en,First Edition,,4.0,https://images.isbndb.com/covers/90/04/9780918949004.jpg,Success,44,10.3
0-8050-0638-9,The Tiger's Milk: Women of Nicaragua,"Angel, Adriana, MacIntosh, Fiona",Henry Holt & Co,142.0,1987,,Hardcover,,en,First Edition,Weight: 1.52 Pounds,6.98,https://images.isbndb.com/covers/63/84/9780805006384.jpg,Success,75,10.3
0-440-45951-6,The Not-Just-Anybody Family (Blossom Family),"Byars, Betsy",Yearling,160.0,1987-02-01,,Paperback,,en,,"Height: 7.5 Inches, Length: 5.25 Inches, Weight: 0.25 Pounds, Width: 0.25 Inches",4.5,https://images.isbndb.com/covers/95/14/9780440459514.jpg,Success,53,10.3
0-88961-114-9,,,,,,,,,,,,,,Error,34,10.3
0-939821-28-1,Love Me Like You Mean It,"Newman, Leslea",Herbooks,98.0,1987,,Paperback,,en,,"Height: 8.5 Inches, Length: 5.5 Inches, Width: 0.5 Inches",6.0,https://images.isbndb.com/covers/12/80/9780939821280.jpg,Success,57,10.3
0-89594-251-8,Healing Yourself During Pregnancy,"Gardner-Gordon, Joy",Crossing Pr,325.0,1987,,Paperback,Joy Gardner. Includes Index. Bibliography: P. 185-188.,en,Cover Worn,"Height: 9.25 Inches, Length: 6 Inches, Weight: 0.7 Pounds, Width: 0.5 Inches",12.95,https://images.isbndb.com/covers/25/17/9780895942517.jpg,Success,61,10.3
0-670-80946-2,The Newspaper of Claremont Street,"Jolley, Elizabeth",Viking,116.0,1987-12-02,"Women Household Employees, Suburban Life",Hardcover,,en,First Edition,"Height: 1 Inches, Length: 1 Inches, Weight: 1 Pounds, Width: 1 Inches",14.95,https://images.isbndb.com/covers/94/62/9780670809462.jpg,Success,79,10.3
0-89594-250-X,All Good Women,"Miner, Valerie",Crossing Press,464.0,1987-09,Literary Collections,Hardcover,,en,First Edition,Weight: 1.66 Pounds,0.0,https://images.isbndb.com/covers/25/00/9780895942500.jpg,Success,61,10.3
0-394-54240-1,LABORS OF LOVE,"Lavitt, Wendy",Knopf,286.0,1987-10-12,"House furnishings--History, House furnishings--United States--History, Needlework--History, Needlework--United States--History, Textile crafts--History, Textile crafts--United States--History, Indians of North America--Industries--History, Indians of North America--History, TT387 .W45 1987, 746/.0973",Hardcover,Judith Reiter Weissman And Wendy Lavitt ; Photographs By Schecter Lee. Includes Index. Bibliography: P. 271-276.,en,First Edition,Weight: 3.6875 Pounds,0.0,https://images.isbndb.com/covers/24/09/9780394542409.jpg,Success,80,10.3
0-393-02533-0,After the Stroke: A Journal,May Sarton,W. W. Norton & Company,281.0,1988,"DiariesSarton, May , 1912-1995, Stroke, Authors, American, Authors, American--20th century--Diaries, Cerebrovascular disease--Patients--Diaries, Cerebrovascular disease--Patients--United States--Diaries, PS3537.A832 Z462 1988, WL 355 S251 1988, 818/.5203 B",Hardcover,"Author And Poet, May Sarton, Chronicles Her Battles For Real Life And Health After Suffering A Stroke. By May Sarton.",en,First Edition,"Height: 3.03149 Inches, Length: 3.03149 Inches, Weight: 1.11112980048 Pounds, Width: 0.59055 Inches",1.99,https://images.isbndb.com/covers/53/30/9780393025330.jpg,Success,77,10.3
0-86543-057-8,Women in African Literature Today: A Review,,Africa World Pr,162.0,1987,,Paperback,,en,Stated First American Edition,Weight: 0.79 Pounds,8.95,https://images.isbndb.com/covers/05/70/9780865430570.jpg,Success,64,10.3
0-920316-95-6,Housebroken,"Gom, Leona",Newest Pr,207.0,1987,,Paperback,,en,First Edition,Weight: 0.65 Pounds,8.95,https://images.isbndb.com/covers/69/55/9780920316955.jpg,Success,63,10.3
0-8070-6352-5,Lectures in America,Gertrude Stein,Beacon Press,,1985,"Literature--History and criticism, PS3537.T323 L4 1985",Hardcover,"What Is English Literature -- Pictures -- Plays -- The Gradual Making Of The Making Of Americans -- Portraits And Repetition -- Poetry And Grammar. Gertrude Stein ; Introduction By Wendy Steiner. Reprint. Originally Published: New York : Random House, 1935.",en,,Weight: 1 Pounds,0.0,https://images.isbndb.com/covers/35/21/9780807063521.jpg,Success,40,10.3
0-393-30500-7,A World of Light: Portraits and Celebrations,"Sarton, May",W. W. Norton & Company,254.0,1988-04-17,,Paperback,"<p>""Its revelations, its tender frankness, its acutely sensitive observations recommend [this book] to Sarton's growing legion of readers."" &mdash;<b>Choice</b></p>",en,Reprint,"Height: 7.1 Inches, Length: 4.2 Inches, Weight: 0.61949895622 Pounds, Width: 0.6 Inches",19.95,https://images.isbndb.com/covers/50/05/9780393305005.jpg,Success,77,10.3
