ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
,,,,,,,,,,,,,,Error,,22.2
1-56584-455-6,"Dangerous Liaisons: Blacks, Gays, and the Struggle for Equality",,The New Press,312.0,1999-06-01,"Homophobia, Homophobia--United States, Heterosexism, Heterosexism--United States, Homophobia--Religious aspects--Christianity, African Americans--Civil rights, African Americans--Attitudes, Civil rights movements--History, Civil rights movements--United States--History, Gay liberation movement--History, Gay liberation movement--United States--History, Race relations, Politics and government, HQ76.4.U6 D35 1999, 305.896073, 305.896/073",Hardcover,"Dangerous Liaisons Provides A Platform For The Leading Minds Of Both Communities - Including Thinkers Who Straddle Both Worlds - To Debate The Volatile Subject Of The Relationship Between African Americans And Homosexuals. It Includes Writing On Minority Relations By Well-known Historians, Political Analysts, Activists, Writers, And Philosophers. They Address Such Timely Issues As Recent High-profile Hate Crimes Against Blacks And Gays: Racism In Gay And Lesbian Rights Organizations; Homophobia In The Black Church; The Shift In Highest Rate-of-infection Of Hiv From The Gay Community To The Black Community; And Stereotypes In Books And Films.--jacket. Offering A Platform For Dialogue / Eric Brandt -- Blacks And Gays : Healing The Great Divide / Barbara Smith -- Backlash? / Henry Louis Gates, Jr. -- Failure To Transform : Homophobia In The Black Community / Cheryl Clarke -- Race And The Invisible Dyke / Mab Segrest -- Nothing Special : The Specious Attack On Civil Rights / Alisa Solomon -- Blacks And Gays In Conflict : An Interview With U.s. Representative Barney Frank / Keith Boykin -- Fighting Homophobia Versus Challenging Heterosexism : The Failure To Transform Revisited / Cathy J. Cohen And Tamara Jones -- Jesus Wept : Reflections On Hiv Dis-ease And The Churches Of Black Folk / Reginald Glenn Blaxton -- Whosoever Is Welcome Here : An Interview With Reverend Edwin C. Sanders Ii / Gary David Comstock -- Black Lesbians : Passing, Stereotypes And Transformation / Jewelle Gomez -- Writing Robeson / Martin Duberman -- Transferences And Confluences : Black Poetries, The Black Arts Movement, And Black Lesbian-feminism / Cheryl Clarke -- More Man Than You'll Ever Be : Antonio Fargas, Eldridge Cleaver And Toni Morrison's Beloved / Darieck Scott -- Shock Of Gary Fisher / Robert F. Reid-pharr -- Some Queer Notions About Race / Samuel R. Delany -- On Heterosexism And Transformation : An Interview / Cornel West -- There Is No [hierarchy] Of Oppressions / Audre Lorde. Edited By Eric Brandt. Includes Bibliographical References.",en,,"Height: 8.5 Inches, Length: 5.75 Inches, Weight: 1.06 Pounds, Width: 1 Inches",22.95,https://images.isbndb.com/covers/45/51/9781565844551.jpg,Success,113.0,22.2
1-56718-182-1,The Celtic Dragon Tarot Kit,D.J. Conway,Llewellyn Publications,216.0,1999-10-08,,Cards,"<p class=""null1"">The Perfect Tarot for Dragon Lovers!</p>
<p>Dig deeply into ancient Celtic lore as your magic and divinations bask in the fiery breath of <b>The Celtic Dragon Tarot</b> by D. J. Conway and Lisa Hunt.</p>
<p>Using her deep knowledge of the ancient Celts and working with the ancient dragon energies, Conway has designed one of the most vivid and powerful Tarot decks ever. The art for this deck was created by fantasy illustrator Lisa Hunt. Her brilliant and surprisingly intense watercolor amplifies the meanings of the cards. Her different types of dragons are filled with passion and life that will bring chills to your spine as you look at each card.</p>
<p>No words can really express the beauty of this deck. The amazing detail to attention on each card, from delicate scrollwork on clothes to the intensity of the expressions on the people and many different dragons will astound you. The included 216-page book explains the symbolism and meanings of each card. Included are four Tarot spreads to help make <b>The Celtic Dragon Tarot</b> a part of your daily life. Also featured are instructions on how to meditate with this deck, including three guided meditations. Numerous spells are given that use this deck and candles for healing, luck, protection, love, and more. You'll even learn how to develop your psychic abilities.</p>
<p>This is the kit that has it all. A beautiful, well-conceived deck and a thorough book. Whether you are interested in the Tarot, the Celts, magic, or self-improvement, this kit is a must!</p>",en,BOOK&amp;CARDS - Boxed Set,"Height: 9.3 Inches, Length: 6.4 Inches, Weight: 1.60055602212 Pounds, Width: 2.1 Inches",26.88,https://images.isbndb.com/covers/18/21/9781567181821.jpg,Success,97.0,22.2
0-06-017278-9,A Long Way From Home,"Briscoe, Connie",HarperCollins Publishers,364.0,1999-07-07,,Hardcover,,en,First Edition,"Height: 9.75 Inches, Length: 6.5 Inches, Weight: 1.6 Pounds, Width: 1.5 Inches",25.0,https://images.isbndb.com/covers/27/87/9780060172787.jpg,Success,115.0,22.2
0-9634827-5-0,"Other People, Other Lands","Elayne Clift, Clift, Elayne",O G N Pubns,100.0,1999-07-01,"Poetry, General",Paperback,,en,1,"Height: 8.25 Inches, Length: 5.5 Inches, Weight: 0.3 Pounds, Width: 0.5 Inches",6.95,https://images.isbndb.com/covers/27/54/9780963482754.jpg,Success,32.0,22.2
0-8195-6348-X,Devouring Frida: The Art History and Popular Celebrity of Frida Kahlo,"Lindauer, Margaret A.",Wesleyan University Press,232.0,1999-04-30,"Art, History",Paperback,"<p><P>The first full-length feminist analysis of Frida Kahlo and the myths surrounding her.</p><h3></h3><p>This brilliant analysis of one of our most outstanding and popular artists of the twentieth century is a significant contribution to Kahlo studies and to the history of art, women's studies, ethnic studies, and Mexican studies in general.</p>",en,First Edition,"Height: 8.97 Inches, Length: 5.97 Inches, Weight: 0.72 Pounds, Width: 0.74 Inches",19.95,https://images.isbndb.com/covers/34/84/9780819563484.jpg,Success,28.0,22.2
1-56718-292-5,Celebrating the Crone: Rituals & Stories,"Gardner, Ruth",Llewellyn Publications,240.0,1999-11-08,,Paperback,,en,First Edition,"Height: 6.25 Inches, Length: 5.5 Inches, Weight: 0.35053499658 Pounds, Width: 0.75 Inches",12.95,https://images.isbndb.com/covers/29/27/9781567182927.jpg,Success,97.0,22.2
4 63 10 -31 3,,,,,,,,,,,,,,Error,92.0,22.2
0-694-52151-5,Chasing Down the Dawn: Stories from the Road,Jewel,HarperAudio,240.0,2000-10-03,,Audio Cassette,"Imaginative Holiday-themed Activities From Wild + Free To Spark Children's Curiosity And Wonder And Help Families Connect With Each Other In The Most Wonderful Season Of The Year. Wild + Free Is A Great Resource For Parents To Engage Their Kids' Creativity Using Festive, Holiday-themed Crafts, Outdoor Activities, And Essays That Celebrate The Warmth Of The Season. Curated By Wild + Free Families Around The World, This Full-color Book Is Filled With Creative And Intellectually Stimulating Ideas And Hands-on Activities Parents, Educators, And Caregivers Can Use To Nurture Their Child's Curious Spirit And Imagination. With Step-by-step Instructions, Lush Photography, And Family-tested And Kid-approved Activities, Wild + Free Is A Valuable Guide To Helping Children Spark Wonder In The Most Wonderful Season Of The Year.",en,Unabridged,"Height: 8 Inches, Length: 5 Inches, Weight: 1.425 Pounds, Width: 0.75 Inches",0.0,https://images.isbndb.com/covers/15/17/9780694521517.jpg,Success,115.0,22.2
0-312-20500-7,The Bird Yard: A Novel,"Martin, Julia Wallis",St. Martin's Minotaur,288.0,1999-09-13,,Hardcover,"<p><p>when 12-year-old Joseph Coyne Is Missing And Is Assumed To Have Been Abducted, Detective Parker Makes A Promise To The Boy's Mother&#58; We'll Get Him Back, Alive. It Proves To Be A Promise That Parker Cannot Keep. When Another Young Boy Is Missing Under Similar Circumstances, The Evidence Leads Parker To An Aviary Or Bird Yard Attached To An Abandoned House. While The Finches Imprisoned In The Aviary Exert A Magical Appeal To The Young Boys Who Surreptitiously Come To Watch Them, Its Owner Is A Shadowy Figure Whose Hold Over His Young Visitors Seems Far More Sinister. Convinced That The Killer Is Stalking His Third Victim, A Child Parker Knows, He Enlists The Help Of A Child Psychologist To Unravel A Dark Secret.</p><h3>new York Times Book Review - Marilyn Stasio</h3><p>[martin's] Special Gift...is For Defining The Psychological Boundaries That Keep Brogan And All The Other Characters&#151;including The Loathsome Villains&#151;confined In Cages They Never Made. </p>",en,First Edition,"Height: 7 Inches, Length: 9.75 Inches, Width: 1.25 Inches",23.95,https://images.isbndb.com/covers/50/03/9780312205003.jpg,Success,26.0,22.2
