ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
,,,,,,,,,,,,,,Error,,20.3
0-06-101175-4,The Mermaids Singing,"McDermid, Val",HarperCollins,480.0,1997-11-01,,Paperback,,en,,"Height: 7.25 Inches, Length: 4.25 Inches, Weight: 0.5 Pounds, Width: 1.5 Inches",0.0,https://images.isbndb.com/covers/17/57/9780061011757.jpg,Success,111.0,20.3
1-57601-002-3,Old Is Not a Four-Letter Word: A Midlife Guide,"Gerike, Ann E.",Papier Mache Pr,144.0,1997,,Paperback,,en,,"Height: 8.25 Inches, Length: 7.25 Inches, Weight: 0.6 Pounds, Width: 0.5 Inches",10.95,https://images.isbndb.com/covers/00/20/9781576010020.jpg,Success,75.0,20.3
0-553-47794-3,When Work Doesn't Work Anymore,"McKenna, Elizabeth Perle",Random House Audio,,1997-08-11,,Audio Cassette,"For every worn out, emotionally depleted female professional who has ever sighed, ""there has got to be a better way!"", here is a groundbreaking audiobook by Elizabeth Perle McKenna--a former publishing executive--that explores women's relationship with work. <br>
For decades, women have succeeded at traditional male jobs, but now, deep in the second stage of the feminist movement, they want lives that are integrated and whole. Based on original research and containing hundreds of interviews with prominent working women, this audiobook exposes the inherent conflict between the way work is traditionally structured and rewarded, and what women desire and value in their lives. More important, it suggests new ways for women to identify their values, reclaim their identities, and define success on their own terms. Any woman who has been working for more than a few years will identify strongly with the issues raised here, and will be rewarded by the insights she will glean from this insightful work.",en,,"Height: 7.25 Inches, Length: 4 Inches, Weight: 0.35 Pounds, Width: 1 Inches",23.95,https://images.isbndb.com/covers/79/48/9780553477948.jpg,Success,45.0,20.3
0-553-35489-2,Living Color: A Writer Paints Her World,"Goldberg, Natalie",Bantam,154.0,1997-09-02,"Goldberg, Natalie, Painters, Painters--United States--Biography, ND237.G59 A2 1997, 759.13",Paperback,"Presents A Meditation On The Painter's Sensibility, Exploring Her Own Artistic Methods And How They Relate To Her Life. How I Paint -- Hanging On To A Hershey Bar -- When Painting Became A Jewish Thing -- Painting My Father -- Twelve Paintings In Europe -- A Deep Source Of My Writing -- At The Hotel Splendid -- At Cézanne's Studio -- At The Musée Matisse -- Matisse In New York -- Writer Meets Painter -- Beyond Form. Natalie Goldberg.",en,,"Height: 7.99 Inches, Length: 8.02 Inches, Weight: 1.1 Pounds, Width: 0.41 Inches",16.95,https://images.isbndb.com/covers/48/98/9780553354898.jpg,Success,107.0,20.3
0-940975-59-9,In Praise of Our Fathers and Our Mothers: A Black Family Treasury by Outstanding Authors and Artists,,Just Us Books Inc,144.0,1997-02-01,"African American Families, African American Parents, African American Artists, African American Authors",Hardcover,,en,,"Height: 11.5 Inches, Length: 9 Inches, Weight: 1.9 Pounds, Width: 0.75 Inches",29.95,https://images.isbndb.com/covers/55/90/9780940975590.jpg,Success,54.0,20.3
1-55972-348-3,Jodie Foster: A Life on Screen,"Kennedy, Philippa",Birch Lane Pr,209.0,1996,,Hardcover,,en,First Edition,"Height: 9.75 Inches, Length: 6.25 Inches, Weight: 1.15 Pounds, Width: 1.25 Inches",19.95,https://images.isbndb.com/covers/34/80/9781559723480.jpg,Success,109.0,20.3
0-940208-19-9,SEX SPOKEN HERE,Good Vibrations Erotic Reading Circle,Down There Press,100.0,2015-02-25,"American Erotic literature, American literature",Paperback,"Sex Radical Carol Queen And Artist Jack Davis, Good Vibrations' Staff Members And Co-hosts Of The Store's Erotic Reading Circles, Have Selected Over Thirty Short Stories And A Sprinkling Of Verse From Those Gatherings. This Enticing Collection Of Tales From Popular Erotica Authors Blake C. Aarens, Tristan Taormino, Thomas Roche And M. Christian, As Well As Newcomers, Includes A Diversity Of Sexual Orientations And Explores The Boundaries Of Traditionally Accepted Sexuality.",en,,"Height: 9 Inches, Length: 6 Inches, Weight: 0.65918216338 Pounds, Width: 1 Inches",0.0,https://images.isbndb.com/covers/81/93/9780940208193.jpg,Success,76.0,20.3
0-670-87269-5,Comfort Woman,"Keller, Nora Okja",Viking Adult,213.0,1997-04-01,"Korean Americans, Korean Americans--Hawaii--Fiction, Mothers and daughters, Mothers and daughters--Fiction, Korean Americans--Fiction, PS3561.E38574 C66 1997, 813/.54",Hardcover,"A Korean Woman's Life As A Sex Slave For The Japanese During World War Ii. The Novel Is Narrated In Part By The Mother, In Part By Her American Daughter Who Is A Newspaper Reporter In Hawaii. Not Until Her Mother's Death Did The Daughter Learn What Terrible Experiences Lay Behind The Screams Her Mother Uttered In Her Dreams. A First Novel By A Korean-american. Nora Okja Keller.",en,First Edition,"Height: 5.86 Inches, Length: 8.8 Inches, Weight: 0.85 Pounds, Width: 0.84 Inches",21.95,https://images.isbndb.com/covers/26/95/9780670872695.jpg,Success,124.0,20.3
0-85449-255-0,Tokyo Vanilla,"Boggs, Thomas",Heretic Books,256.0,1998,,Paperback,,en,,"Height: 8.25 Inches, Length: 5.25 Inches, Width: 1 Inches",14.95,https://images.isbndb.com/covers/25/58/9780854492558.jpg,Success,58.0,20.3
0-451-18692-3,The Deep End of the Ocean,"Mitchard, Jacquelyn",Signet,448.0,1997,,Mass Market Paperback,,en,1st Printing,"Height: 5 Inches, Length: 7 Inches, Weight: 0.440924524 Pounds, Width: 1 Inches",7.5,https://images.isbndb.com/covers/69/28/9780451186928.jpg,Success,39.0,20.3
0-929005-92-9,Wild Rilla,"Gilmore, Rachna",Second Story Press,24.0,1997-01-01,,Paperback,,en,Illustrated,"Height: 8.5 Inches, Length: 8.5 Inches, Weight: 0.19400679056 Pounds, Width: 0.125 Inches",5.95,https://images.isbndb.com/covers/59/28/9780929005928.jpg,Success,79.0,20.3
