ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
,,,,,,,,,,,,,,Error,,13.6
0-88910-395-X,No Language Is Neutral,"Brand, Dionne",Coach House Press,51.0,1990,"Poetry, American",Paperback,,en,First Edition,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.25 Pounds, Width: 0.25 Inches",0.0,https://images.isbndb.com/covers/39/55/9780889103955.jpg,Success,13.0,13.6
1-878980-00-9,To Know: A Guide to Women's Magic and Spirituality,Jade,Delphi Pr,174.0,1991,,Paperback,,en,,"Height: 9 Inches, Length: 6 Inches, Weight: 0.66 Pounds, Width: 0.5 Inches",13.95,https://images.isbndb.com/covers/00/07/9781878980007.jpg,Success,68.0,13.6
0-921833-24-5,Community Care & Participatory Research,"Jacques Alary, Susan Usher",Signature Editions,,1990,Literary Collections,Paperback,,en,0,,15.95,https://images.isbndb.com/covers/32/46/9780921833246.jpg,Success,13.0,13.6
0-934411-42-5,,,,,,,,,,,,,,Error,24.0,13.6
0-394-57759-0,Mixed Blessings: Contemporary,"Lippard, Lucy",Pantheon,278.0,1990-10-31,Language Arts & Disciplines,Hardcover,,en,First Edition,Weight: 2.35 Pounds,0.0,https://images.isbndb.com/covers/75/93/9780394577593.jpg,Success,57.0,13.6
1-55861-022-7,Allegra Maud Goldman,"Konecky, Edith",The Feminist Press at CUNY,160.0,1990,,Paperback,,en,Reprint,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.6503636729 Pounds, Width: 0.5 Inches",0.0,https://images.isbndb.com/covers/02/24/9781558610224.jpg,Success,69.0,13.6
0-930934-44-X,Do I Have a Daddy?: A Story for a Single-Parent Child,"Lindsay, Jeanne Warren",Morning Glory Press,48.0,1992-10-01,"Family Relationships, Alternative Families, Parents",Paperback,"When Erik's friend, Jennifer, gets mad at him, she taunts, You don't have a daddy. <p>Erik goes home and asks his mother, Where's my daddy? Do I have a daddy?</p><p>Erik's mother explains that he, like all other children, has a daddy, but that she and his father were never married. His father went away soon after Erik was born, she says, adding, Caring for a baby is a big job, and your daddy wasn't ready for that.</p><p>In Special Section for Single Parents, young single parents and several psychologists and counselors discuss such critical issues as the never-married parent and the totally absent father.</p>                        <p>A single mother explains to her son that his daddy left soon after he was born. Includes section with suggestions for answering the question, Do I have a daddy?</p>",en,2,"Height: 8.25 Inches, Length: 8.25 Inches, Weight: 0.2535316013 Pounds, Width: 0.25 Inches",13.35,https://images.isbndb.com/covers/44/46/9780930934446.jpg,Success,101.0,13.6
0-88910-412-3,Goodnight Desdemona (Good Morning Juliet),"MacDonald, Ann-Marie",Coach House Pr,87.0,1990,"AdaptationsShakespeare, William , 1564-1616, PR9199.3.M2985 G6 1990, 812/.54",Paperback,Ann-marie Macdonald.,en,,"Height: 8.75 Inches, Length: 5.75 Inches, Weight: 0.35 Pounds, Width: 0.25 Inches",0.0,https://images.isbndb.com/covers/41/29/9780889104129.jpg,Success,13.0,13.6
0-935312-83-8,Sultana's Dream and Selections from The Secluded Ones (A Feminist Press Sourcebook),Rokeya Sakhawat Hossain,The Feminist Press at CUNY,90.0,1988-08,,Paperback,"<p>Sultana’s Dream, first published in 1905 in a Madras English newspaper, is a witty feminist utopia—a tale of reverse purdah that posits a world in which men are confined indoors and women have taken over the public sphere, ending a war nonviolently and restoring health and beauty to the world.</p>
<p>""The Secluded Ones"" is a selection of short sketches, first published in Bengali newspapers, illuminating the cruel and comic realities of life in purdah.</p>
<p><b>Suggested for course use in:</b><br>
History Indian Literature South Asian Studies Utopian Fiction Women’s Studies</p>
<p><b>Rokeya Sakhawat Hossain</b> (1880 - 1932) was a Bengali Muslim writer and feminist activist who founded the first Muslim girls’ school in Calcutta in 1911.</p>",en,1,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.31746565728 Pounds, Width: 0.3 Inches",13.95,https://images.isbndb.com/covers/28/36/9780935312836.jpg,Success,42.0,13.6
0-939149-49-5,,,,,,,,,,,,,,Error,92.0,13.6
1-55065-002-5,Yellow-Wolf & Other Tales of the Saint Lawrence (Dossier Quebec Series),"Aubert de Gaspé, Phillipe-Joseph",Véhicule Press,144.0,1991-01-28,"Canadian fiction--Translations from French, Canadian fiction--19th century--Translations from French, French-Canadian fiction--Translations into English, French-Canadian fiction--19th century--Translations into English, PQ3919.G3 D513 1990",Paperback,"Yellow-wolf, Malecite Chieftain Of Old. -- Woman Of The Foxes. -- Big Louis And The Legend Of Indian Lorette. -- General Wolfe's Statue. Philippe-joseph Aubert De Gaspé ; Translated By Jane Brierley. Includes Bibliographical References.",en,First Edition,"Height: 9 Inches, Length: 6 Inches, Weight: 0.5401325419 Pounds, Width: 0.4 Inches",2.91,https://images.isbndb.com/covers/00/20/9781550650020.jpg,Success,13.0,13.6
