ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
0-9628938-1-1,Edge of Passion,"Smith, Shelley",Rising Tide Pr,178.0,1991,,Paperback,,en,2,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.5 Pounds, Width: 0.5 Inches",9.95,https://images.isbndb.com/covers/38/10/9780962893810.jpg,Success,74.0,14.4
,,,,,,,,,,,,,,Error,,14.4
0-7178-0686-3,The Red Angel: The Life and Times of Elaine Black Yoneda,"Raineri, Vivian McGuckin",Intl Pub,344.0,1991,,Paperback,By Vivian Mcguckin Raineri. Includes Bibliographical References (p. 309-310) And Index.,en,1,"Height: 8.25 Inches, Length: 5.5 Inches, Width: 0.75 Inches",9.95,https://images.isbndb.com/covers/68/67/9780717806867.jpg,Success,84.0,14.4
1-878980-01-7,Loving the Goddess Within: Sex Magick for Women,"Hawthorne, Nan",Delphi Pr,184.0,1991,,Paperback,,en,,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.6 Pounds, Width: 0.5 Inches",13.95,https://images.isbndb.com/covers/00/14/9781878980014.jpg,Success,66.0,14.4
0-918526-81-7,"Quilting: Poems 1987-1990 (American Poets Continuum Series, Vol. 21)","Clifton, Lucille",BOA Editions Ltd.,89.0,2000-09-01,,Paperback,"<p>""Clifton mythologizes herself&#58; that is, she illuminates her surroundings and history from within in a way that casts light on much beyond.""<br><br>&#151;Marilyn Hacker, The Women's Review of Books<br><br><p><b>eve's version</b><br><br>smooth talker<br><br>slides into my dreams<br><br>and fills them with apple<br><br>apple snug as my breast<br><br>in the palm of my hand<br><br>apple sleek apple sweet<br><br>and bright in my mouth<br><br>it is your own lush self<br><br>you hunger for<br><br>he whispers lucifer<br><br>honey-tongue.<br></p>",en,First Edition,"Height: 9 Inches, Length: 6 Inches, Weight: 0.3747858454 Pounds, Width: 0.3 Inches",16.0,https://images.isbndb.com/covers/68/16/9780918526816.jpg,Success,84.0,14.4
0-8264-0501-0,Women and AIDS: A Practical Guide for Those Who Help Others (Continuum Counseling Series),"Lester, Bonnie",Continuum International Publishing Group,143.0,1989-06,,Hardcover,Bonnie Lester ; Foreword By William Van Ornum.,en,Presumed First Edition.,Weight: 0.74 Pounds,0.0,https://images.isbndb.com/covers/50/12/9780826405012.jpg,Success,44.0,14.4
0-8351-2375-8,Long is a Dragon: Chinese Writing for Children,"Goldstein, Peggy",China Books & Periodicals Inc.,30.0,1990-06,,Hardcover,,en,,Weight: 0.9 Pounds,13.44,https://images.isbndb.com/covers/37/54/9780835123754.jpg,Success,48.0,14.4
0-231-07617-7,"The Author, Art, and the Market: Rereading the History of Aesthetics","Woodmansee, Martha",Columbia University Press,224.0,1996-04-15,"Gillman, Charlotte Perkins , 1860-1935, Feminists, Feminists--United States--Biography, HQ1413.G54 A3 1991, 305.42/092 B",Paperback,"<p>I have nothing to offer the world but what I <i>think</i>... I think that the thing that I am here to do is a big thing -- the truth. I see deep basic truths; and that I have been given unusual powers of expression. I truly hope that my life will count for much good in the world.</p>
<p>-- letter to George Houghton Gilman, May 11, 1897</p>
<p>Charlotte Perkins Gilman is best known as the author of the short story ""The Yellow Wallpaper"" and a utopian novel, <i>Herland</i>, but she also wrote six nonfiction books and hundreds of articles and lectures. Arguably one of the most radical and certainly one of the most original thinkers of her era, Gilman (1860-1935) is missing from the male-authored intellectual histories and biographies of the period.</p>
<p>This <i>Reader</i> is an effort to fill that gap, offering a representative sample of her nonfiction writing. Presented chronologically, these selections emphasize her thoughts on gender, evolution, economics, radical political movements, and women's groups. Each chapter begins with an exploration of her life during the years covered and a discussion of contemporary intellectual, social, and political developments.</p>",en,Revised,"Height: 0.55 Inches, Length: 8.89 Inches, Weight: 0.72 Pounds, Width: 5.94 Inches",17.5,https://images.isbndb.com/covers/61/73/9780231076173.jpg,Success,93.0,14.4
1-56145-008-1,Agatha's Feather Bed: Not Just Another Wild Goose Story,"Deedy, Carmen Agra",Peachtree Pub Co Inc,32.0,1991,,Hardcover,"<p>professional Storyteller Carmen Deedy Spins A Riotous Morality Tale In Agatha's Feather Bed. Agatha, A Weaver, Orders A New Feather Bed From B.b. Lean, Then Six Shivering, Naked Geese Pay Her A Visit . . . But, As It Turns Out, Her Goose Isn't Cooked. 20 Full-color Illustrations.</p><h3>publishers Weekly</h3><p>agatha, A Sagacious Old Lady, Sells Her Woven Wares And Imparts Knowledge To All, ``especially Children: Everything Comes From Something, / Nothing Comes From Nothing .'' This Maxim Reaches ``six Naked Geese,'' Who Are Chilly And Demand The Return Of Their Feathers From Agatha's Feather Bed. Though ``a Little Down In The Mouth,'' Agatha Promises A Solution In Three Days. (the Geese, Meanwhile, Register At The ``down Town Motel'' Where They ``took A Gander In The Mirror.'') Agatha's Solution Is Inspired, As Is Deedy's Playful Yarn. From Its Simple Beginning--``do You See That Little Shop Sandwiched Between Two Skyscrapers?''--to Its Intriguing Conclusion--``where Do Goose Eggs Come From, Anyway?''--this Finely Crafted Collaboration Abounds With Information And Whimsy. It Also Teems With Puns And Word Play, Much Of Which May Be Of Greater Appeal To Grownups Than To The Book's Intended Audience. Seeley's Atmospheric Illustrations Are Bathed In Lavender, Giving Them A Properly Old-fashioned Tone. Stylized Patchwork Borders Contain Examples Of Agatha's Truism--a Flax Plant Stands By A Bolt Of Linen, A Stalk Of Wheat By A Loaf Of Bread. A Ducky Book. Ages 4-10. (june)</p>",en,First Edition,"Height: 10.25 Inches, Length: 8 Inches, Weight: 0.86 Pounds, Width: 0.5 Inches",15.95,https://images.isbndb.com/covers/00/84/9781561450084.jpg,Success,49.0,14.4
1-85594-021-3,Candidate: The Truth Behind the Presidential Campaign,Emily O'Reilly,Attic Press,160.0,1997,,Paperback,The definitive account and analysis of the 1990 Mary Robinson presidential campaign and its impact on Irish politics.,en,First Edition,"Height: 0 Inches, Length: 0 Inches, Weight: 0 Grams, Width: 0 Inches",13.99,https://images.isbndb.com/covers/02/15/9781855940215.jpg,Success,69.0,14.4
92-1-161313-2,"The World's Women, 1970-1990: Trends and Statistics (Social Statistics and Indicators, Series K, No. 8/Sales No. E.90.Xvii.3)",,United Nations Pubns,120.0,1991,"Women, Women--Statistics, HQ1154 .W95 1991, 1993 A-990, HQ 1154 W927 1991",Paperback,"The Statistical Office ... Of The United Nations Secretariat, Compiled And Organized The Statistical Material ... And Coordinated The Overall Programme For Preparation Of The Publication. Analysis And Policy Direction Were Provided By Representatives Of Unicef, Unfpa, Unifem And The Centre For Social Development And Humanitarian Affairs Of The United Nations Secretariat--pref. Women, Families And Households -- Public Life And Leadership -- Education And Training -- Health And Child-bearing -- Housing, Human Settlements And The Environment -- Women's Work And The Economy. United Nations Publication No. E.90.xvii.3--t.p. Verso. St/esa/stat/ser.k/8--t.p. Verso. Includes Bibliographical References (p. [119]-120).",en,Some Notations,"Height: 11 Inches, Length: 8.5 Inches, Width: 0.5 Inches",19.95,https://images.isbndb.com/covers/31/31/9789211613131.jpg,Success,87.0,14.4
0-691-01488-4,"Woman's Body, Woman's Word: Gender and Discourse in Arabo-Islamic Writing (Princeton Legacy Library, 5659)","Malti-Douglas, Fedwa",Princeton University Press,226.0,1991-10-13,"Women in literature, Sex in literature, Arabic literature--History and criticism, Arabic literature--750-1258--History and criticism, Islamic literature, Arabic--History and criticism, Arabic literature--Women authors--History and criticism, Literature--history, Arab World--history, Islam, PJ7519.W66 M34 1992, 892/.709352042",Paperback,Fedwa Malti-douglas. Includes Bibliographical References (p. [179]-194) And Index.,en,,"Height: 9.25 Inches, Length: 6 Inches, Weight: 0.75 Pounds, Width: 0.5 Inches",0.0,https://images.isbndb.com/covers/48/83/9780691014883.jpg,Success,93.0,14.4
0-87722-901-5,"Domesticity And Dirt: Housewives and Domestic Servants in the United States, 1920-1945 (Women In The Political Economy)","Palmer, Phyllis",Temple University Press,248.0,1991-08-08,"Social conflict, Home economics, Housewives",Paperback,"In The Era After Suffrage, White Middle-class Housewives Abandoned Moves Toward Paid Work For Themselves, Embraced Domestic Life, And Felt Entitled To Servants. In Domesticity And Dirt, Phyllis Palmer Examines The Cultural Norms That Led Such Women To Take On The Ornamental And Emotional Elements Of The Job While Relegating The Hard Physical Work And Demeaning Service Tasks To Servants—mainly Women Of Color. Using Novels, Films, Magazine Articles, Home Economics Texts, And Government-funded Domestic Training Course Manuals, The Author Details Cultural Expectations About Middle-class Homelife. Palmer Describes How Government-funded Education Programs Encouraged The Divisions Of Labor And Identity And Undercut Domestic Workers’ Organized Efforts During The 1930s To Win Inclusion In New Deal Programs Regulating Labor Conditions. Aided By Less Powerful Black Civil Rights Groups, Without The Assistance Of Trade Unions Or Women’s Clubs, Domestics Failed To Win Legal Protections And The Legal Authority And Self-respect These Brought To Covered Workers. The Author Also Reveals How Middle- Class Women Responded Ambivalently To The Call To Aid Women Workers When Labor Reforms Threatened Their Domestic Arrangements. Throughout Her Study, Palmer Questions Why White Middle-class Women Looked To New Technology And Domestic Help To Deal With Cultural Demands Upon The Perfect Housewife Rather Than Expecting Their Husbands To Help. When The Supply Of Servants Declined During The 1950s, Middle-class Housewives Were Left Isolated With Lots Of Housework. Although They Rapidly Followed Their Servants Into Paid Work Outside The Home, They Remain Responsible For Housework And Child Care. In The Series Women In The Political Economy, Edited By Ronnie J. Steinberg.",en,,"Height: 9 Inches, Length: 6 Inches, Weight: 0.80027801106 Pounds, Width: 0.75 Inches",27.95,https://images.isbndb.com/covers/90/18/9780877229018.jpg,Success,93.0,14.4
0-416-07151-7,,,,,,,,,,,,,,Error,45.0,14.4
0-920544-85-1,Seasons of Ordinary Time,"Butt, Robyn-Marie",Mercury Pr,175.0,1991,,Paperback,,en,,"Height: 8.5 Inches, Length: 5.75 Inches, Width: 0.4375 Inches",12.95,https://images.isbndb.com/covers/48/53/9780920544853.jpg,Success,56.0,14.4
0-87659-151-9,Elizabeth Cady Stanton,"Schlank, Carol Hilgartner, Metzger, Barbara",Gryphon House,32.0,1991-07-01,,Paperback,,en,,"Height: 10.43 Inches, Length: 8.14 Inches, Weight: 0.29 Pounds, Width: 0.1 Inches",1.99,https://images.isbndb.com/covers/15/12/9780876591512.jpg,Success,88.0,14.4
