ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
,,,,,,,,,,,,,,Error,,11.3
33 11 99 55 6,,,,,,,,,,,,,,Error,78.0,11.3
0-930901-54-1,Free Rein,"Chester, Laura",Burning Deck,,1988-01-01,,Paperback,,en,First Edition,"Height: 8.75 Inches, Length: 6 Inches, Weight: 0.375 Pounds, Width: 0.25 Inches",14.0,https://images.isbndb.com/covers/15/47/9780930901547.jpg,Success,55.0,11.3
0-916950-69-7,The Cat and Other Stories,Beverly Silva,Bilingual Pr (Bilrp),102.0,1986-10-01,"PS3569.I457 C3 1986, 813/.54",Paperback,By Beverly Silva.,en,,"Height: 8.75 Inches, Length: 5.5 Inches, Width: 0.25 Inches",0.0,https://images.isbndb.com/covers/06/99/9780916950699.jpg,Success,72.0,11.3
0-86358-197-8,Flowers in Hell: An Investigation into Women and Crime,,Pandora Pr,196.0,1988,"Female offenders, Female offenders--Great Britain, HV6046 .B25 1987, 364.3/74/0941",Paperback,Barney Bardsley. Includes Index. Bibliography: P. 189-194.,en,,"Height: 0.5 Inches, Length: 7.75 Inches, Weight: 0.5 Pounds, Width: 5 Inches",0.0,https://images.isbndb.com/covers/19/77/9780863581977.jpg,Success,30.0,11.3
0-88961-131-9,Spaces Like Stairs,"Scott MA, Gail",Women's Press (UK),144.0,1996,,Paperback,"<p>scott Writes Of Women, Community And Writing, Tracing The Effect Of Fiction Upon Theory, And Theoretical Thinking Upon Fictional Text.</p>",en,First Edition,"Height: 8.39 Inches, Length: 5.45 Inches, Weight: 0.45 Pounds, Width: 0.38 inches",14.95,https://images.isbndb.com/covers/13/13/9780889611313.jpg,Success,62.0,11.3
0-918526-57-4,Anne Hebert: Selected Poems (New American Translations),Anne Hebert,BOA Editions Ltd.,157.0,1988-08-01,"Canadian Poetry, French Poetry",Paperback,<p><i>Anne H̩rbert: Selected Poems</i> is the first bilingual collection of poetry by this major world poet.</p>,en,First Edition,"Height: 9.02 Inches, Length: 6.03 Inches, Weight: 0.5180863157 Pounds, Width: 0.36 Inches",1.99,https://images.isbndb.com/covers/65/71/9780918526571.jpg,Success,55.0,11.3
0-934411-14-X,Diary of a New York Queen,"Barber, William",Inland Book Co,192.0,1988,Literary Collections,Paperback,,en,,,8.95,https://images.isbndb.com/covers/11/41/9780934411141.jpg,Success,20.0,11.3
0-914881-19-1,3 Dimensional Design,"Pasquini-Masopust, Katie",C&T Publishing,74.0,1988,,Paperback,"<p>pasquini's 3 Dimensional Design Is A Lovely Book That Details The Steps For Creating Quilts Or Wall-hangings To Give The Illusion Of Being Three-dimensional. Although This Book May Be Somewhat Advanced For A Novice, Experienced Quilters Will Find The Instructions For Drafting Quite Clear. Also. The Eighteen Color Plates Of The Author's Beautiful Creations Are Inspirational And Will Help Spur The Reader To Attempt Original Designs. The Author Begins By Describing The Various Tools The Quilter Will Need For Drafting A Three-dimensional Quilt. She Then Covers The Concept Of A Vanishing Point To Give Depth To A Design And, Next~ Guides The Reader Through Several Exercises To Emphasize The Concept. She Goes On To Cover Spheres, Squares, Multiple Points, And Diminishing Circles, Thus Giving The Reader A Full Range Of Shapes And Ideas For Projects. After Covering The Basics Of Perspective, She Includes A Detailed Chapter On Composition (combining The Various Shapes And Methods) And On Color. A Brief Bibliography Is Also Included. Recommended For Public Libraries And For Quilters. Note&#58; The Printing Quality In This Copy May Vary From The Original Offset Printing Edition And May Look More Saturated Due To Printing On Demand By A High-quality Printer On Uncoated Paper. The Information Presented In This Version Is The Same As The Most Recent Printed Edition. Any Pattern Pullouts Have Been Separated And Presented As Single Pages.<br><br>note&#58; The Printing Quality In This Copy May Vary From The Original Offset Printing Edition And May Look More Saturated Due To Printing On Demand By A High-quality Printer On Uncoated Paper. The Information Presented In This Version Is The Same As The Most Recent Printed Edition. Any Pattern Pullouts Have Been Separated And Presented As Single Pages.<br><br></p>",en,,"Height: 11 Inches, Length: 8.52 Inches, Weight: 0.46958461806 Pounds, Width: 0.27 Inches",16.95,https://images.isbndb.com/covers/11/93/9780914881193.jpg,Success,48.0,11.3
95 0-915597-7,,,,,,,,,,,,,,Error,74.0,11.3
1-55583-139-7,Crush,"Futcher, Jane",Alyson Publications,206.0,1989-10,,Paperback,,en,,"Height: 8.4 Inches, Length: 0.8 Inches, Width: 5.4 Inches",0.0,https://images.isbndb.com/covers/13/94/9781555831394.jpg,Success,76.0,11.3
0-89594-329-8,The Powers of Charlotte: A Novel,"Lazarre, Jane",Crossing Pr,350.0,1988,,Paperback,,en,Reprint,,8.95,https://images.isbndb.com/covers/32/93/9780895943293.jpg,Success,74.0,11.3
0-86358-069-6,Natural Healing in Gynecology: A Manual for Women (Pandora Press Handbook) (English and French Edition),"Nissim, Rina",Pandora Pr,228.0,1986,,Paperback,,en,English ed,Weight: 0.47178924068 Pounds,9.95,https://images.isbndb.com/covers/06/97/9780863580697.jpg,Success,30.0,11.3
0-961-74060-4,Out Here Flying: Lesbian Poetry,,"Sidewalk Revolution Press: Pittsburgh, PA",31.0,1986,,Paperback,By Jan Hardy.,en,First Edition,,0.0,https://images.isbndb.com/covers/06/03/9780961740603.jpg,Success,54.0,11.3
4 1 04-8933-0,,,,,,,,,,,,,,Error,6.0,11.3
0-04-330393-5,Female Crime: The Construction of Women in Criminology,"Naffine, Ngaire",Allen & Unwin,146.0,1987,"Female offenders, Criminologists, Feminism, HV6046 .N34 1987, 364.3/74",Paperback,Ngaire Naffine. Includes Index. Bibliography: P. 137-143.,en,First Edition,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.7385485777 Pounds, Width: 0.5 Inches",7.74,https://images.isbndb.com/covers/39/31/9780043303931.jpg,Success,30.0,11.3
0-89594-325-5,Alive and Well: A Lesbian Health Guide,"Hepburn, Guca with Gutierrez, Bonnie",The Crossing Press,248.0,1988,"Women--Health and hygiene, Women--Health and hygiene--Handbooks, manuals, etc, Lesbians--Health and hygiene--Handbooks, manuals, etc, Women--Mental health--Handbooks, manuals, etc, Lesbians--Mental health--Handbooks, manuals, etc, Lesbians--Health and hygiene, Health, Homosexuality, Hygiene, Women, RA778.2 .H47 1988, QT 180 H529a 1988, 613/.08806643",Paperback,By Cuca Hepburn With Bonnie Gutierrez. A Lesbian Health Guide--cover. Includes Index. Bibliography: P. 224-240.,en,First Edition,243 p. : ill. ; 23 cm.,1.99,https://images.isbndb.com/covers/32/55/9780895943255.jpg,Success,72.0,11.3
0-06-254854-9,When Society Becomes an Addict,Anne Wilson Schaef,HarperOne,176.0,1988-04-20,"Psychology - Theory, History & Research, Addiction & Recovery",Paperback,"<p><P>An incisive look at the system of addiction pervasive in Western society today.</p> <h3>Library Journal</h3> <p>than focusing on addictions to such substances as alcohol, drugs, or food or to processes such as gambling, sex, or work, this interesting and unusual treatise uses the concept of relationship addiction. According to this concept, an individual is seen as always being in a superior (or inferior) position to another, an addictive situation that creates self-centeredness, dishonesty, and greed. The symptons associated with relationship addiction are equated with those associated with the ``White Male System'' (described in Schaef's Women's Reality , LJ 6/15/81) and provide telling insights into why we have a dysfunctional society many of whose members are addicted to substances and processes. Barbara J. Powell, Veterans Administration Medical Ctr., Kansas City, Mo.</p>",en,Reprint,"Height: 8 Inches, Length: 5.31 Inches, Weight: 0.31 Pounds, Width: 0.38 Inches",13.99,https://images.isbndb.com/covers/85/42/9780062548542.jpg,Success,82.0,11.3
01 8 0084 8 0,,,,,,,,,,,,,,Error,78.0,11.3
0-944024-02-5,Roadkill,"Hasselstrom, Linda",Spoon River Poetry Pr,74.0,1987,,Paperback,,en,,Weight: 1 pounds,5.95,https://images.isbndb.com/covers/40/27/9780944024027.jpg,Success,56.0,11.3
0-938743-05-8,The Rose-bearer,"May, Lizabeth",Liberty Press,204.0,1990,,Paperback,,en,First Edition,,0.0,https://images.isbndb.com/covers/30/57/9780938743057.jpg,Success,59.0,11.3
0-89594-321-2,clio browne,"Komo, Dolores",Crossing Pr,,1988-01-01,,Hardcover,,en,,,23.95,https://images.isbndb.com/covers/32/17/9780895943217.jpg,Success,72.0,11.3
0-934411-10-7,Ripening,"Taylor, Valerie",Edward William Pub Co,176.0,1988,,Paperback,,en,First Edition,"Height: 8.5 Inches, Length: 5.5 Inches, Width: 0.5 Inches",8.95,https://images.isbndb.com/covers/11/03/9780934411103.jpg,Success,20.0,11.3
0-06-250035-X,Medicin Womn Dayb 89,Lyn Andrews,Harper & Row,,1984,Literary Collections,Paperback,,en,,,0.0,https://images.isbndb.com/covers/03/59/9780062500359.jpg,Success,82.0,11.3
02 084 0 03 0,,,,,,,,,,,,,,Error,78.0,11.3
