ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
0-393-02749-X,Waltzing the Cat,"Houston, Pam",W. W. Norton & Company,288,10/17/1998,"Fiction, Action & Adventure",Hardcover,,en,First Edition,"Height: 8.6 Inches, Length: 6 Inches, Weight: 1.02294489568 Pounds, Width: 1.1 Inches",0,https://images.isbndb.com/covers/74/95/9780393027495.jpg,Success,35,22.1
0-8050-5621-1,Biting the Moon,"Grimes, Martha",Henry Holt and Co.,301,4/21/1999,,Hardcover,,en,First Edition,"Height: 9.52 Inches, Length: 6.4 Inches, Weight: 1.3007273458 Pounds, Width: 1.065 Inches",0,https://images.isbndb.com/covers/62/11/9780805056211.jpg,Success,56,22.1
0-8050-5621-1,Biting the Moon,"Grimes, Martha",Henry Holt and Co.,301,4/21/1999,,Hardcover,,en,First Edition,"Height: 9.52 Inches, Length: 6.4 Inches, Weight: 1.3007273458 Pounds, Width: 1.065 Inches",0,https://images.isbndb.com/covers/62/11/9780805056211.jpg,Success,100,22.1
1-880684-59-4,Green Fires: Assault on Eden: A Novel of the Ecuadorian Rainforest,"Mueller, Marnie",Curbstone Books,318,4/1/1999,"Fiction, Fiction Subjects, Peoples & Cultures - Fiction",Paperback,"<p><i>Green Fires</i> is the story of Annie Saunders, a disillusioned Kennedy-era Peace Corps volunteer, returning to Ecuador, hoping to come to terms with her traumatic experiences there. What she finds instead is a menacing and mysterious trail which she determinedly follows-ever deeper into the jungle-uncovering a sinister secret of international dimensions.</p>",en,First Edition,"Height: 8.4 Inches, Length: 5.3 Inches, Weight: 0.73413933246 Pounds, Width: 0.9 Inches",13.95,https://images.isbndb.com/covers/45/97/9781880684597.jpg,Success,78,22.1
0-8077-6291-1,"Disciplining Sexuality: Foucault, Life Histories, and Education (Athene Series)","Middleton, Sue",Teachers College Pr,168,1997,"Contributions in the philosophy of educationFoucault, Michel , 1926-1984, Contributions in feminist theoryFoucault, Michel , 1926-1984, Human body--Social aspects, Sex--Philosophy, Sex customs--History, Sex role--History, Education--Philosophy, Sex--philosophy, Sexual Behavior, Feminism, Gender Identity, Erotica, HQ23 .M48 1998, 306.7/01",Paperback,"Foreword / Michael W. Apple -- 1. The Present As History. Writing A History Of The Present. Disciplining Foucault. Corporate Bodies?: Today's Schools -- 2. Time Travels: Canes, Berets, And Rock N Roll. Disciplining The Student Body: From The 1920s To 1945. Uniform Bodies?: 1945 To The Late 1960s. Protests: From The Mid-1960s To The Late 1980s -- 3. Swinging Chicks?: Sex Education, Feminists, And The Sexual Revolution. A Painful Period: Disciplining Puberty. Virgins And Births. Feminist Warriors In The Sexual Revolution. Sexual Strategies -- 4. Indecent Thoughts: The Politics Of Censorship. Reading Dirty Books. A Censor's Apprenticeship. A Testing Time: Starting Work. The Penthouse Guidelines. Some Academic Questions. The New Order. Disciplining The Virtual Body -- 5. Embodying Educational Theory. Sue Middleton ; Foreword By Michael W. Apple. Includes Bibliographical References (p. 127-140) And Index.",en,1998,"Height: 9.25 Inches, Length: 6.25 Inches, Weight: 0.5291094288 Pounds, Width: 0.5 Inches",21.95,https://images.isbndb.com/covers/29/12/9780807762912.jpg,Success,87,22.1
0-609-80384-0,The Feminist Memoir Project: Voices from Women's Liberation,"Snitow, Ann, Duplessis, Rachel",Three Rivers Press,544,10/27/1998,,Paperback,"The women of <i>The Feminist Memoir Project</i> give voice to the spirit, the drive, and the claims of the Women's Liberation Movement they helped shape, beginning in the late l960s. These 32 writers were among the thousands to jump-start feminism in our time. Here, in pieces that are passionate, personal, critical, and witty, they describe what it felt like to make history, to live through and contribute to the massive social movement that transformed the nation.<br>
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
What made these particular women rebel? And what experiences, ideas, feelings, and beliefs shaped their rebellion? How did they maintain the will and energy to keep such an unwomanly struggle going for so long, and continuing still?<br>
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
Memoirs and responses by Kate Millett, Vivian Gornick, Michele Wallace, Alix Kates Shulman, Joan Nestle, Jo Freeman, Yvonne Rainer, Barbara Smith, Ellen Willis, and many more embody the excitement that fueled the movement and the conflicts that threatened it from within. These stories tell how the world we live in changed.<br>
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
With <i>The Feminist Memoir Project</i>, these activists contribute to yet another movement project, the political work of memory.",en,1,"Height: 7.75 Inches, Length: 4.5 Inches, Weight: 1 Pounds, Width: 1.25 Inches",20,https://images.isbndb.com/covers/38/44/9780609803844.jpg,Success,35,22.1
1-57322-118-X,Beyond the Sky and the Earth: A Journey into Bhutan,"Zeppa, Jamie",Riverhead Hardcover,393,6/7/1999,"Biographies &amp; Autobiographies, Educators",Hardcover,,en,,"Height: 9.4 Inches, Length: 5.8 Inches, Weight: 1.2 Pounds, Width: 1.06 Inches",0,https://images.isbndb.com/covers/11/84/9781573221184.jpg,Success,105,22.1
0-375-70490-6,Some Lie and Some Die (An Inspector Wexford Mystery),"Rendell, Ruth",Vintage Crime/Black Lizard,192,3/30/1999,,Paperback,"<p>A mutilated body found at a rock festival.</p>
<p>In spite of dire predictions, the rock festival in Kingsmarkham seemed to be going off without a hitch, until the hideously disfigured body is discovered in a nearby quarry. And soon Wexford is investigating the links between a local girl gone bad and a charismatic singer who inspires an unwholesome devotion in his followers. <b>Some Lie and Some Die</b> is a devilishly absorbing novel, in which Wexford's deductive powers come up against the aloof arrogance of pop stardom.&nbsp;&nbsp;</p>
<p>With her Inspector Wexford novels, Ruth Rendell, winner of the Mystery Writers of America Grand Master Award, has added layers of depth, realism and unease to the classic English mystery. For the canny, tireless, and unflappable policeman is an unblinking observer of human nature, whose study has taught him that under certain circumstances the most unlikely people are capable of the most appalling crimes.</p>",en,English Language,"Height: 8 Inches, Length: 5.1 Inches, Weight: 0.46 Pounds, Width: 0.4 Inches",15,https://images.isbndb.com/covers/49/01/9780375704901.jpg,Success,108,22.1
0-312-18745-9,The Memoirs of Cleopatra: A Novel,"George, Margaret",St. Martin's Griffin,976,5/15/1998,,Paperback,"<p>Bestselling novelist Margaret George brings to life the glittering kingdom of Cleopatra, Queen of the Nile, in this luch, sweeping, and richly detailed saga. Told in Cleopatra's own voice, this is a mesmerizing tale of ambition, passion, and betrayl, which begins when the twenty-year-old queen seeks out the most powerful man in the world, Julius Caesar, and does not end until, having survived the assassination of Caesar and the defeat of the second man she loves, Marc Antony, she plots her own death rather than be paraded in triumph through the streets of Rome.</p>
<p>Most of all, in its richness and authenticity, it is an irresistible story that reveals why Margaret George's work has been widely acclaimed as ""the best kind of historical novel, one the reader can't wait to get lost in."" (<i>San Francisco Chronicle</i>).</p>",en,First Edition,"Height: 9.2 Inches, Length: 6.15 Inches, Weight: 2.2 Pounds, Width: 1.65 Inches",27.99,https://images.isbndb.com/covers/74/53/9780312187453.jpg,Success,109,22.1
0-425-16896-4,Murder on Astor Place: A Gaslight Mystery,"Thompson, Victoria",Berkley,288,5/1/1999,,Mass Market Paperback,"<p><P><b> The first Gaslight mystery-newly repackaged.</b><P>After a routine delivery, midwife Sarah Brandt visits her patient in a rooming house-and discovers that another boarder, a young girl, has been killed. At the request of Sergeant Frank Malloy, she searches the girl's room, and discovers that the victim is from one of the most prominent families in New York- and the sister of an old friend. The powerful family, fearful of scandal, refuses to permit an investigation. But with Malloy's help, Sarah begins a dangerous quest to bring the killer to justice-before death claims another victim.</p><h3>The Mystery Reader.com - Katy Cooper</h3><p>The corrupt, vibrant, crowded world of late 19th century New York fills the pages of <I>Murder on Astor Place</i>....The mystery is solid, if not complicated....The best part of <i>Murder on Astor Place</i> was the shifting relationship between Sarah and Malloy....This reader...can't wait until they share another adventure.</p>",en,Reissue,"Height: 6.69 Inches, Length: 4.19 Inches, Weight: 0.36155810968 Pounds, Width: 0.78 Inches",7.99,https://images.isbndb.com/covers/89/67/9780425168967.jpg,Success,57,22.1
