ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
0-8109-4381-6,Margaret Bourke White,"Rubin, Susan Goldman",Harry N. Abrams,96.0,1999-11-01,"Bourke-White, Margaret , 1904-1971, Photojournalists, Photojournalists--United States--Biography, Women photographers, Women photographers--United States--Biography, Photography, Artistic, TR140.B6 R83 1999, 770/.92 B",Hardcover,"This dramatic life story of internationally ac claimed photographer<i>Margaret Bourke-White</i> (1904-1971) traces the accomplishments of a remarkable woman, the first female to make a name for herself as a photojournalist. The book explores her artistic development and chronicles the assignments for Fortune and LIFE magazines that took her all over the world as she fearlessly risked her life to get her story and tell it through pictures. Illustrated with more than 50 of Bourke-White's black-and-white photographs, and including new research based on interviews with those who knew her, this adventure-packed account will serve as an inspiration for everyone who dreams of realizing a cherished ambition.",en,,"Height: 10.25 Inches, Length: 10.25 Inches, Weight: 1.75 Pounds, Width: 0.75 Inches",17.5,https://images.isbndb.com/covers/38/10/9780810943810.jpg,Success,18,22.5
0-8147-3123-6,Tinker Belles and Evil Queens: The Walt Disney Company from the Inside Out,"Griffin, Sean P.",NYU Press,292.0,2000-02-01,"Walt Disney Company., Homosexuality and motion pictures, PN1999.W27 G75 2000, 384/.8/06579794",Paperback,"<p>From its Magic Kingdom theme parks to its udderless cows, the Walt Disney Company has successfully maintained itself as the brand name of conservative American family values. But the Walt Disney Company has also had a long and complex relationship to the gay and lesbian community that is only now becoming visible.</p>
<p>In <b>Tinker Belles and Evil Queens</b>, Sean Griffin traces the evolution of this interaction between the company and gay communities, from the 1930s use of Mickey Mouse as a code phrase for gay to the 1990s ""Gay Nights"" at the Magic Kingdom. Armed with first-person accounts from Disney audiences, Griffin demonstrates how Disney animation, live-action films, television series, theme parks, and merchandise provide varied motifs and characteristics that readily lend themselves to use by gay culture. But Griffin delves further to explore the role of gays and lesbians within the company, through an examination of the background of early studio personnel, an account of sexual activism within the firm, and the story of the company's own concrete efforts to give recognition to gay voices and desires.</p>
<p>The first book to address the history of the gay community and Disney, <b>Tinker Belles and Evil Queens</b> broadly examines the ambiguous legacy of how modern consumerism and advertising have affected the ways lesbians and gay men have expressed their sexuality. Disney itself is shown as sensitive to gay and lesbian audiences, while exploiting those same audiences as a niche market with strong buying power. Finally, Griffin demonstrates how queer audiences have co-opted Disney products for themselves-and in turn how Disney's corporate strategies have influenced our very definitions of sexuality.</p>",en,,"Height: 9 Inches, Length: 6 Inches, Weight: 1.00089866948 Pounds, Width: 0.81 Inches",27.0,https://images.isbndb.com/covers/12/39/9780814731239.jpg,Success,11,22.5
0-87745-692-5,House Fires (Iowa Short Fiction Award),"Reisman, Nancy",University Of Iowa Press,228.0,1999-10-01,,Paperback,,en,1,"Height: 9 Inches, Length: 6 Inches, Weight: 0.66 Pounds, Width: 0.9 Inches",20.0,https://images.isbndb.com/covers/69/26/9780877456926.jpg,Success,15,22.5
0-380-72827-3,Liberty Falling,"Barr, Nevada",Avon,384.0,2000,,Mass Market Paperback,,en,,"Height: 6.75 Inches, Length: 4.25 Inches, Weight: 0.45 Pounds, Width: 1 Inches",7.5,https://images.isbndb.com/covers/82/75/9780380728275.jpg,Success,5,22.5
1-883513-08-1,Traveling Souls: Contemporary Pilgrimage Stories,,Whereabouts Press,208.0,1999-10-15,"Voyages And Travels, Travelers' Writings, Pilgrims And Pilgrimages",Paperback,,en,1,"Height: 7.75 Inches, Length: 5.25 Inches, Weight: 0.7054792384 Pounds, Width: 0.75 Inches",14.95,https://images.isbndb.com/covers/30/85/9781883513085.jpg,Success,10,22.5
0-500-28150-5,Beautiful Necessity: The Art and Meaning of Women's Altars,"Turner, Kay",Thames & Hudson,176.0,1999-10-01,"Altars, Household shrines, Women--Religious life, Spiritual life, BL602 .T87 1999, 291.37",Paperback,"In the most basic sense, an altar is a home for sacred images, a place for venerating and inviting the comfort, help, and companionship of the gods. But the amazing, dazzling, decorative, poignant, picturesque, inspiring, glowing, passionate altars in this book are not those of churches and temples, designed for the official worship of an omniscient god ceremoniously tended by a priest, rabbi, or minister. Instead, these places are the expression of the most intimate beliefs and fears, memories and dreams of women who are making new spiritual traditions from ancient ones--pagan, goddess, Celtic, Hindu, Buddhist, Catholic, Greek Orthodox. No one knows more about this remarkable efflorescence than Kay Turner, who has been exploring the subject for over twenty years since accidentally encountering the extraordinary altar of a Quiche Maya woman--described by its maker as a ""beautiful necessity""--in Quetzaltenango, Guatemala. Since then she has gathered abundant evidence of how this phenomenon grips women in the most diverse locations, from the studios of artists in New York, Detroit, and San Francisco to the kitchens of Mexican-American homes in Texas, from Mama Lola celebrating Afro-Caribbean gods in Brooklyn to a Wiccan priestess in California worshiping the goddess Aphrodite. The statues, flowers, pictures, photographs, drawings, amulets, pieces of shell, and bits of earth that are collaged together and reproduced here in color represent their makers' histories, beliefs, and desires. Turner draws out the personal stories that lie behind the altars and explains their appeal and significance for everyone.",en,,"Height: 8.5 Inches, Length: 6.25 Inches, Weight: 1 Pounds, Width: 0.75 Inches",7.99,https://images.isbndb.com/covers/15/05/9780500281505.jpg,Success,18,22.5
0-89236-372-X,Marguerite Makes a Book,Bruce Robertson,J. Paul Getty Museum,44.0,1999-10-28,"Children's Fiction, Historical",Hardcover,,en,First Edition,"Height: 11 Inches, Length: 9 Inches, Weight: 1.09349281952 Pounds, Width: 0.5 Inches",0.0,https://images.isbndb.com/covers/37/28/9780892363728.jpg,Success,18,22.5
0-380-80548-0,"The Hallowed Isle Book Four: The Book of the Stone (Hallowed Isle, 4)","Paxson, Diana L",Harper Voyager,208.0,2000-01-05,"Arthurian Romances, History",Paperback,,en,First Edition,"Height: 8 Inches, Length: 5.25 Inches, Weight: 0.6 Pounds, Width: 0.47 Inches",12.0,https://images.isbndb.com/covers/54/88/9780380805488.jpg,Success,25,22.5
0-553-58130-9,Biting the Sun: A Novel,"Lee, Tanith",Spectra,384.0,1999-10-05,,Mass Market Paperback,"<p><P>In a world dedicated to pleasure, one young rebel sets out on a forbidden quest&#151;.<P>Published for the first time in a single volume, Tanith Lee's duet of novels set in a hedonistic Utopia are as riveting and revolutionary as they were when they first appeared two decades ago.<P>It's a perfect existence, a world in which no pleasure is off-limits, no risk is too dangerous, and no responsibilities can cramp your style. Not if you're Jang&#58; a caste of libertine teenagers in the city of Four BEE. But when you're expected to make trouble&#151;when you can kill yourself on a whim and return in another body, when you're encouraged to change genders at will and experience whatever you desire&#151;you've got no reason to rebel...until making love and raising hell, daring death and running wild just leave you cold and empty.<P>Ravenous for true adventures of the mind and body, desperate to find some meaning, one restless spirit finally bucks the system&#151;and by shattering the rules, strikes at the very heart of a soulless society....</p>",en,,"Height: 6.88 Inches, Length: 4.18 Inches, Weight: 0.42 Pounds, Width: 0.95 Inches",7.99,https://images.isbndb.com/covers/13/00/9780553581300.jpg,Success,25,22.5
0-345-43327-0,Half Moon Street (Charlotte & Thomas Pitt Novels),"Perry, Anne",Ballantine Books,320.0,2000-04-04,,Hardcover,"Superintendent Thomas Pitt, Investigating The Discovery Of A Dead Man Found Drifting In The Thames, Must Walk A Narrow Line Between Hunting Down The Guilty And Protecting The Innocent When His Search For Answers Leads Him Deep Into Victorian London's Bohemia. Anne Perry.",en,First Edition,"Height: 9.5 Inches, Length: 6.5 Inches, Weight: 1.35 Pounds, Width: 1.25 Inches",25.0,https://images.isbndb.com/covers/32/75/9780345433275.jpg,Success,6,22.5
