ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
,,,,,,,,,,,,,,Error,,10.4
0-8070-6706-7,Websters' First New Intergalactic Wickedary of the English Language,"Daly, Mary",Beacon Press,310.0,1987-10,,Hardcover,,en,,Weight: 1.65 Pounds,0.0,https://images.isbndb.com/covers/70/62/9780807067062.jpg,Success,85.0,10.4
0-06-250812-1,"Truth or Dare: Encounters With Power, Authority and Mystery",Starhawk,Harpercollins,370.0,1988,,Hardcover,"Examines The Nature Of Power, Discusses Liberation And Illusion, And Looks At The Symbolism And Ritual Of Witchcraft. List Of Processes, Exercises, Rituals, And Meditations For Individuals And Groups -- A Story Of Beginnings. Truth Or Dare -- A Story Of Change. The Dismembering Of The World -- A Story Of Masks. Fierce Love: Resisting The Weapons The Culture Has Devised Against The Self -- The Descent Of Inanna, I: The Storehouse. Unraveling And Reweaving: Pattern And Ritual -- The Descent Of Inanna, Ii: The First Gate. The Sacred Spark: Reclaiming Value From The Judge -- The Descent Of Inanna, Iii: The Second Gate. Risking The Boundaries: Dethroning The Conqueror -- The Descent Of Inanna, Iv: The Third Gate. Finding A Voice: Breaking The Censor's Silence -- The Descent Of Inanna, V: The Fourth Gate. Creating Sustainable Culture: Serving No Masters -- The Descent Of Inanna, Vi: The Last Gate. Evoking Mystery: Restoring Organic Order -- The Descent Of Inanna, Vii: The Return. Toward Community: Structure And Leadership In Groups -- Litany Of The Holy Well And The Sacred Flame. Ritual To Build Community -- The Return Of The Goddess. Resistance And Renewal -- The Last Story. Starhawk. Includes Index. Bibliography: P. 355-363.",en,First Edition,"Height: 11.11 Inches, Length: 6.11 Inches, Weight: 1.6 Pounds, Width: 1.11 Inches",20.95,https://images.isbndb.com/covers/81/26/9780062508126.jpg,Success,88.0,10.4
0-87358-425-2,Lightfall and Time: Fifteen Southwestern National Parks,"Bennett, Cynthia",UNKNO,,1986,,Paperback,,en,First Edition,,14.95,https://images.isbndb.com/covers/42/58/9780873584258.jpg,Success,53.0,10.4
0 86232 753 9,,,,,,,,,,,,,,Error,54.0,10.4
0-86358-025-4,Inside Women's Magazines,"Winship, Janice",Pandora Pr,260.0,1988,,Paperback,,en,1st US Edition 1st Printing,Weight: 0.5070632026 Pounds,15.95,https://images.isbndb.com/covers/02/53/9780863580253.jpg,Success,69.0,10.4
0-87951-278-4,A Winter in Arabia,"Stark, Freya",Abrams Press,336.0,1987-07-01,,Hardcover,"Freya Stark. Originally Published: London : J. Murray, 1940. Includes Bibliographical References And Index.",en,,"Height: 7.999984 Inches, Length: 4.99999 Inches, Weight: 1 Pounds, Width: 0.999998 Inches",18.95,https://images.isbndb.com/covers/27/81/9780879512781.jpg,Success,86.0,10.4
0-88706-486-8,Women and Language in Transition,Joyce Penfield,State University of New York Press,238.0,1987-08-01,"Language, English language, Language planning, Sexism in language, Sociolinguistics, Sex differences, Feminism, Women, LANGUAGE ARTS & DISCIPLINES, Linguistics, Psycholinguistics",Paperback,"This Collection Of Essays Deals With The Interplay Of Language And Social Change, Asking The Question: How Can Language And Society Be Made Gender Equal? The Contributors Examine The Critical Role Of Language In The Lives Of White Women And Women Of Color In The United States. Since Language Pervades Many Dimensions Of Womens Lives, This Study Takes A Multi-disciplinary Approach To The Issues Considered. The Volume Is Divided Into Three Sections. The First, liberating Language, Focuses On The Active Role Women Had In Altering The Extent Of Linguistic Sexism In English During The 1970s. A Second Section, identity Creation, Deals With The Alteration Of That Portion Of Language Which Serves To Name Women And Their Experiences. The Final Section, women Of Color, Offers A Rare And Timely Look At The Particular Problems Confronted By Minority Women. It Argues That Women Of Color Have Different Problems And Different Links To Language Than White Middle-class Women.",en,,"Height: 8.39 Inches, Length: 5.27 Inches, Weight: 0.70106999316 Pounds, Width: 0.54 Inches",0.0,https://images.isbndb.com/covers/48/69/9780887064869.jpg,Success,78.0,10.4
0-86358-198-6,Sometimes When It Rains: Writings by South African Women,,Pandora Pr,,1987,"Short stories, South African (English)--Women authors, Women, Women--Fiction, South African fiction (English)--Women authors, Short stories, South African (English), Women--South Africa--Fiction, History, Social life and customs, PR9367.33.W65 S66 1987, 823/.01/089287",Paperback,The Toilet / Gcina Mhlope -- It's Quiet Now / Gcina Mhlope -- Two Minutes / Maud Motanyane -- What Were You Dreaming? / Nadine Gordimer -- One Last Look At Paradise Road / Gladys Thomas -- Longlive! / Menán Du Plessis -- A Notion Of Sisterhood / Bernadette Mosala -- Death Of A Missionary / Elsa Joubert -- Hungry In A Rich Land / Ellen Kuzwayo -- Let Them Eat Pineapples / Liseka Mda -- Amaphekula (terrorist) / Fatima Meer -- The War Hero / Sheila Fugard -- The Coming Of The Christ-child / Bessie Head -- No Shelter For Cleaners / Miriam Tlali -- Interview With Mrs. Albertina Sisulu / Miriam Tlali. Edited By Ann Oosthuizen ; Linocuts By Bongiwe Dhlomo.,en,,Weight: 0.4 Pounds,0.0,https://images.isbndb.com/covers/19/84/9780863581984.jpg,Success,68.0,10.4
0-7102-0945-2,Sex And God: Some Varieties Of Women's Religious Experience,Linda Hurcombe,Routledge & Kegan Paul,288.0,1987,"Women and religion, BL458 .S47 1987, 200/.88042",Paperback,Edited By Linda Hurcombe. Includes Bibliographies And Index.,en,,"xv, 296 p. : ill. ; 22 cm.",1.99,https://images.isbndb.com/covers/94/50/9780710209450.jpg,Success,87.0,10.4
22 55 99 54 1,,,,,,,,,,,,,,Error,54.0,10.4
0-86358-018-1,Georgie Porgie: Sexual Harassment in Everyday Life,"Wise, Sue, Stanley, Liz",Pandora Pr,235.0,1987,"Sexual harassment of women, Sex role in the work environment, Sex discrimination in employment, HD6060.3 .W57 1987, 305.4/2",Paperback,Sue Wise And Liz Stanley. Includes Index. Bibliography: P. [209]-230.,en,,Weight: 0.49383546688 Pounds,1.99,https://images.isbndb.com/covers/01/85/9780863580185.jpg,Success,68.0,10.4
0-89594-161-9,Women Brave in the Face of Danger (Crossing Press Feminist Series),"Randall, Margaret",Crossing Press,123.0,1985,"Women, Social Conditions, Portraits, Literatures",Paperback,Margaret Randall. Series Statement From Jacket.,en,,Weight: 1 Pounds,1.99,https://images.isbndb.com/covers/16/19/9780895941619.jpg,Success,52.0,10.4
0-86358-166-8,Inside Women's Magazines,"Winship, Janice",Pandora P,260.0,1987-11-19,"Women's periodicals, PN4836 .W56 1987, 051/.088042",Hardcover,Janice Winship. Includes Index. Bibliography: P. 172-176.,en,1,Weight: 1 Pounds,0.0,https://images.isbndb.com/covers/16/63/9780863581663.jpg,Success,69.0,10.4
0-8070-7027-0,Peregrinations of a Pariah 1833-1834 (Virago/Beacon Travelers),"Tristan, Flora, Hawkes, Jean",Beacon Pr,320.0,1987,,Paperback,,en,,Weight: 0.7 Pounds,9.95,https://images.isbndb.com/covers/02/77/9780807070277.jpg,Success,26.0,10.4
