ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
1-57344-008-6,Dyke Strippers: Lesbian Cartoonists from A to Z,,Cleis Pr,207,1995,"Homosexuality--Comic books, strips, etc, Lesbians--Comic books, strips, etc, Lesbian cartoonists, Lesbian cartoonists--United States--Biography, Lesbian cartoonists--United States--Interviews, PN6726 .D95 1995, 741.5/9/086643",Paperback,Alison Bechdel -- Katie Brown Interviews Alison Bechdel -- Angela Bocage -- Paige Braddock -- Jane Caminos -- Jennifer Camper -- Roz Warren Interviews Jennifer Camper -- Rona Chadwick -- Kate Debold -- Rhonda Dicksion -- Diane Dimassa -- Elana Bouvier Interviews Diane Dimassa -- Wendy Eastwood -- Leslie Ewing -- Karen Favreau -- Nicole Ferentz -- Fish -- Fish Interviews Hothead And Chicken -- Ellen Forney -- Leanne Franson -- Nikki Gosch -- Roberta Gregory -- Robin Bernstein Interviews Roberta Gregory -- Joan Hilty -- Cath Jackson -- Kris Kovick -- Emily Greenberg Interviews Kris Kovick -- Erica Lopez -- Beck Main -- Andrea Natalie -- Robin Bernstein Interviews Andrea Natalie -- Jo Nesbitt -- Barbary O'brien -- Michelle Rau. Edited By Roz Warren. Includes Bibliographical References (p. 205-206).,en,First Edition,"Height: 11 Inches, Length: 8.75 Inches, Weight: 1.3 Pounds, Width: 0.75 Inches",16.95,https://images.isbndb.com/covers/00/80/9781573440080.jpg,Success,55,18.2
0-385-47790-2,Little Girls in Pretty Boxes: The Making and Breaking of Elite Gymnasts and Figure Skaters,"Ryan, Joan",Doubleday,243,5/1/1995,,Hardcover,Joan Ryan.,en,First Edition,"Height: 9.5 Inches, Length: 6.75 Inches, Weight: 1.15 Pounds, Width: 1.25 Inches",22.95,https://images.isbndb.com/covers/79/01/9780385477901.jpg,Success,78,18.2
0-87701-805-7,Eye Spy,"Bourke, Linda",Chronicle Books,64,8/1/1991,,Hardcover,,en,,"Height: 10.4 Inches, Length: 8.9 Inches, Weight: 1.01853565044 Pounds, Width: 0.5 Inches",15.95,https://images.isbndb.com/covers/80/56/9780877018056.jpg,Success,77,18.2
0-7484-0368-X,"Sex Surveyed, 1949-1994: From Mass-Observation's ""Little Kinsey"" To The National Survey And The Hite Reports (Feminist Perspectives on the Past and Present)","Stanley, Liz",Taylor & Francis,258,6/26/1995,Literary Collections,Paperback,"<p>This book provides the only feminist overview of the development of both the mainstream and the feminist variant of the survey as a means of investigating sexual attitude and behaviour. Sex Surveyed focuses on the sex survey for a number of reasons: first, surveys have been extremely important in influencing popular opinion about sexual norms and conventions; second, this approach is crucial to ideas about science, generalisability and validity; third, developments in the form and status of the survey from the 1930s through the post-war period are complexly interwoven with the sex survey and are under-researched particularly from a feminist viewpoint. Section One examines the creation of Mass-Observation and the epistemological and methodological stance which led to the world's first national random sample survey of sex, as well as the major British sex surveys carried out from Mass-Observation's 1949 'Little Kinsey' through to the 1994 Wellcome 'National Survey of Sexual Attitudes and Lifestyles'. Section Two contains the full 'Little Kinsey' report, which many contemporary researchers allude to but which has not been published before now. Section Three discusses the structure and argument of 'Little Kinsey' and compares its approach with that of the feminist sex surveys carried out by Shere Hite through a detailed discussion of the Hite Reports. Illuminating reading for the general reader, essential reading for students on Sexuality, Methodology, Women's Studies and British Modern Social History courses, and a key text for all Sociologists.</p>",en,1,"Height: 9.21 Inches, Length: 6.14 Inches, Weight: 0.89948602896 Pounds, Width: 0.59 Inches",59.95,https://images.isbndb.com/covers/36/84/9780748403684.jpg,Success,86,18.2
1-85242-237-8,Women As Lovers,"Jelinek, Elfriede",Serpent's Tail,192,7/1/1995,,Paperback,"The setting is an idyllic Alpine village where a women's underwear factory nestles in the woods. Two factory workers, Brigitte and Paula, dream and talk about finding happiness, a comfortable home and a good man. They realise that their quest will be as hard as work at the factory. Brigitte subordinates her feelings and goes for Heinz, a young, plump, up-and-coming businessman. With Paula, feelings and dreams become confused. She gets pregnant by Erich, the forestry worker. He's handsome, so they marry. Brigitte gets it right. Paula gets it wrong.",en,Main,"Height: 7.7 Inches, Length: 5.1 Inches, Weight: 0.3968320716 Pounds, Width: 0.5 Inches",17.95,https://images.isbndb.com/covers/23/70/9781852422370.jpg,Success,71,18.2
0-88730-694-2,"Clicking: 16 Trends to Future Fit Your Life, Your Work, and Your Business","Popcorn, Faith, Marigold, Lys",Harperbusiness,512,1996,"Economic Forecasting, United States Studies - General & Miscellaneous, Business Life - General & Miscellaneous, Success, Motivation & Self-Esteem, Society & Culture - Forecasting",Hardcover,"<p>Heraldedas Nostradamus of marketing by Fortune magazine,Faith Popcorn is the premier trend guru; her national bestsellerThe Popcorn Report identified the business and personal trends thatdefined a decade, from Cocooning to the phenomenon of Cashing Out. Nobodyhas been more accurate in demonstrating how to profit from tracking thetrends, and in Clicking, Popcorn tells readers how to CLICK intomore recently identified trends to future fit themselves professionallyand personally.The woman who made Cocoon a verb, who predicted the retreat from the corporaterat race to home-based businesses, now shows readers how they can activelyuse trends to click into the future and into new careers and lifestylesthat are more rewarding and fulfilling. From Pleasure Revenge to FemaleThinkto Icon Toppling, Clicking explores the trends that will shape ourfuture.Popcorn and her co-author, Lys Marigold, chart the sixteen major trendsthat Popcorn's company, BrainReserve, has identified to make the right choices- in business and in life. To illustrate the process, Popcorn and Marigoldtalk about people they've interviewed and give examples of new products,new ideas, and new companies, as well as individuals who have successfullyclicked.Clicking is an invaluable road map that will teach listeners how tocapitalize on the newest trends and click into success. It is about possibilities,taking chances, and taking charge of the future - now.</p>                        <p>From the author of the bestselling Popcorn Report comes an inspiring new book that offers the reader a chance to find his own niche and take charge of his future by using trends to click into new careers and lifestyles that are more rewarding and fulfilling.</p>",en,First Edition,"Height: 9.75 Inches, Length: 6.5 Inches, Weight: 1.9 Pounds, Width: 1.5 Inches",1.99,https://images.isbndb.com/covers/69/45/9780887306945.jpg,Success,81,18.2
0-9633743-6-2,Writing For Our Lives,Janet M. Mcewan,Running Deer Pr,78,1995,,Paperback,,en,,,6,https://images.isbndb.com/covers/43/63/9780963374363.jpg,Success,71,18.2
0-7484-0346-9,Sexual Interactions and HIV Risk: New Conceptual Perspectives in European Research (Social Aspects of AIDS),Mitchell Cohen,Taylor & Francis,272,1/24/1997,"Aids (disease), Social Aspects, Prevention",Paperback,"<p>How sexual risk is negotiated betwen partners is an area of considerable theoretical interest, with the dominant models of analysis focusing on individual decisions to engage in sexual behaviour and relying on ""rational"" decision-making. This work, based on the findings from work coordinated by the Centre d'Etudes Sociologiques in Brussels, offers a social critique of the theories and perspectives which have currently been brought to bear in the study of sexual risk behaviour and HIV. Leading European researchers offer a conceptual framework for analysis based on sexual interactions and their social context. The practical relevance of new perspectives on sexual behaviour in the context of HIV/AIDS prevention is also discussed.</p>",en,1,"Height: 9.21 Inches, Length: 6.14 Inches, Weight: 0.99869404686 Pounds, Width: 0.64 Inches",68.95,https://images.isbndb.com/covers/34/62/9780748403462.jpg,Success,86,18.2
0-7484-0232-2,AIDS as a Gender Issue: Psychosocial Perspectives (Social Aspects of AIDS),,Taylor & Francis,283,1/14/1997,,Paperback,,en,1,"Height: 9.21 Inches, Length: 6.12 Inches, Weight: 0.99869404686 Pounds, Width: 0.66 Inches",74.95,https://images.isbndb.com/covers/23/28/9780748402328.jpg,Success,86,18.2
0-671-86893-4,Not by the Sword: How the Love of a Cantor and His Family Transformed a Klansman,"Watterson, Kathryn",Simon & Schuster,352,3/10/1995,,Hardcover,,en,First Edition,"Height: 9.5 Inches, Length: 6.25 Inches, Weight: 1.45 Pounds, Width: 1 Inches",23,https://images.isbndb.com/covers/89/32/9780671868932.jpg,Success,89,18.2
0-929523-28-8,How to Fight Back and Win: The Joy of Self-Defense,"Fein, Judith",Torrance Pub Co,175,1996,"Women, Crimes Against, Prevention, Self-defense For Women, Rape",Paperback,,en,First Edition,"Height: 9 Inches, Length: 6 Inches, Weight: 0.65 Pounds, Width: 0.5 Inches",23.95,https://images.isbndb.com/covers/32/86/9780929523286.jpg,Success,15,18.2
0-06-092650-3,Fever,"Slung, Michelle",Harper Perennial,240,7/19/1995,,Paperback,,en,Reprint,"Height: 8 Inches, Length: 5.3125 Inches, Weight: 0.4 Pounds, Width: 0.519481 Inches",12.5,https://images.isbndb.com/covers/65/02/9780060926502.jpg,Success,82,18.2
0-425-14780-0,Sexual Violence: Our War Against Rape,"Fairstein, Linda",Berkley Books,288,6/1/1995,,Paperback,"For more than fifteen years, Linda Fairstein has directed the Sex Crimes Prosecution Unit within the Manhattan D.A.'s office. The first such organization in the country, this unit is charged with supervising every sex crimes prosecution in Manhattan. As a consequence Linda Fairstein and her associates have been at the very center of the massive changes in sex crimes law and procedure that have occurred over the past two decades. Emulated in most other major cities, New York's SCPU and its counterparts throughout the country have had extraordinary high success rates in prosecuting these violent crimes. Through their efforts, a victim of rape now can expect sensitive treatment from the police, can expect to be believed and supported, and has some reasonable expectation of winning in the courtroom. In Sexual Violence, Linda Fairstein shares the wisdom she has accumulated on the front lines in the war against rape, from her beginnings as a corporate law-bound female graduate of a prestigious law school to her job in the D.A.'s office at a time when criminal prosecution was ""no place for a woman."" Over the years, Linda Fairstein has personally tried or been involved in scores of nationally prominent rape cases, including the Robert Chambers Preppy Murder Trial and the case of the Central Park Jogger. She has been called upon to comment on virtually every significant sex crimes investigation in the country. Through the story of the Midtown Rapist case and other major investigations, she shows here how the system works to protect victims and punish criminals: how evidence is gathered, how witnesses are interviewed, how indictments are produced, and, finally, the nuts and bolts of trial, verdict, and sentencing. Sexual Violence is a living document of the transformation of our notion of sex crimes, an up-to-date commentary on the vital issues of stranger and date rape and the struggle to expunge the traditional stigma that has for too long been attached to victims of s

                        <p>For two decades, Linda Fairstein has waged war against rape. From directing Mahattan's Sex Crimes Prosecution Unit to her involvement in nationally prominent rape cases, this book offers the extraordinary story of the crimes, the trials, the convictions--and the massive changes within the legal processes that give new hope to sex crime victims today.
</p>",en,,"Height: 5 Inches, Length: 7 Inches, Weight: 1.01 Pounds, Width: 1 Inches",14,https://images.isbndb.com/covers/78/01/9780425147801.jpg,Success,80,18.2
1-56280-099-X,Getting There: A Novel,"Sommers, Robbi",Naiad Pr,176,1995,"Lesbians, Lesbians--Fiction, PS3569.O65335 G47 1995, 813/.54",Paperback,By Robbi Sommers.,en,First Edition,"Height: 8.75 Inches, Length: 5.75 Inches, Weight: 0.5 Pounds, Width: 0.25 Inches",0,https://images.isbndb.com/covers/09/94/9781562800994.jpg,Success,23,18.2
1-56280-099-X,Getting There: A Novel,"Sommers, Robbi",Naiad Pr,176,1995,"Lesbians, Lesbians--Fiction, PS3569.O65335 G47 1995, 813/.54",Paperback,By Robbi Sommers.,en,First Edition,"Height: 8.75 Inches, Length: 5.75 Inches, Weight: 0.5 Pounds, Width: 0.25 Inches",0,https://images.isbndb.com/covers/09/94/9781562800994.jpg,Success,65,18.2
1-56455-311-6,Breast Health (Honoring Women's Wisdom Series),"Northrup, Christiane","Sounds True, Incorporated",60,1/1/1997,,Audio Cassette,,en,,"Height: 7 Inches, Length: 4.5 Inches, Weight: 0.20062065842 Pounds, Width: 0.75 Inches",6.99,https://images.isbndb.com/covers/31/19/9781564553119.jpg,Success,56,18.2
1-55050-081-3,Melanie Bluelake's Dream,"Dorion, Betty",Coteau Books,156,1/1/1995,,Paperback,"<p>Melanie Bluelake, a ten-year-old Cree girl, finds herself pulled between the familiar and the new when she moves from a northern reserve to a Saskatchewan city.</p>",en,1,"Height: 7.5 Inches, Length: 5.25 Inches, Weight: 0.59965735264 Pounds, Width: 0.4 Inches",5.95,https://images.isbndb.com/covers/08/13/9781550500813.jpg,Success,63,18.2
