ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
,,,,,,,,,,,,,,Error,,12.4
0-393-02297-8,For Sylvia: An Honest Account,"Ackland, Valentine",W W Norton & Co Inc,160.0,1986,,Hardcover,By Valentine Ackland ; Foreword By Bea Howe.,en,First American Edition,"Height: 9.8425 Inches, Length: 7.874 Inches, Weight: 0.72091159674 Pounds, Width: 0.59055 Inches",25.01,https://images.isbndb.com/covers/29/71/9780393022971.jpg,Success,54.0,12.4
00-257-5755 8,,,,,,,,,,,,,,Error,16.0,12.4
0-86571-156-9,The Next Generation: Lives of Third World Children,"Ennew, Judith, Milne, Brian",New Society Pub,240.0,1990,,Paperback,,en,,"Height: 8.75 Inches, Length: 5.25 Inches, Width: 0.75 Inches",14.95,https://images.isbndb.com/covers/15/63/9780865711563.jpg,Success,84.0,12.4
0-87546-158-1,Secretary and a Cook: Challenging Women's Wages in the Courts of the United States and Great Britain (Cornell International Industrial & Labour Relations Reports),"Willborn, Steven L.",ILR Press,214.0,1989,"Pay equity--Law and legislation, Pay equity--Law and legislation--United States, Pay equity--Law and legislation--Great Britain, K1770 .W55 1989, 344.73/0121 347.304121",Paperback,"<p>This book is an accessible examination and comparison of two important comparable worth cases, one in the United States and one in Great Britain. Willborn explores the struggle in two societies to reconcile a sense of justice with the preconception that certain jobs, such as cooking and typing, are ""women's work"" and the people who do them are entitled to less pay as a result.</p>",en,,"Height: 9.25 Inches, Length: 6.25 Inches, Weight: 0.7936641432 Pounds, Width: 0.75 Inches",30.7,https://images.isbndb.com/covers/15/88/9780875461588.jpg,Success,33.0,12.4
0-8240-3048-6,Japanese Women Writers In English Translation. An Annotated Bibliography,Claire Zebroski Mamola,Garland,498.0,1989,"Japanese literature--Women authors--Translations into English, Japanese literature--Women authors--Translations into English--Bibliography, Women and literature, Women and literature--Japan--Bibliography, Z3308.L5 M34 1989, PL782.E1, 016.8956/08/09287",Hardcover,Claire Zebroski Mamola. Vol. [1] Not Numbered. Includes Index.,en,,2 v. ; 23 cm.,65.0,https://images.isbndb.com/covers/04/83/9780824030483.jpg,Success,31.0,12.4
0-915306-84-0,Ashes of Izalco,"Claribel Alegría, Darwin J. Flakoll",Curbstone Books,174.0,1995-07-01,"Massacres, Massacres--El Salvador--Fiction, History, PQ7539.A47 A8 1989",Paperback,"<p>Written in two voices, <i>Ashes of Izalco</i> is a collaborative novel by Claribel Alegrfa and Darwin Flakoll, a love story set against the events of 1932 when thirty thousand Indians and peasants were massacred in Izalco, El Salvador. <i>Ashes of Izalco</i> brings together a Salvadoran woman and an American man who together struggle over issues of love, loyalty and socio--political injustices.</p>",en,First Edition,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.73413933246 Pounds, Width: 0.6 Inches",14.5,https://images.isbndb.com/covers/68/48/9780915306848.jpg,Success,81.0,12.4
0-8240-6637-5,"Women's Diaries, Journals and Letters: An Annotated Bibliography (Garland Reference Library of the Humanities)","Cline, Cheryl",Garland Science,716.0,1989-12-01,"Women--Biography, Women--Biography--Bibliography, Autobiography, Autobiography--Bibliography, Women--Diaries, Women--Diaries--Bibliography, Women--Correspondence, Women--Correspondence--Bibliography, Z7963.B6 C55 1989, CT3230, 016.92072",Hardcover,Cheryl Cline.,en,1,"Height: 9 Inches, Length: 6 Inches, Weight: 1.00089866948 Pounds, Width: 1.5 Inches",20.0,https://images.isbndb.com/covers/63/76/9780824066376.jpg,Success,31.0,12.4
0-86571-167-4,A Shallow Pool of Time: An Hiv+ Woman Grapples With the AIDS Epidemic,"Peavey, Fran",New Society Pub,155.0,1990,"HealthPeavey, Fran, Acquired Immunodeficiency Syndrome, AIDS (Disease)--Patients, AIDS (Disease)--Patients--United States--Diaries, RC607.A26 P446 1990, WD 308 P363 1990, 362.1/9697/920092, B",Paperback,Fran Peavey.,en,,"Height: 9 Inches, Length: 6 Inches, Weight: 0.54895103238 Pounds, Width: 0.75 Inches",1.99,https://images.isbndb.com/covers/16/79/9780865711679.jpg,Success,84.0,12.4
0-920259-20-0,,,,,,,,,,,,,,Error,78.0,12.4
