ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
0-935312-76-5,"Writing Red: An Anthology of American Women Writers, 1930-1940",,The Feminist Press at CUNY,368.0,1993-01-01,"American literature--Women authors, American literature, American literature--20th century, Social problems--Literary collections, Women--Literary collections, Feminism--Literary collections, PS509.S5 W75 1987, 810/.8/09287",Paperback,"Women And The U.s. Literary Radicalism ; Writing Red: Women's Short Fiction Of The 1930s / Paula Rabinowitz -- Shan-fei, Communist / Anges Smedley -- Sequel To Love / Meridel Le Sueur -- From Industrial Valley / Ruth Mckenney -- Room In The World / Leane Zugsmith -- Deepening Dusk / Edith Manuel Druham -- Two-bit Piece / Lucille Boehm -- The Whipping / Marita Bonner -- The Woman In The Window/ Ramona Lowe -- Our House / Elizabeth Thomas -- Hurry, Hurry / Eleanor Clark -- The Enemy / Josephine Herbst -- The Mouse-trap / Tess Slesinger -- Worlds Moving: Women, Poetry, And The Literary Politics Of The 1930s / Charlotte Nekola -- Ann Burlak; Absalom; More Of A Corpse Than A Woman; Fifth Elegy: A Turning Wind / Muriel Rukeyser -- Tryp Tropic ; Return Of The Native; To My Mother ; Silence In Mallorca; Proud Day; Autumn Song For Guitar; Creative Effort; Ode In Time Of Crisis / Genevieve Taggard -- Under The Sound Of Voices; He Who Shall Turn; Ice Winter / Josephine W. Johnson -- For My People; Dark Blood; Lineage / Margaret Walker -- The Palm Wine Seller / Gladys Casely Hayford -- All Things Insensible / Kathleen Tankersley Young -- Breed, Women, Breed; Lady In A Limousine; Parade The Narrow Turrets / Lucia Trent -- On The Wall To Your Left / Ruth Lechlitner -- White Man's Blues / Susan Mcmillan Shepherd -- Mothers / Mary Leduc Gibbons -- This Woman ; Twentieth Century Americanism ; Prayer Against Indifference / Joy Davidman -- I Want You Women Up North To Know / Tillie Olsen -- Which Side Are You On?/ Florence Reece -- I Am A Union Woman ; The Hungry Blues / Aunt Molly Jackson -- Worlds Unseen: Political Women Journalists And The 1930s / Charlotte Nekola -- A Passport From Realengo / Josephine Herbst -- The People In China / Agnes Smedley -- Fighters For Women's Rights; Front Trenches -northwest / Anna Louise Strong -- Women Freed / Ella Winter -- Finding Women / Ruth Gruber -- The Strike / Tillie Olsen -- Them Women Sure Are Scrappers / Vivian Dahl -- Women Of The Cotton Fields / Elaine Ellis -- Bessie: A Garment Strike Story / Mary Guimes Lear -- We Are Mill People / Ella Ford -- My Life: A True Story By A Negro Worker Of The South; And Mine: A True Story By A Negro Worker Of The North ; No More Helling! A True Story By A Working Woman / Anonymous -- Negro Women In Steel / Mollie V. Lewis -- A Good Landlord (an Interview With Our Janitress) / Dorothy Day -- Chicago In The Rain (relief For Negro Homeless Men On The South Side) / Thyra J. Edwards -- School For Bums; Hard-boiled / Mary Heaton Vorse -- Leave Them Meters Be!; Water! / Myra Page -- The Fetish Of Being Outside / Meridal Le Sueur -- Manufacturing Femininity ; The Pivot Of The System ; The Code Of A Class / Mary Inman -- Women And Communism / Rebecca Pitts -- Women Under Capitalism -- The Double Burden / Grace Hutchins. Edited By Charlotte Nekola And Paula Rabinowitz ; Foreword By Toni Morrison. Includes Bibliographical References.",en,First Edition,"Height: 9 Inches, Length: 6 Inches, Weight: 1.1133344231 Pounds, Width: 0.1 Inches",21.95,https://images.isbndb.com/covers/27/68/9780935312768.jpg,Success,64.0,11.1
0-920806-92-9,Notebook of Stone,"Lozowski, Vivian Darrcch",Penumbra Press,71.0,1987,,Paperback,By Vivian Darroch-lozowski.,en,,Weight: 0.31526103466 Pounds,20.0,https://images.isbndb.com/covers/69/20/9780920806920.jpg,Success,19.0,11.1
,,,,,,,,,,,,,,Error,,11.1
0-931188-66-0,Hard-Hatted Women: Stories of Struggle and Success in the Trades,"Martin, Molly",Seal Press,265.0,1988,,Paperback,Beth Szillagyi: Sheet Metal Worker -- Mary Ruggiero: Welder -- Jessica Hopkins: Stationary Engineer -- Pat Cull: Carpenter -- Trudy Pax Farr: Steelworker -- Fai Coffin: Drywall Rocker And Taper -- Rose Melendez: Police Officer -- Mari Lochhaas: Fisher -- Gloria Nelson: Operating Engineer -- Fran Krauss: Ironworker -- Polly Jerome: Rural Builder -- Johnnie James: Miner -- Nina Saltman: Carpenter Foreman -- Vicki Smith: Sprinkler Fitter -- Lucy Lim: Utility Switch Operator -- Terese M. Floren: Firefighter -- Naomi Friedman: Plumbing Contractor -- Gigi Marino: Merchant Sailor -- Juanita Sanchez: Machinist -- Marian Swerdlow: Subway Conductor -- Laura Deane Mason: Rural Contractor -- Cassandra Miller: Electronics Inspector -- Susan Eisenberg: Electrician -- Judith Foster: Trucker -- Mary Baird: Phone Repair Technician -- Sue Doro: Machinist. Edited By Molly Martin.,en,First Edition,"Height: 8.75 Inches, Length: 1 Inches, Weight: 0.80027801106 Pounds, Width: 5.75 Inches",12.95,https://images.isbndb.com/covers/86/64/9780931188664.jpg,Success,60.0,11.1
0-8143-1954-8,The Woman As Good As the Man (Men Who Wrote About Women Series) (English and French Edition),"De LA Barre, Poullin",Wayne State Univ Pr,168.0,1988,,Paperback,François Poullain De La Barre ; Translated By A.l. ; Edited With Introduction By Gerald M. Maclean. Based On The English Translation Of: De L'égalité Des Deux Sexes. 1673. Includes Index. Bibliography: P. 157-164.,en,First Edition Thus,Weight: 0.62 Pounds,15.95,https://images.isbndb.com/covers/95/43/9780814319543.jpg,Success,74.0,11.1
0-935312-89-7,"Black Foremothers: Three Lives, Second Edition (Women's Lives/Women's Work)","Sterling, Dorothy",The Feminist Press at CUNY,224.0,1993-01-01,,Paperback,"<p><P>&#160;&#160;&#160;Three heroic women whose stories, in the words of Margaret Walker, ""every woman, man, and child should know""&#58; Ellen Craft, the daring runaway Georgia slave who used her freedom to serve the cause of abolition; Ida B. Wells, th firebrand journalist whose crusade against lynching awakened the consciousness of a nation; and Mary Church Terrell, a gifted and untiring leader in the movement for suffrage, civil rights, and world peace. Through painstaking research, Sterling not only produces a fascinating account of three outstanding leaders; she also documents the role hitherto ""faceless, nameless millions of African-American women"" have played in shaping our culture and history. Reflecting and connecting the historical struggle of the years 1826 through 1954, Black Foremothers will captivate and inspire readers, young and old.</p>",en,Second,"Height: 9.01573 Inches, Length: 5.98424 Inches, Weight: 0.80248263368 Pounds, Width: 0.5106289 Inches",16.95,https://images.isbndb.com/covers/28/98/9780935312898.jpg,Success,64.0,11.1
0-87795-943-9,Great Shape: The First Exercise Guide for Large Women,"Lyons, Pat, Burgard, Debby",Arbor House Pub Co,196.0,1988,,Hardcover,,en,First Edition,Weight: 1.24 Pounds,22.95,https://images.isbndb.com/covers/94/34/9780877959434.jpg,Success,65.0,11.1
0-940208-05-9,Good Vibrations: The Complete Guide to Vibrators,"Blank, Joani",Down There Pr,44.0,1986,,Paperback,"A new edition of the classic work on the uses and pleasures of vibrators. With illustrations and bibliography. Covers all the essentials of buying, caring for and enjoying vibrators.",en,,,4.5,https://images.isbndb.com/covers/80/56/9780940208056.jpg,Success,58.0,11.1
4 925 91 -0 1,,,,,,,,,,,,,,Error,51.0,11.1
0-938626-81-7,Sudden Hunger,"Bruce, Debra",Univ of Arkansas Pr,76.0,1987-11,,Hardcover,,en,,Weight: 1 Pounds,18.0,https://images.isbndb.com/covers/68/17/9780938626817.jpg,Success,22.0,11.1
