ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
0-8101-0761-9,Diary and Letters of Kaethe Kollwitz,"Kollwitz, Kaethe",Northwestern University Press,272.0,1989-06-01,,Paperback,"<p>One of the great German Expressionist artists, Kaethe Kollwitz wrote little of herself. But her diary, kept from 1900 to her death in 1945, and her brief essays and letters express, as well as explain, much of the spirit, wisdom, and internal struggle which was eventually transmuted into her art.</p>",en,1,"Height: 10 Inches, Length: 7 Inches, Weight: 1.1133344231 Pounds, Width: 0.8 Inches",29.95,https://images.isbndb.com/covers/76/18/9780810107618.jpg,Success,59.0,13.1
0-679-72273-4,Reflections on the Way to the Gallows: Rebel Women in Prewar Japan,"Hane, Mikiso",Pantheon,274.0,1990-03-10,,Paperback,,en,1st pbk. ed,Weight: 0.75 Pounds,1.99,https://images.isbndb.com/covers/27/31/9780679722731.jpg,Success,77.0,13.1
0394- 0 0- -9,,,,,,,,,,,,,,Error,93.0,13.1
0-942996-14-3,The Spring Flowers Own and the Manifestations of the Voyage,"Adnan, Etel",The Post-Apollo Press,101.0,1990-04-01,"Lebanese poetry (English), PS3551.D65 S6 1990, 811/.54",Paperback,Etel Adnan ; Drawings By Etel Adnan.,en,First Edition,"Height: 8.75 Inches, Length: 6 Inches, Weight: 1 Pounds, Width: 0.5 Inches",12.0,https://images.isbndb.com/covers/61/42/9780942996142.jpg,Success,71.0,13.1
0-8216-2008-8,A Movie: A Novel,"Olson, Donald S.",Carol Pub Group,169.0,1990,,Paperback,,en,Reprint,"Height: 8.5 Inches, Length: 5.5 Inches, Width: 0.5 Inches",8.95,https://images.isbndb.com/covers/00/83/9780821620083.jpg,Success,67.0,13.1
0-915306-82-4,Local Deities,"Bushell, Agnes",Curbstone Press,306.0,1995-07-01,"Parent And Child, Fiction, Radicals",Paperback,,en,First Edition,"Height: 8.75 Inches, Length: 5.5 Inches, Weight: 0.85 Pounds, Width: 1 Inches",11.95,https://images.isbndb.com/covers/68/24/9780915306824.jpg,Success,75.0,13.1
0-553-28612-9,"Good Birth, a Safe Birth, A","Korte, Diana",Bantam,401.0,1990-05-01,,Paperback,"Covers The Selection Of An Obstetrician, The Use Of Painkillers, Fetal Monitors, Bilirubin Lights, Ultrasonography, Hospital Procedures, Labor, Delivery, And Mothering",en,Revised,Weight: 0.5 Pounds,0.0,https://images.isbndb.com/covers/61/20/9780553286120.jpg,Success,96.0,13.1
1-800-35553-5,,,,,,,,,,,,,,Error,30.0,13.1
0-9625957-5-6,Mothers of Thyme: Customs and Rituals of Infertility and Miscarriage,"Sha, Janet L.",Lida Rose Pr,128.0,1990,,Paperback,,en,First Edition,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 1.1684499886 Pounds, Width: 0.5 Inches",9.95,https://images.isbndb.com/covers/57/52/9780962595752.jpg,Success,79.0,13.1
0-940880-25-3,Black Heroes of the Wild West,"Pelz, Ruth",Open Hand Pub Llc,58.0,1990,,Hardcover,,en,First Edition,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.55 Pounds, Width: 0.25 Inches",12.95,https://images.isbndb.com/covers/02/52/9780940880252.jpg,Success,77.0,13.1
