ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
0-934971-03-x,"The White Junk of Love, Again","James, Sibyl",Calyx Books,75.0,1986-12-01,"American Poetry, Italian Poetry, Sonnets, French Poetry, Love Poetry",Paperback,"<br>Poetry. In these translitics of the sonnets of sixteenth century poet Louise Labe, James's contemporary voice allows Labe's struggle with passion and eroticism to surface with new life. James creates a jazzy, tough-minded voice that is easy to imagine as that of an avant-garde poet of 1550 transported to the late 20th century--Seattle Times.",en,First Edition,"Height: 8.5 Inches, Length: 5.4 Inches, Width: 0.4 Inches",0.0,https://images.isbndb.com/covers/10/34/9780934971034.jpg,Success,32,8.5
0-9601688-2-6,Healing Yourself Joy Gardner Seventh Revised Edition,Joy Gardner,Snohomish,,1982,"Traditional medicine, Medicine, Popular",Paperback,Joy Gardner. Includes Index.,en,,Weight: 0.25 Pounds,0.0,https://images.isbndb.com/covers/88/28/9780960168828.jpg,Success,42,8.5
0-914728-53-9,The Motherpeace Tarot Playbook,"Noble, Vicki; Tenney, Jonathan",Wingbow Press,206.0,1993,,Paperback,,en,1,8.42 (w) x 10.86 (h) x 0.55 (d),21.0,https://images.isbndb.com/covers/85/35/9780914728535.jpg,Success,5,8.5
0-9601688-3-4,Abortion - A Personal Approach,Joy Gardner,Healing Yourself,,1985,,Paperback,,en,,,5.95,https://images.isbndb.com/covers/88/35/9780960168835.jpg,Success,42,8.5
0-914728-54-7,Hearts Open Wide: Midwives & Births,"Wellish, Pam",Wingbow Pr,256.0,1987,,Paperback,,en,1st ed,"Height: 8.75 Inches, Length: 5.75 Inches, Weight: 5.8 Pounds, Width: 0.75 Inches",9.95,https://images.isbndb.com/covers/85/42/9780914728542.jpg,Success,5,8.5
