ISBN,Title,Author,Publisher,Pages,Date Published,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,volume,issue
1-55583-354-3,Early Embraces: True-Life Stories of Women Describing Their First Lesbian Experience,,Alyson Pubns,190,1996,Paperback,"<b>An excerpt</b>
<p class=""null1"">RSVP by Julia Willis</p>
<p>""Can you come to a fish fry?"" you asked. Leaving me there in that windowed stairwell where we'd been talking, you rushed away to your next class after the final bell rang. I watched you below dart out of the building and down the sidewalk, stop, turn, look up, and catch me watching you. Then embarrassed from being caught, I waved, casually, friendly, you know -- but instead of going on your way, you dashed right back into the building and called up the stairwell to me. ""Can you come to a fish fry?""</p>
<p>I thought you were joking. ""A fish fry?"" I laughed.</p>
<p>""We're having one at my house."" That house you shared in town with three other women -- Susan, who would end up spending all the money she'd collected for the utility bills before moving in with her married and gray-haired abnormal-psychology professor; Lisa, whose childhood had been nastily scarred by a father's promise to have TV's Annie Oakley at her eighth birthday party (he brought home the actress while she was on a 10-city promotional tour--a grown-up lady in a suit, a lady no one recognized without her trademark pigtails, guns, fringed vest and cowgirl boots, and ten little girls wept bitterly); and finally Margaret, your best friend from high school, who I and most people assumed you were or had been lovers with, since the air around you both was so thick with longing that we could all taste it.</p>
<p>""Bring everybody from Duchess house, if you want,"" you said. Duchess House being that collapsing country farmhouse I lived in with Dick and Diana, a young married couple -- too young and too married--and an assortment of other revolving students. The house was so named because our English teacher, Dick's and mine, said all great literature made use of religion, sex, or the aristocracy, hence the greatest sentence ever written would go something like: ""My God,"" said the duchess to the bishop, ""take your hand off my thigh."" Duchess. House.</p>
<p>We wrote and painted and acted, your household and mine--all of us talented, all of us terrified of that talent, that it wouldn't be enough (as indeed it wouldn't be) or that it might be too much (as it most certainly would). You were a visual artist, but your father was head</p>",en,First Edition,"Height: 8.5 Inches, Length: 5.25 Inches, Weight: 0.6283174467 Pounds, Width: 0.5 Inches",1.99,https://images.isbndb.com/covers/35/41/9781555833541.jpg,Success,50,22,1
0-942586-61-1,"Women's Travel in Your Pocket: Accommodations, Nightlife, Tours & Outdoor Adventure - USA & Worldwide (17th ed)",Ferrari International Staff,Ferrari Pubns,,1997,Paperback,,en,17th,"Height: 7.25 Inches, Length: 1 Inches, Width: 4.5 Inches",0,https://images.isbndb.com/covers/66/19/9780942586619.jpg,Success,50,22,1
1-56341-086-9,"Hot, Throbbing Dykes to Watch Out for","Bechdel, Alison",Firebrand Books,142,1997,Paperback,"Throbbing Dykes To Watch Out For is Alison Bechdel's seventh sensuous cartoon collection, her libidinous commentary on the tsunami of lesbian erotica surging through the culture. While M - our lesbian-feminist everywoman - looks on askance, sexy babe Lois and postmodern femme-top Sydney spearhead the thrust into sex toys and higher sales at Madwimmin Books. In these days of girls writing erotica about boys, and boys writing erotica about girls (so what's new?), Alison Bechdel exposes her familiar cast of characters carnal mores.",en,Illustrated edition,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 1.10231131 Pounds, Width: 0.25 Inches",12.12,https://images.isbndb.com/covers/08/64/9781563410864.jpg,Success,50,22,1
770427596,Alias Grace,"Atwood, Margaret",Seal Books,576,9/2/1997,Paperback,,en,First Paperback Edition,Weight: 0.625 Pounds,0,https://images.isbndb.com/covers/75/97/9780770427597.jpg,Success,50,22,1
0-452-27747-7,The Intimacy Dance: A Guide to Long-Term Success in Gay and Lesbian Relationships,"Berzon, Betty",Plume,304,9/1/1997,Paperback,,en,,"Height: 8 Inches, Length: 6 Inches, Weight: 0.6 Pounds, Width: 0.75 Inches",17,https://images.isbndb.com/covers/74/72/9780452277472.jpg,Success,50,22,1
394281780,Fall on Your Knees,"Macdonald, Ann-Marie",Vintage Canada,576,8/26/1997,Paperback,,en,1st,"Height: 7.98 Inches, Length: 5.15 Inches, Weight: 0.88 Pounds, Width: 1.21 Inches",0,https://images.isbndb.com/covers/17/80/9780394281780.jpg,Success,50,22,1
679308776,Larry's Party,"Shields, Carol",Random House Canada,,9/2/1997,Hardcover,,en,First Edition,Weight: 1.2375 Pounds,0,https://images.isbndb.com/covers/87/75/9780679308775.jpg,Success,50,22,1
345412257,Let's Face the Music and Die,"Scoppettone, Sandra",Ballantine Books,312,4/28/1997,Paperback,"""A MUST-READ FOR CRIME-NOVEL FANATICS . . . That rarity, a serious, multilayered novel of crime that recalls Graham Greene's Third Man and Brighton Rock.""<br>
--Booklist<br>
All is not well in the life of Greenwich Village lesbian P.I. Lauren Laurano. She and her lover are drifting apart. There's a psychopath watching her every move. Her friend Elissa's rich aunt has just been brutally murdered--and the police suspect that Elissa is the killer. <br>
Lauren knows better. So, using her unique combination of street-savvy detecting and on-line know-how, Lauren sets out to prove Elissa's innocence. But exonerating her friend rapidly turns into a perilous assignment. <br>
Stalking and being stalked, Lauren Laurano is forced to use resources she never knew she had--just to stay alive. <br>
""ENGAGING . . . A deft touch is the closing cliffhanger.""<br>
--Publishers Weekly",en,paperback / softback,"Height: 7.25 Inches, Length: 4.5 Inches, Weight: 0.4 Pounds, Width: 1 Inches",1.99,https://images.isbndb.com/covers/22/56/9780345412256.jpg,Success,50,22,1
425158993,Liberty Square,"Forrest, Katherine V.",Berkley,242,7/1/1997,Mass Market Paperback,,en,,"Height: 6.78 Inches, Length: 4.32 Inches, Weight: 0.3 Pounds, Width: 0.69 Inches",5.99,https://images.isbndb.com/covers/89/99/9780425158999.jpg,Success,50,22,1
088974078X,Prozac Highway: A Novel,"Blackbridge, Persimmon",Press Gang Pub,267,1997,Paperback,,en,First Edition,"Height: 7.5 Inches, Length: 5.5 Inches, Width: 1 Inches",14.95,https://images.isbndb.com/covers/07/85/9780889740785.jpg,Success,50,22,1
