ISBN,Title,Author,Publisher,Pages,Date Published,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,volume,issue
0-88974-078-X,Prozac Highway: A Novel,"Blackbridge, Persimmon",Press Gang Pub,267,1997,Paperback,,en,First Edition,"Height: 7.5 Inches, Length: 5.5 Inches, Width: 1 Inches",14.95,https://images.isbndb.com/covers/07/85/9780889740785.jpg,Success,52,22,1
0-88974-060-7,Sunnybrook: A True Story With Lies,"Blackbridge, Persimmon",Press Gang Pub,87,1997,Paperback,,en,1,"Height: 9.25 Inches, Length: 6.75 Inches, Weight: 0.65 Pounds, Width: 0.25 Inches",15.95,https://images.isbndb.com/covers/06/00/9780889740600.jpg,Success,52,22,1
0-7710-8664-4,The Underpainter,"Urquhart, Jane",McClelland & Stewart,352,9/6/1997,Hardcover,"In Rochester, New York, A Seventy-five-year-old American Minimalist Painter, Austin Fraser, Is Creating A New Series Of Paintings As He Remembers The Details Of His Life And Of The Lives Of Those Individuals Who Have Affected Him - His Peculiar Mother, A Young Canadian Soldier And China Painter, A First World War Nurse, The Well-known American Painter Rockwell Kent, And A Waitress Who Lives In The Wilderness Mining Settlement Of Silver Islet, Ontario, And Who Became Austin's Model And Mistress. Spanning More Than Seven Decades, From The Turn Of The Century Until The Mid-seventies, The Story Takes Place In Upstate New York, On The North Shores Of Both Lake Ontario And Lake Superior, In France During The First World War, And In New York City During The Twenties And Thirties.--jacket. Jane Urquhart.",en,First Edition,Weight: 0.5475 Pounds,0,https://images.isbndb.com/covers/66/49/9780771086649.jpg,Success,52,22,1
0-88801-213-6,"Bread, Wine and Angels","Zurzolo, Anna",Turnstone Press,293,1997,Paperback,By Anna P. Zurzolo.,en,,"Height: 7.5 Inches, Length: 6 Inches, Weight: 0.65 Pounds, Width: 0.88 Inches",17.95,https://images.isbndb.com/covers/21/35/9780888012135.jpg,Success,52,22,1
1-55013-908-8,Some things about flying,"Barfoot, Joan",Key Porter Books,208,1997,Paperback,,en,,"Height: 8.25 Inches, Length: 5.28 Inches, Width: 0.63 Inches",0,https://images.isbndb.com/covers/90/82/9781550139082.jpg,Success,52,22,1
0-88801-214-4,Almost a Woman: A Novel about Recovered Memory and Surviving Sexual Abuse,"Brickman, Julie",Turnstone Press,263,9/1/1997,Paperback,,en,First Edition,"Height: 8.54 Inches, Length: 5.98 Inches, Weight: 0.82 Pounds, Width: 0.69 Inches",14.95,https://images.isbndb.com/covers/21/42/9780888012142.jpg,Success,52,22,1
1-896705-22-7,The Moons Of Palmares,Zainab Amadahy,Sister Vision Pr,161,1998,Paperback,,en,,,12.95,https://images.isbndb.com/covers/52/24/9781896705224.jpg,Success,52,22,1
1-896764-01-0,The Other Side,"Holz, Cynthia",Sumach Press,238,1997,Paperback,Cynthia Holz.,en,1st Edition,"Height: 8.98 Inches, Length: 5.85 Inches, Weight: 0.6393405598 Pounds, Width: 0.59 Inches",15.95,https://images.isbndb.com/covers/40/16/9781896764016.jpg,Success,52,22,1
0-394-28178-0,Fall on Your Knees,"Macdonald, Ann-Marie",Vintage Canada,576,8/26/1997,Paperback,,en,1st,"Height: 7.98 Inches, Length: 5.15 Inches, Weight: 0.88 Pounds, Width: 1.21 Inches",0,https://images.isbndb.com/covers/17/80/9780394281780.jpg,Success,53,22,1
0-920661-62-9,Against An African Sky And Other Stories,Farida Karodia,Tsar Publications,178,1997,Paperback,"<p>With the end of apartheid, a new consitution and new hope for the future of the country, ordinary South Africans pick up the threads of their ordinary day-to-day lives. In these stories Karodia exlores lives and reatioships in the new South Africa from the perspectives of Indian, African and European characters.</p>
<p>""Karodia has taken the writer's role to new heights in South Africa."" - South African Review of Books</p>
<p> ""The essence of Karodia's stories is the throb of the human heart - in particular family reationships: about bonds and heartaches that unite or separate parents and children."" - Financial Mail (South Africa)</p>",en,1,178 p. ; 21 cm.,12.95,https://images.isbndb.com/covers/16/28/9780920661628.jpg,Success,53,22,1
0-7710-1486-4,A Killing Spring,"Bowen, Gail",McClelland & Stewart,272,9/6/1997,Mass Market Paperback,"<p>gail Bowen, Winner Of The 1995 Arthur Ellis Award For Best Crime Novel For Her Last Joanne Kilbourn Mystery, <i>a Colder Kind Of Death,</i> Is Back &#8211; With Her Most Daring Mystery To Date.<p>in The Horrifying Opening Paragraph Of <i>a Killing Spring</i>, Reed Gallagher, The Head Of The School Of Journalism At The University Where Joanne Kilbourn Teaches, Is Found Dead In A Seedy Rooming House. He Is Dressed In Women&#8217;s Lingerie, With An Electric Cord Around His Neck. Suicide, The Police Say. A Clear Case Of Accidental Suicide. But For Joanne, Who Takes On The Thankless Task Of Breaking The News To Gallagher&#8217;s Wife, This Death Is Just The First In A Series Of Misfortunes That Rock Her Life, Both Professional And Personal.<p>a Few Days After Gallagher&#8217;s Death, The School Of Journalism Is Vandalized &#8211; Its Offices And Computers Are Trashed, And Homophobic Graffiti Are Sprayed Everywhere. Then An Unattractive And Unpopular Journalism Student In Joanne&#8217;s Politics Class Stops Coming To School After Complaining To An Unbelieving Joanne That She&#8217;s Being Sexually Harassed. Clearly, All Is Not As Well At The University As Joanne Had Thought. Nor Is All Well In Her Love Life After The Casual Racism Of A Stranger Drives A Wedge Between Joanne And Her Lover, Inspector Alex Kequahtooway. To Make Matters Worse, Joanne Is Unceremoniously Fired By Her Best Friend From The Weekly Political Panel On Nationtv, Which She&#8217;s Being Doing For Years.<p>badly Shaken By These Calamities, Joanne Struggles To Carry Cheerfully On. Action, She Knows, Is Better For Her Than Moping. She Decides To Find Out Why Her Student Has Stopped Coming To Class, And In Doing So, Joanne Steps Unknowingly Into An On-campus World Of Fear And Deceit And Murder.<p><i>from The Hardcover Edition.</i></p><h3>publishers Weekly</h3><p>it's Springtime In Saskatchewan, And Trouble Blooms Everywhere For University Professor Joanne Kilbourne (a Colder Kind Of Death). It Starts When She Agrees To Help Her Lover, Ojibway Police Inspector Alex Kequahtooway, Tell Julie Gallagher That Her Husband, Reed, Is An Apparent Suicide. Since Reed's Death Seems To Be From Autoerotic Asphyxiation, Joanne Is Stunnedthe New Head Of The College's Journalism Department Never Struck Her As The Kinky Type. As She Tries To Make Sense Of Her Colleague's Death, She Must Cope With The Apparent Sexual Harassment Of One Of Her Students And With The Sudden Obsession Of Her Best Friend For A Self-aggrandizing Fellow Teacher. When The Student Goes Missing After Telling Joanne That She Has The Scoop Of A Lifetime, And When Her Friend, A Tv Producer, Removes Joanne From Her Longtime Spot On A Talk-show Panel, She Feels As If Her Life Has Turned Topsy-turvy. When The Student Who Had Complained Of Sexual Harassment Turns Up Dead And Her Friend's New Lover Proves To Be A Batterer, Joanne Is Pressed Into Sleuthing Action. Bowen Has A Hard Eye For The Way Human Ambition Can Take Advantage Of Human Gullibility, Insight Which Makes This A Compelling Novel As Well As A Gripping Mystery. (may) Fyi: A Colder Kind Of Death Won Canada's Arthur Ellis Award For Best Crime Novel.</p>",en,1st THUS,"Height: 7 Inches, Length: 4.29 Inches, Weight: 0.4 Pounds, Width: 0.57 Inches",5.95,https://images.isbndb.com/covers/48/64/9780771014864.jpg,Success,53,22,1
0-14-026842-1,Stargate,"Gedge, Pauline",Penguin Books,417,1997,Mass Market Paperback,,en,1st Canadian Edition,"Height: 1 Inches, Length: 1 Inches, Weight: 2.86 Pounds, Width: 1 Inches",0,https://images.isbndb.com/covers/84/23/9780140268423.jpg,Success,53,22,1
0-670-87633-X,Penguin Anthology of Stories B,"Chong, Denise (ed)","Penguin Books Canada, Limited",496,1997,Hardcover,Edited By Denise Chong.,en,First Edition,"Height: 8.64 Inches, Length: 9.38 Inches, Weight: 1.83 Pounds, Width: 1.48 Inches",0,https://images.isbndb.com/covers/63/34/9780670876334.jpg,Success,53,22,1
1-55054-258-3,Aurora Montrealis,"Proulx, Monique",Douglas & McIntyre,240,8/1/1997,Paperback,Monique Proulx ; Translated By Matt Cohen.,en,First Edition,"Height: 7.7 Inches, Length: 5 Inches, Weight: 0.6 Pounds, Width: 0.6 Inches",16.95,https://images.isbndb.com/covers/25/85/9781550542585.jpg,Success,53,22,1
1-896705-14-6,Ma-Ka Diasporic Juks: Contemporary Writing by Queers of African Descent,,Sister Vision Pr,211,1998,Paperback,Debbie Douglas ... [et Al.].,en,,"Height: 9.5 Inches, Length: 6.25 Inches, Weight: 0.85 Pounds, Width: 0.75 Inches",17.95,https://images.isbndb.com/covers/51/49/9781896705149.jpg,Success,53,22,1
0-920661-63-7,Her Mother's Ashes 2: More Stories by South Asian Women in the United States and Canada,South Asian women in Canada and the United States,TSAR Publications,176,1/1/1999,Paperback,"<p>Contributors: Meena Alexander, Anita Rau Badami, Shauna Singh Baldwin, Chaya Bhunaveswar, Shree Ghatage, Lakshmi Gill, Ginu Kamani, Farida Karodia, Ausma Zehenat Khan, Maya Khankhoje, Geeta Kothari, Yasmin Ladha, Sunaina Maira, Shani Mootoo, Uma Parameswaran, Roshni Rustomji and Tanya Selvaratnam.</p>",en,2,"Height: 8.75 Inches, Length: 5.8 Inches, Weight: 0.7495716908 Pounds, Width: 0.56 Inches",7.42,https://images.isbndb.com/covers/16/35/9780920661635.jpg,Success,53,22,1
0-88995-168-3,Cowgirls: 100 Years Of Writing The Range (The Cowboys),"Poirier, Thelma",Red Deer Press,296,9/10/2002,Paperback,"For more than a century, cowgirls have earned their place on the western frontier. This collection of their writing--from memoirs to poetry to short stories--stretches back more than 100 years, including the tale The Man Who Shot Liberty Valance.",en,1,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.65 Pounds, Width: 0.7 Inches",5.95,https://images.isbndb.com/covers/16/86/9780889951686.jpg,Success,53,22,1
1-896095-28-3,"What's True, Darling","Farrant, M. A. C.",Polestar Pr,184,1/1/2000,Paperback,"Here's what's true: Dorothy Parker eats fire, Leonard Cohen loves beans, and Diana Ross is a midget. These stories strip away stardom to expose the absurd, and reveal the extraordinary quirks of ordinary people.",en,,"Height: 8 Inches, Length: 5.5 Inches, Width: 0.5 Inches",1.99,https://images.isbndb.com/covers/52/88/9781896095288.jpg,Success,53,22,1
0-88784-602-5,Awake When All the World Is Asleep: Stories,"Ghatage, Shree",House of Anansi Press,176,1997,Paperback,,en,1st Edition,"Height: 8.75 Inches, Length: 5.5 Inches, Weight: 0.55 Pounds, Width: 0.5 Inches",13.95,https://images.isbndb.com/covers/60/21/9780887846021.jpg,Success,53,22,1
0-14-027003-5,In Transit,"Gallant, Mavis",Penguin Group (Canada),263,1997,Paperback,,en,,"Height: 7.79526 Inches, Length: 5.03936 Inches, Weight: 0.36817197754 Pounds, Width: 0.55118 Inches",0,https://images.isbndb.com/covers/00/37/9780140270037.jpg,Success,53,22,1
0-7710-3463-6,Good Bones,"Atwood, Margaret",McClelland & Stewart,120,1997,Mass Market Paperback,"<p>In <b>Good Bones</b>, first published in 1992, Margaret Atwood has fashioned an enthralling collection of parable, monologue, mini-romance and mini-biography, speculative fiction, prose lyric, outrageous recipe and reconfigured fairy tale, demonstrating yet again the play of an unerring wit overseen by a panoramic intelligence.<br>
&nbsp;<br>
<b>Good Bones</b> is a cornucopia of good things — precise, witty, wise, and sometimes offbeat Atwood writing, with the funny and the sidelong view of the world which her readers recognize at once.</p>",en,1st Thus.,"Height: 6.95 Inches, Length: 4.25 Inches, Width: 0.3 Inches",1.99,https://images.isbndb.com/covers/46/33/9780771034633.jpg,Success,53,22,1
0-7710-3464-4,Murder in the Dark (New Canadian Library),Margaret Atwood,New Canadian Library,96,1997,Mass Market Paperback,"<p>First published in 1983, <b>Murder in the Dark</b> is Margaret Atwood's seventh work of fiction or her tenth book of poetry, depending on how you slice it. These short prose forms range from fictionalized autobiography through prose-poetry, mini-romance, and mini–science fiction.<br>
&nbsp;<br>
A feast of comic entertainment, <b>Murder in the Dark</b> is Atwood at her wittiest, most thoughtful, and most provoking.</p>",en,,"Height: 6.95 Inches, Length: 4.25 Inches, Weight: 0.1219 Pounds, Width: 0.2 Inches",16.73,https://images.isbndb.com/covers/46/40/9780771034640.jpg,Success,53,22,1
1-551-52-045-1,Stories to Hide from Your Mother,"Fragoulis, Tess, Baumann, Bommi",Arsenal Pulp Press,156,9/1/1997,Paperback,,en,First Edition,"Height: 9 Inches, Length: 5.53 Inches, Weight: 0.529 Pounds, Width: 0.38 Inches",0,https://images.isbndb.com/covers/04/52/9781551520452.jpg,Success,53,22,1
0-88982-163-1,Snackers,"Hornosty, Janina",Oolichan Books,130,1/1/1997,Paperback,,en,1,"Height: 8.48 Inches, Length: 5.42 Inches, Weight: 0.4 Pounds, Width: 0.33 Inches",14.95,https://images.isbndb.com/covers/16/37/9780889821637.jpg,Success,53,22,1
0-19-541351-2,Strange Things: The Malevolent North in Canadian Literature,Margaret Atwood,Oxford University Press,134,1997,Paperback,"This Fascinating Exploration Of The Canadian North As An Imaginative Landscape By One Of Canada's Most Popular And Respected Writers, Margaret Atwood, Is Now In Paperback. In This Witty And Informative Book, Atwood Discusses The Phenomenon Of Whites Going Native (the Grey Owl Syndrome): The Folklore Arising From The Mysterious-and-disastrous-franklin Expedition Of The Nineteenth Century In Which 135 People Disappeared; The Myth Of The Dreaded, Cannabalistic Now Monster, The Wendigo, Therelations Between Nature Writing And New Forms Of Gothic; And How A Fresh Generation Of Women Writers In Canada Have Adapted The Imagery Of The Canadian North For The Exploration Of Contemporary Themes Of Gender, The Family, And Sexuality. Throughout, The Emphasis Is On Stories And Storytelling, Myths And Their Reinventions, Fiction And Fact, The Weirdness Of Nature And The Strangeness Of The North. Among The Writers Discussed Are Robert Service, Robertson Davies, Alice Munro, E.j. Pratt, Marian Engle, Margaret Laurence, And Gwendolyn Macewan. This Superbly Written And Compelling Portrait Of The Mysterious North Is At Once An Intriguing Insight Into The Canadian Imagination, And An Exciting Work From An Outstanding Literary Presence.",en,,"Height: 1.11 Inches, Length: 1.11 Inches, Weight: 0.4 Pounds, Width: 0 Inches",0,https://images.isbndb.com/covers/35/19/9780195413519.jpg,Success,53,22,1
0-920661-65-3,Women Dancing on Rooftops: Bring Your Belly Close,Yasmin Ladha,"TSAR Publications,Canada",192,1997,Paperback,"<p>In this fabulous collection of connected multiple genres, Yasmin Ladha brings together a multiplicity of voices, a deluge of images and exeriences held together playfully by the sensitive central self of an immigrant woman at home nowhere and everywhere, from the Canadian Prairies to the streets of Delhi and Bangalore, to memory's call in a small town in Africa.</p><p>... is a lush and sensuous excursion through language and the diasporic and nomadic sensibility churned up though shifting and transformative encounvers with cities, spirits, people, travellers, lovers. This rootop writing is brilliant for its panorama of sensation and itelligence. The view from here is stunning and we are priviledged to share it.<br> - Fred Wah</p><p>Hais this woman got attitude. Attitudes, really. Yasmin Ladha, Muslim woman from Calgary, hip-hops to Kashmir, Cochin, Bangalore and more, coross-culturing everyone she meets, herself included.<br>Autobiography and travelogue, this book of prose and poetry brain teases as it breaks boundaries in explosively sensuous language. Now pure Calgary teenage bop, then impassioned or querulous prayer, now techno-chat, erotics, politics, then folkloric rerecorings. And always, rooftop women talk, spiced and shiny. Challenging and original...<br>- Phyllis Webb</p><p>... rich, complex and provocative. This book is a magical voyage through the mind, the emotions, the body of a woman.<br> - Anita Badami</p>",en,,5.80 (w) x 8.78 (h) x 0.48 (d),29,https://images.isbndb.com/covers/16/59/9780920661659.jpg,Success,53,22,1
0-88922-373-4,2000,"MacLeod, Joan",Talonbooks,128,1997,Paperback,"<p>According to Joan MacLeod, her play <i>2000</i> grew out of a story she read about a cougar that had wandered into a sports arena in Vancouver, BC: 'I was intrigued by the notion of the wild invading the city and the city invading the wild, by the idea of things being not quite right in nature and the approach of the millennium.'</p><p>In the play, the cougar appears to embody the precarious and increasingly circumscribed state of nature. Each character relates to nature in a different way, whether it be with distrust, cynicism, awe or longing. The figure of the 'Mountain Man,' who has abandoned all of his civilized ways, even speech, to live among the animals of the forest, provides a meeting ground between humanity and nature. Like the cougar, increasingly crowded by a rapidly encroaching civilization, he scavenges what precious little remains of the beautiful animal in all of us.</p><p>Cast of 3 women and 2 men.</p>",en,1st Edition,"Height: 8.31 Inches, Length: 5.43 Inches, Weight: 0.37699046802 Pounds, Width: 0.37 Inches",7.69,https://images.isbndb.com/covers/37/38/9780889223738.jpg,Success,53,22,1
1-55065-096-3,Fault Line,"Lush, Laura",Véhicule Press,72,1/1/1997,Paperback,Laura Lush.,en,,"Height: 9 Inches, Length: 6 Inches, Weight: 0.35935348706 Pounds, Width: 0.1 Inches",9.95,https://images.isbndb.com/covers/09/69/9781550650969.jpg,Success,54,22,1
0-88754-513-0,Goodnight Desdomona,"MacDonald, Ann-Marie",Playwrights Canada Press,,1997,Paperback,,en,,"Height: 9 Inches, Length: 5.25 Inches, Weight: 0.3 Pounds, Width: 0.25 Inches",12.95,https://images.isbndb.com/covers/51/39/9780887545139.jpg,Success,54,22,1
0-88984-190-X,The Hidden Room,"Page, P. K.",Porcupine's Quill,224,1997,Paperback,"<p>'[If there is such a thing as pure poetry, this must be it; a lively mind seizing on almost any experience and turning it into witty verse ...'</p>",en,1st Edition,"Height: 8.75 Inches, Length: 5.55 Inches, Weight: 0.95460159446 Pounds, Width: 0.78 Inches",3.04,https://images.isbndb.com/covers/19/01/9780889841901.jpg,Success,54,22,1
1-55199-013-X,The Journals of Susanna Moodie,"Margaret Atwood, Charles Pachter",Macfarlane Walter & Ross,73,1997,Hardcover,"Margaret Atwood, Charles Pachter ; With A Memoir By Charles Pachter And Foreword By David Staines. Poems.",en,First Edition,"Height: 0.75 Inches, Length: 10.5 Inches, Weight: 1.6 Pounds, Width: 8.75 Inches",0,https://images.isbndb.com/covers/01/32/9781551990132.jpg,Success,54,22,1
1-55082-195-4,"Woman Of Sticks, Woman Of Stones",Sandra Nicholls,Quarry Press,63,1997,Paperback,Sandra Nicholls. Prev. Title Was Shortlisted For The Pat Lowther Award From The League Of Canadian Poets.,en,,,0,https://images.isbndb.com/covers/19/56/9781550821956.jpg,Success,54,22,1
1-55082-196-2,Uncommon prayer: A book of dedications,"McMaster, Susan",Quarry Poetry Books,,1997,Paperback,,en,,,0,https://images.isbndb.com/covers/19/63/9781550821963.jpg,Success,54,22,1
0-919897-54-1,The Man With The Dancing Monkey,Barbara Curry Mulcahy,Wolsak & Wynn Pub Ltd,75,1997,Paperback,,en,1,,14,https://images.isbndb.com/covers/75/40/9780919897540.jpg,Success,54,22,1
0-88974-080-1,Storm Clouds over Party Shoes: Etiquette Problems for the Ill-Bred Woman,"Norgate, Sheila",Press Gang Pub,96,1997-10,Paperback,"Storm Clouds Over Party Shoes is a spoof on the choking rules of ""good breeding"" and an expose of the dubious business of self-improvement for girls. Retro images and the doctrine of etiquette books from the 1930s, '40s and '50s are integrated as Sheila Norgate takes us on a hilarious nostalgia trip, upending the rules which - to this day - have the girls doing the makeovers while the boys do the takeovers.",en,,"Height: 8 Inches, Length: 6 Inches, Width: 0.5 Inches",13.95,https://images.isbndb.com/covers/08/08/9780889740808.jpg,Success,55,22,1
0-8020-8090-1,Selected Letters of Margaret Laurence and Adele Wiseman (Heritage),,"University of Toronto Press, Scholarly Publishing Division",434,2/1/2015,Paperback,"<p>Over a period of forty years, from 1947 to 1986, Margaret Laurence and Adele Wiseman wrote to each other constantly. The topics they wrote about were as wide-ranging as their interests and experiences, and their correspondence encompassed many of the varied events of their lives. Laurence's letters - of which far more are extant than Wisman's - reveal much about the impact of her years in Africa, motherhood, her anxieties and insecurities, and her developement as a writer. Wiseman, whose literary success came early in her career, provided a sympathetic ear and constant encouragement to Laurence.</p>
<p>The editors' selection has been directed by an interest in these women as friends and writers. Their experiences in the publishing world offer an engaging perspective on literary apprenticeship, rejection, and success. The letters reveal the important roles both women played in the buoyant cultural nationalism of the 1960s and 1970s.</p>
<p>This valuable collection of previously unpublished primary material will be essential to scholars working on Canadian literature and of great interest to the general reading. The introduction contextualizes the correspondence and the annotations to the letters help to clarify the text. The Laurence-Wiseman letters offer a fascinating glimpse into the lives and friendship of two remarkable women whose personal correspondence was written with verve, compassion, and wit.</p>",en,Annotated,"Height: 8.99 Inches, Length: 6 Inches, Weight: 1.4550509292 Pounds, Width: 1.28 Inches",33.95,https://images.isbndb.com/covers/09/05/9780802080905.jpg,Success,55,22,1
0-316-10238-5,More Letters from the Country,"Boulton, Marsha","Little, Brown & Co. (Canada)",222,1997-10,Paperback,,en,1,Weight: 0.5 Pounds,0,https://images.isbndb.com/covers/23/84/9780316102384.jpg,Success,55,22,1
0-676-97073-7,The Life of Margaret Laurence,"King, James",Alfred A. Knopf Canada,,1997,Hardcover,In Her Life And In Her Art An Extraordinary Compassion Was Margaret Laurence's Hallmark -- A Gift Of Wisdom And Magic And Of Caring That Triumphs Over Her Death. Sylvia Fraser. James King. Includes Bibliographical References (p. 399-400) And Index.,en,First Edition,Weight: 1.8 Pounds,0,https://images.isbndb.com/covers/07/39/9780676970739.jpg,Success,55,22,1
0-88995-167-5,Mamie's Children: Generations of Prairie Women (Non Fiction),"Schultz, Judy",Red Deer Press,248,3/15/1998,Paperback,"<p><P><br><i><b>Nominee, Governor General's Literary Award for Non-Fiction</i></b><p><p><p>Like most women born before the turn of the century, Maime Elizabeth lived, by the standard of her day, an ordinary existence. She lived with her family near Wood Mountain, Saskatchewan, and like many they were wiped out by the Great Depression. As Mamie often said, life was going to the dogs.</p><p><p><p>Yet day by day this determined woman cobbled together a rich, full existence that was played out against the astonishing history, climate and landscape of the Canadian West.</p></p>",en,1,"Height: 8 Inches, Length: 5 Inches, Weight: 0.7 Pounds, Width: 0 Inches",9.95,https://images.isbndb.com/covers/16/79/9780889951679.jpg,Success,55,22,1
1-55128-044-2,Sandra Shamas: A Trilogy of Performances: My Boyfriend's Back and There's Gonna Be Laundry; The Cycle Continues; Wedding Bell Hell,"Shamas, Sandra",Mercury Pr,160,1998,Paperback,,en,First Edition,Weight: 0.65 Pounds,17.95,https://images.isbndb.com/covers/04/48/9781551280448.jpg,Success,55,22,1
1-55082-190-3,Building a Mystery: The Story of Sarah McLachlan & Lilith Fair,"Fitzgerald, Judith",Quarry Pr,231,1997,Paperback,"In part, the story of the unofficial leader of the new women's movement in alternative music but in large the story of that movement and its culture. 16 pages of color photos.",en,,"Height: 9.25 Inches, Length: 6.25 Inches, Weight: 0.85098433132 Pounds, Width: 0.5 Inches",16.95,https://images.isbndb.com/covers/19/01/9781550821901.jpg,Success,55,22,1
0-920576-66-4,The Colour of Gold,"McKirdy, Margaret",Caitlin Press Inc.,208,1/1/1997,Paperback,"Cree Adelaide McCauley and her two children witness the shooting of their Metis husband/ father by a crazed white miner. She attempts to nurse him back to life but he dies after several painful days. This tragedy takes place in the Robson Valley and the nearest court of justice is 300 miles away, over treacherous mountain trails, in Golden, BC.<p>Adelaide is convinced by friends of her late husband to travel south to Golden to testify at the trial of her husband's murderer. Accompanied by her children and several other witnesses - including the accused - she makes the journey, testifies and hopes to leave. Unfortunately a mistrial is called.</p><p>During the first trial, she at least has the advantage of a sympathetic interpreter, but the second trial is dominated by men who take the side of the white miner accused of the crime. Indians, particularly Indian women, are not treated with much respect. The murderer goes free and Adelaide, impatient with a white justice system she wanted no part of in the first place, disappears into the northern wilderness from which she came.</p>",en,Unabridged,"Height: 8.25 Inches, Length: 5.29 Inches, Weight: 0.6 Pounds, Width: 0.6 Inches",1.99,https://images.isbndb.com/covers/66/63/9780920576663.jpg,Success,55,22,1
0-670-86674-1,Mrs. King: The life and times of Isabel Mackenzie King,"Gray, Charlotte",Viking,378,1997,Hardcover,,en,Canadian First,"Height: 9.4 Inches, Length: 6.27 Inches, Weight: 1.65 Pounds, Width: 1.16 Inches",0,https://images.isbndb.com/covers/67/48/9780670866748.jpg,Success,55,22,1
0-7735-1663-8,"Victory Harvest: Diary of a Canadian in the Women's Land Army, 1940-1944","Kelsey, Marion",McGill-Queen's University Press,248,9/19/1997,Hardcover,,en,Illustrated,"Height: 9 Inches, Length: 6 Inches, Weight: 1.1 Pounds, Width: 1 Inches",110,https://images.isbndb.com/covers/66/32/9780773516632.jpg,Success,55,22,1
1-896300-24-3,Mothertalk: Life Stories of Mary Kiyoshi Kiyooka,"Roy Kiyooka, Daphne Marlatt",NeWest Press,200,10/16/1997,Paperback,,en,First Edition,"Height: 7.74 Inches, Length: 4.76 Inches, Weight: 0.41446905256 Pounds, Width: 0.43 Inches",13.95,https://images.isbndb.com/covers/02/45/9781896300245.jpg,Success,55,22,1
0-7735-1614-X,Undisciplined Women: Tradition and Culture in Canada,"Greenhill, Pauline, Tye, Diane",McGill-Queen's University Press,328,9/22/1997,Hardcover,"Contributors demonstrate that informal traditional and popular expressive cultural forms continue to be central to Canadians' gender constructions and clearly display the creation and re-creation of women's often subordinate position in society. They not only explore positive and negative images of women - the witch, the Icelandic Mountain Woman, and the Hollywood killer dyke - but also examine how actual women - taxi drivers, quilters, spiritual healers, and storytellers - negotiate and remake these images in their lives and work. Contributors also propose models for facilitating feminist dialogue on traditional and popular culture in Canada. Drawing on perspectives from women's studies, folklore, anthropology, sociology, art history, literature, and religious studies, Undisciplined Women is an insightful exploration of the multiplicity of women's experiences and the importance of reclaiming women's cultures and traditions.",en,First Edition,"Height: 9.32 Inches, Length: 6.43 Inches, Weight: 1.29 Pounds, Width: 1.13 Inches",13,https://images.isbndb.com/covers/61/44/9780773516144.jpg,Success,55,22,1
1-55013-910-X,A Woman's Place: Seventy Years In The Lives Of Canadian Women (Hardcover),Chatelaine Magazine Staff,Key Porter Books,280,1997,Hardcover,,en,First Edition,"Height: 11.26 Inches, Length: 8.9 Inches, Weight: 2.63 Pounds, Width: 0.86 Inches",0,https://images.isbndb.com/covers/91/05/9781550139105.jpg,Success,55,22,1
1-896239-29-3,"Gold Diggers of the Klondike: Prostitution in Dawson City, Yukon, 1898-1908","Ryley, Bay",Watson and Dwyer,160,1/16/1998,Paperback,"<p>Gold Diggers of the Klondike explores beyond the myths of the dance–hall girls and prostitutes of the Klondike gold rush, and uncovers the stories of the women who ""mined the miners."" In chronicling prostitution in Dawson city during the height and the decline of the rush, Ryley reveals that sexuality is an important aspect of the history of the Canadian frontier.</p>",en,First Edition,"Height: 9 Inches, Length: 5.4 Inches, Weight: 0.48 Pounds, Width: 0.4 Inches",14.95,https://images.isbndb.com/covers/92/93/9781896239293.jpg,Success,55,22,1
1-55013-930-4,Rebel Daughter : An Autobiography,"Anderson, Doris",Key Porter Books,288,2002,Paperback,"During Her Twenty Years As The Editor Of Chatelaine Magazine, Doris Anderson Blazed A Trail For Canadian Women. Long Before Betty Friedan's The Feminine Mystique Was Published, Anderson Was Writing About Abortion, Child Care, Custody Arrangements, And Pay Equity. Her Editorials Laid The Foundation For The Feminist Movement In Canada. In Rebel Daughter, We Are Introduced To The Life Of This Fascinating And Influential Woman. We Learn Of Her Turbulent Early Years In Depression-era Alberta And Her Sometimes Frustrating Efforts To Establish Herself As A Professional Journalist In Toronto In The 1940s. We Are Given A Behind-the-scenes Look At Her Often Stormy Years With Maclean Hunter And At Her Decades-long Editorship Of Chatelaine. We Experience Her Struggles As Head Of The Canadian Advisory Council On The Status Of Women And Her Fight To Have One Simple Statement Enshrined In The Charter Of Rights And Freedoms: That Men And Women Are Equal Under The Law. Hard-hitting, Moving, Controversial, And Inspirational, Rebel Daughter Is The No-holds-barred Story Of An Exceptional Canadian Woman. (1997)",en,,"Height: 8.74 Inches, Length: 6.06 Inches, Weight: 0.79 Pounds, Width: 0.79 Inches",0,https://images.isbndb.com/covers/93/03/9781550139303.jpg,Success,55,22,1
1-55199-004-0,Click: Becoming Feminists,,Macfarlane Walter & Ross,,1/1/1997,Paperback,Edited By Lynn Crosbie.,en,First Edition,Weight: 1.05 Pounds,19.95,https://images.isbndb.com/covers/00/40/9781551990040.jpg,Success,55,22,1
