ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
,,,,,,,,,,,,,,Error,,12.2
0-87542-452-X,,,,,,,,,,,,,,Error,44.0,12.2
0-8147-1818-3,Child Sexual Abuse: A Feminist Reader,,New York University Press,224.0,1989-08-01,,Paperback,,en,,"Height: 8.75 Inches, Length: 5.75 Inches, Weight: 0.6 Pounds, Width: 0.5 Inches",17.5,https://images.isbndb.com/covers/81/86/9780814718186.jpg,Success,86.0,12.2
0-939802-45-7,"American Women of the Etching Revival: February 9-May 9, 1988, High Museum of Art, Atlanta, Georgia","Peet, Phyllis",High Museum of Art,72.0,1988,"Etching, American, Women Engravers",Paperback,"Phyllis Peet. Catalog Of An Exhibition Also Held At The Woodmere Art Museum, June 11-august 21, 1988, The Hudson River Museum Of Westchester, Oct. 30-feb. 12, 1989, And At The National Museum Of American History, Smithsonian Institution, Washington, D.c., Mar. 15-may 31, 1989. Bibliography: P. 65-72.",en,,"Height: 10.5 Inches, Length: 9.25 Inches, Weight: 1 Pounds, Width: 0.25 Inches",10.0,https://images.isbndb.com/covers/24/56/9780939802456.jpg,Success,74.0,12.2
0-87049-618-2,Good Work at the Video Display Terminal: A Feminist Ethical Analysis of Changes in Clerical Work (New Studies in American Intellectual),"Andolsen, Barbara Hilkert, Andolsen, Hilkert",University of Tennessee Press,213.0,1989-11-01,"Office practice--Automation--Moral and ethical aspects, Clerks--Effect of automation on, Video display terminals--Health aspects, Sex role in the work environment, HF5548.2 .A73125 1989, 331.25",Hardcover,Barbara Hilkert Andolsen. Includes Index. Bibliography: P. [190]-201.,en,First Edition,"Height: 9.3 Inches, Length: 6.23 Inches, Weight: 1.1 Pounds, Width: 0.87 Inches",1.99,https://images.isbndb.com/covers/61/89/9780870496189.jpg,Success,88.0,12.2
0-941483-41-X,Rice and Beans,"Taylor, Valerie",Naiad Pr,221.0,1989,Literary Collections,Paperback,,en,First Edition,"Height: 8.75 Inches, Length: 5.75 Inches, Weight: 0.6 Pounds, Width: 0.5 Inches",8.95,https://images.isbndb.com/covers/34/14/9780941483414.jpg,Success,81.0,12.2
0-948491-01-9,Canvassing: Recollections by six Victorian women artists (Women on art),"Nunn, Pamela Gerrish.",Camden Press,195.0,1986,,Paperback,Anna Mary Howitt: An Art Student In Munich (1853) -- Anna Lea Merritt: Recollections From Art Criticism And Romance By Henry Merritt (1897) -- Elizabeth Thompson Butler: An Autobiography (1922) And From Sketchbook And Diary (1909) -- Henrietta Ward: Memories Of Ninety Years (1924) -- Louise Jopling: Twenty Years Of My Life (1925) -- Estella Starr Canziani: Round About Three Palace Green (1939). Edited And Introduced By Pamela Gerrish Nunn. Includes Bibliographical References And Indexes.,en,,,0.0,https://images.isbndb.com/covers/10/16/9780948491016.jpg,Success,74.0,12.2
0-674-80590-9,Shattered Mirrors: Our Search for Identity and Community in the AIDS Era,"Price, Monroe E.",Harvard University Press,160.0,1989-09-09,,Hardcover,,en,First Edition,"Height: 9 Inches, Length: 6 Inches, Weight: 0.80027801106 Pounds, Width: 0.5 Inches",37.0,https://images.isbndb.com/covers/59/03/9780674805903.jpg,Success,76.0,12.2
0-8014-1919-0,Beyond Words: Images from America's Concentration Camps,"Gesensway, Deborah, Roseman, Mindy",Cornell Univ Pr,192.0,1987,,Hardcover,Deborah Gesensway And Mindy Roseman. Includes Index. Bibliography: P. 170-172.,en,First Edition,"Height: 10.25 Inches, Length: 7.5 Inches, Weight: 1.6093745126 Pounds, Width: 0.75 Inches",45.0,https://images.isbndb.com/covers/91/95/9780801419195.jpg,Success,73.0,12.2
0-393-02651-5,Silence Now,"Sarton, May",W W Norton & Co Inc,79.0,1988-11-01,"American poetry, American poetry--20th century, New Year, New Year--Poetry, PS3537.A832 S54 1988, 811/.52",Hardcover,New Year Resolve -- The Silence Now -- Blizzard -- The Shirley Poppies -- After Long Illness -- Dream -- August Third -- Salt Lick -- Two Birthdays -- The House Of Gathering -- Christmas Light -- Absence -- Wilderness Lost -- The Cosset Lamb -- Aids -- To Those In The Limbo Of Illness -- Destinations -- New Year Poem -- Letters To An Administrator -- Over Troubled Water (12 Sonnets) -- The Muse As Donkey -- Invocation -- The Skilled Man -- The Smile -- The Phoenix Again. By May Sarton.,en,First Edition,"Height: 8.75 Inches, Length: 6.25 Inches, Weight: 0.62611282408 Pounds, Width: 0.5 Inches",14.95,https://images.isbndb.com/covers/65/11/9780393026511.jpg,Success,77.0,12.2
0-87049-606-9,Sara Teasdale: Woman and Poet,"Drake, William",Univ of Tennessee Pr,,1989,,Hardcover,,en,Reprint,"Height: 9.75 Inches, Length: 6.75 Inches, Weight: 1.6 Pounds, Width: 1 Inches",34.0,https://images.isbndb.com/covers/60/66/9780870496066.jpg,Success,88.0,12.2
0-525-48115-X,"20th-Century American Quilts, 1900-1950","Woodard, Thomas K., Greenstein, Blanche",Studio,150.0,1988-10-27,,Paperback,,en,First Edition,"Height: 20 inches, Length: 20 Inches, Weight: 1.41977696728 Pounds, Width: 20 inches",0.0,https://images.isbndb.com/covers/11/57/9780525481157.jpg,Success,73.0,12.2
0-525-48194-X,The Navajo Weaving Tradition 1650 to the Present,"Kaufman, Alice, Selser, Christopher",E. P. Dutton Inc.,150.0,1985-09-01,"Crafts &amp; Hobbies, Weaving",Paperback,,en,,"Height: 11 Inches, Length: 8.5 Inches, Weight: 1.48 Pounds, Width: 0.5 Inches",0.0,https://images.isbndb.com/covers/19/42/9780525481942.jpg,Success,74.0,12.2
0-9622432-1-3,Panhandling Papers,Kady Van Deurs,Inland Book Co,80.0,1990,,Paperback,,en,First Edition,,8.5,https://images.isbndb.com/covers/32/19/9780962243219.jpg,Success,80.0,12.2
009 202-232-8,,,,,,,,,,,,,,Error,43.0,12.2
1-55583-164-8,Gay Fireside Companion,"Rutledge, Leigh",Alyson Books,286.0,1989,,Paperback,Anecdotes And Historical Fragments. Leigh W. Rutledge.,en,1st U.S. ed,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.7495716908 Pounds, Width: 0.75 Inches",8.95,https://images.isbndb.com/covers/16/46/9781555831646.jpg,Success,64.0,12.2
