ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
0-345-38917-4,An Imperfect Spy (Kate Fansler Novels),"Cross, Amanda",Ballantine Books,228.0,1995-01-17,,Hardcover,,en,First Edition,"Height: 9.75 Inches, Length: 6.75 Inches, Weight: 1.2 Pounds, Width: 1.25 Inches",20.0,https://images.isbndb.com/covers/91/76/9780345389176.jpg,Success,82,17.5
1-56023-040-1,Women and Sexual Harassment: A Practical Guide to the Legal Protections of Title VII and the Hostile Environment Claim,"Berring, Robert C, Chan, Anja A",Routledge,124.0,1994-09-30,,Paperback,"<p>Here is a valuable guide that saves researchers investigating sexual harassment in the workplace enormous amounts of time and money. Focusing on the hostile environment claim under Title VII of the Civil Rights Act of 1964, Women and Sexual Harassment is a complete resource tool. In one easy-to-use volume, it provides a detailed background and history of the hostile environment claim as well as an extensive guide on how to use and where to find the best resources available on this topic. Unlike some legal books, Chan’s book does not require cover-to-cover reading to access pertinent information.</p>
<p>Anyone, whether they are interested in the specifics of the hostile environment claim or sexual harassment in general, will be able to locate the information they’re looking for with the help of this handy guide. It saves enormous amounts of time, effort, and money for researchers by providing extensive listings and evaluations of statutes, cases, agency decisions, law review articles, annotations, and books containing information on this subject. Readers can use the book to get a better understanding of the hostile environment claim or use it like a dictionary to pinpoint the specific resources that will be most useful to their area of research.</p>
<p>Women and Sexual Harassment is logically divided into five complete parts to make it easy to use: Part 1: Clearly explains how to best use the book to access specific information. Part 2: Describes the history and present state of the hostile environment claim in a manner that is to the point, yet is more thorough than descriptions of the claim found in articles, cases, or other sources. Part 3: Research guide—Directs researchers to the best sources for information, categorized by type and area. Includes tips that will save hours in the library and will help researchers find the most up-to-the-minute articles and cases. Part 4: Bibliography of primary legal sources—Covers statutes, regulations, and case law on the hostile environment claim and sexual harassment. Part 5: Bibliography of secondary sources—Includes books, articles, surveys, and legislative history.</p>
<p>The annotated bibliography, broken down by type of source and type of information, not only points researchers in the right direction but also steers them away from sources that seem valuable from their title, but are in fact not worthwhile. The insightful written analysis of the hostile environment claim alone provides researchers unfamiliar with the subject with a clearly written history and definition of the claim, its key elements, employer liability, statute of limitations, remedies, considerations of discovery and evidence, and related claims.</p>
<p>Women and Sexual Harassment is an invaluable guide for all types of researchers including victims of sexual harassment considering filing a hostile environment claim, scholars interested in women’s issues, attorneys unfamiliar with this area, employers interested in limiting their liability by taking steps to prevent sexual harassment in their workplaces, and law students in any level of courses related to sex discrimination or sexual harassment.</p>",en,1,"Height: 8.38 Inches, Length: 6 Inches, Weight: 0.5070632026 Pounds, Width: 0.28 Inches",23.95,https://images.isbndb.com/covers/04/03/9781560230403.jpg,Success,101,17.5
0-06-097645-4,In the Spirit: The Inspirational Writings,"Taylor, Susan L.",HarperPerennial,144.0,1994-10-20,,Paperback,"<p><p>twenty-two Lifelines To Personal Growth And Fulfillment From The Editor In Chief Of <i>essence</i> Magazine. <p> When Susan L. Taylor Rose To Editor In Chief Of <i>essence</i> Magazine More Than A Decade Ago, She Began Writing An Editorial Column In Which She Shares Her Thoughts And Feelings About How Developing One&#39;s Inner Awareness Ensures The Wisdom And Clarity Needed To Create A Deeply Satisfying And Fulfilling Life. <p> The Monthly Column Called In The Spirit Is One Of The Most Popular In The Magazine. <p> Susan L. Taylor Connects With The Reader In A Personal And Meaningful Way, In A Voice That Is Sisterly, Informed, And Motivating. She Challenges Her Readers To Transcend Their Fears, To Face Inevitable Challenges In Their Lives Courageously, And To Use Change As An Opportunity To Grow. We Limit Ourselves Because Change May Well Mean Dealing With The Disapproval Of The Very People We Rely On For Support. Often Words Of Inspiration And Motivation, But She Also Suggests Specific Methods For Working Through Problems And Improving Our Emotional And Spiritual Health. <p> We Are Not Powerless Spectators Of Life. We Are Co-creators With God, And All Around Is Are The Gifts, The Clay, That We Can Use To Shape Our World, She Says.<p> Susan L. Taylor Writes Passionately About What She Has Seen And Learned In The Course Of Her Travels Throughout The United States, Caribbean, And Africa. Her Essays Have Helped Many To Balance The Demanding World Of Work And Business With The Personal World Of Family And Friendship. She Shares Bits Of Her Own Life&#151;her Loves, Her Trails, And Triumphs&#151;and The Lessons She&#39;s Learned. <p> Many Of Susan L. Taylor&#39;s Readers Already Collect Her Editorials And Find In Them A Source Of Encouragement, Self-affirmation, Empowerment, And Peace Of Mind. Now They Can Have New Essays And A Few Previously Published Favorites Elegantly Bound In A Gift-sized Paperback Edition To Keep For Themselves Or To Give As A Gift Of Love To Those Who Are Special To Them.</p> <h3>publishers Weekly</h3> <p>taylor, The Editor-in-chief Of Essence , Mixes Personal Anecdotes, Black Pride And An Upbeat Spirituality In These Brief Essays, Many Of Them Reprinted From Her Magazine. Though The Wisdom She Dispenses Is Hardly Original, Her Direct Style And Warmth Should Reach Her Target Audience Of African American Women. ``we'll Never Feel Content If Our Happiness Depends On Someone Else's Behavior,'' Taylor Writes, Noting That She Has Learned To Measure Success Not By Wealth But Through ``happiness, Personal Satisfaction And Being Of Service To Others.'' Her Most Powerful Essays Are The Most Self-revealing: In One Clearly Painful Recollection, She Concludes That Her Father's Furious Reaction To Her Surreptitious Meeting With A Young Man Humiliated Her But May Ultimately Have Saved Her. ``what I Felt Was A Shameful Experience That Put A Damper On My Sexuality Actually Prevented Me From Becoming Pregnant As A Teenager.'' Although Taylor Regularly Invokes A Christian God, That God Is Nondenominational And Her Exhortations Are Not To Doctrine But To A More Personal Faith. First Serial To Essence; Author Tour. (nov.)</p>",en,First Edition,"Height: 0.42 Inches, Length: 7.18 Inches, Weight: 0.38 Pounds, Width: 6.12 Inches",11.99,https://images.isbndb.com/covers/64/53/9780060976453.jpg,Success,112,17.5
1-878067-54-0,Another Wilderness: New Outdoor Writing By Women,"Rogers, Susan Fox",Seal Press,320.0,1994,"Outdoor recreation for women--Literary collections, Wilderness survival--Literary collections, American prose literature--Women authors, American fiction--Women authors, Outdoor life--Literary collections, PS648.O88 A56 1994, 796.5/082",Paperback,"This anthology of true outdoor stories by famous and new women writers brims with the spirit of adventure. Barbara Wilson tells of a mesmerizing summer of glaciering in Norway; Gabrielle Daniels explores her complex feelings about the forest; Alice Evans describes a hilarious paddling trip. Plus much more.

                        <p>This anthology of true outdoor stories by famous and new women writers brims with the spirit of adventure. Barbara Wilson tells of a mesmerizing summer of glaciering in Norway; Gabrielle Daniels explores her complex feelings about the forest; Alice Evans describes a hilarious paddling trip. Plus much more.
</p>",en,First Edition,"Height: 9 Inches, Length: 6 Inches, Weight: 1 Pounds, Width: 0 Inches",1.99,https://images.isbndb.com/covers/75/48/9781878067548.jpg,Success,31,17.5
0-312-85898-1,Xanadu 3,,Tor Books,319.0,1995,,Hardcover,,en,First Edition,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 1.05 Pounds, Width: 1 Inches",21.95,https://images.isbndb.com/covers/89/88/9780312858988.jpg,Success,81,17.5
0-86068-854-2,VICAR'S DAUGHTER (Virago Modern Classics),Emily Hilda Young,Virago Press Ltd,288.0,1992,,Paperback,,en,New Ed,"Height: 7.5 Inches, Length: 5 Inches, Weight: 0.5 Pounds, Width: 0.75 Inches",8.0,https://images.isbndb.com/covers/85/49/9780860688549.jpg,Success,92,17.5
0-8112-1287-4,A Key Into the Language of America: Poetry,"Waldrop, Rosmarie",New Directions,66.0,1994-10-17,"Relations with IndiansWilliams, Roger , 1604?-1683, Indians of North America--First contact with Europeans, Indians of North America--First contact with Europeans--Rhode Island--Poetry, Narragansett Indians, Narragansett Indians--Poetry, Indians of North America--First contact with Europeans--Poetry, Indians of North America--Rhode Island--First contact with Europeans--Poetry, PS3573.A4234 K48 1994, 811/.54",Paperback,A White Woman's Recreation Of The Sound And Spirit Of Indian Poetry. A Sampler: Eagle / Turkey / Partridge / Cormorant / Ptowewushannick. / They Are Fled. Rosmarie Waldrop. Based On Roger Williams' 1643 Book Of The Same Name.,en,First Edition,"Height: 8 Inches, Length: 5.2 Inches, Weight: 0.24030386558 Pounds, Width: 0.4 Inches",15.95,https://images.isbndb.com/covers/28/78/9780811212878.jpg,Success,99,17.5
0-8018-4970-5,Jane Austen Among Women,"Kaplan, Deborah",Johns Hopkins University Press,256.0,1994-09-01,,Paperback,"<p>"" <i>Jane Austen Among Women</i> is a stimulating new reading of Austen's life and work. The tone is balanced and authoritative, the style is graceful and sometimes engagingly humorous, and the approach is fresh, challenging, and very illuminating."" — Juliet McMaster, University of Alberta.</p>
<p>""Kaplan builds a convincing picture of Austen's own women's culture, and her mode of argument is unusually vivid, subtle, and sensitive."" — <i>Times Literary Supplement</i></p>",en,,"Height: 9 Inches, Length: 6 Inches, Weight: 0.81350574678 Pounds, Width: 0.75 Inches",19.95,https://images.isbndb.com/covers/97/01/9780801849701.jpg,Success,108,17.5
1-55583-264-4,"THE NEXT STEP Lesbians in Long-Term Recovery (Out from Under, Vol 2)",,Alyson Books,223.0,1994,"Lesbians--Miscellanea, Lesbians--United States--Miscellanea, Lesbians--Alcohol use--Miscellanea, Lesbians--Alcohol use--United States--Miscellanea, Lesbians--Drug use--Miscellanea, Lesbians--Drug use--United States--Miscellanea, Recovering alcoholics' writings, American, Recovering addicts' writings, American, HQ75.6.U5 N494 1994, 305.9/06643",Paperback,"Ten Years After The Publication Of Out From Under, Her Widely Loved And Groundbreaking Book About Lesbians And Recovery, Jean Swallow Takes A New Look At Long-term Recovery In Lesbian Communities. Here Are Heartbreaking Stories, Fine Writing, And Raw Courage. If You Want To Know Where We've Been For The Last Ten Years, Writes Swallow, Take A Look: We Went Away And Came Back Whole. These Are Our Stories. How To Melt Snow / Jean Swallow -- The Goddess Loves All Creatures: A Block Print By Mary C. Dunlap -- Under The Rubric Of Spiritual Practices: Why I Love Birds / Mary C. Dunlap -- The Wide Range Of Recovery: An Interview With Lisa Wuennenberg -- Today, My Life Is Not About Survival / Fay Champoux -- Alive At Last / Winnie Devlin -- Everything Happens / Michelle Pitot -- Fair Trade / Catherine R. Moirai -- Beginning Again / Jane Vanderbosch -- A Raw, Tender Heart Is A Sacred Heart / Melanie J. -- Turning / Claudia -- More Will Be Revealed / Karen Walsh -- We Can Get Through This: An Interview With Liz Naidoff -- The Largest Onion / Arlene (ari) Istar -- Whistling Past / Catherine R. Moirai -- Life On Life's Terms / Gail Hromadko -- Only The Beginning: An Interview With Joann Loulan -- The Path Gets Narrower / Johnna Helm -- Not Wisely, But Too Well / Jane Futcher -- My Primary Addiction / Barbara B. -- Our Sacred Connection: Where Places Of Shame Become Places Of Strength: An Interview With Carter Heyward -- The Wonder Years / Robin Gail -- Guide Me / Mary Wheelan -- Voices / Alice Aldrich -- Keeping The Power / Gitanjali -- Her Powerhouse / Janell Moon -- Re-creating The Bond: An Interview With Janell Moon -- The Cherub Suite / Jean Swallow -- The Hidden Dancer / Susan Dillon -- Women & Children, Inside & Out / Pamela Panek -- Boney Zelda Knows Stones / Marian Michener -- Burying The Past / Chana Wilson. Edited By Jean Swallow. Out From Under, Volume 2.",en,1st,"Height: 8.5 Inches, Length: 6.5 Inches, Weight: 0.7054792384 Pounds, Width: 0.5 Inches",9.95,https://images.isbndb.com/covers/26/43/9781555832643.jpg,Success,93,17.5
0-7484-0149-0,Women And Health: Feminist Perspectives,,Routledge,216.0,1994-11-23,,Paperback,"All In Her Mind! : Stereotypic Views And The Psychologisation Of Women's Illness / Ellen M. Goudsmit -- Young Women And Safer (hetero)sex : Context, Constraints And Strategies / Rachel Thomson And Janet Holland -- 'i'm Not Fat, I'm Just Pregnant' : The Impact Of Pregnancy On Fat Women's Body Image / Rose Wiles -- Reproductive Health And Reproductive Technology / Pat Spallone -- Waged Work And Well-being / Lesley Doyal -- What Can She Depend On? : Substance Use And Women's Health / Elizabeth Ettore -- Surviving By Smoking / Hilary Graham -- Towards A Feminist Approach To Breast Cancer / Sue Wilkinson And Celia Kitzinger -- A 'cure For All Ills'? : Constructions Of The Menopause And The Chequered Fortunes Of Hormone Replacement Therapy / Kate Hunt -- Widows' Weeds And Woman's Needs : The Refeminization Of Death, Dying, And Bereavement / Jane Littlewood -- Feminist Reflections On The General Medical Council : Recreation And Retention Of Male Power / Meg Stacey Edited By Sue Wilkinson And Celia Kitzinger. Includes Bibliographical References And Index.",en,1,"Height: 9.21 Inches, Length: 6.14 Inches, Weight: 0.881849048 Pounds, Width: 0.49 Inches",64.95,https://images.isbndb.com/covers/14/99/9780748401499.jpg,Success,55,17.5
