ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
,,,,,,,,,,,,,,Error,,14.1
0-440-20983-8,Murder on the Run,"White, Gloria",Dell,288.0,1991-06-01,,Mass Market Paperback,"Meet Veronica ""Ronnie"" Ventana, daughter of the infamous Ventana's, the couple who made cat burglary classy. But Ronnie, with her special expertise in burglar alarm systems — getting past them, that is — and her best friend, Blackie Coogan, shamus emeritus of San Francisico, operate on the legit side of the law.
<p>Running is supposed to be the path to health, but for Ronnie it's suddenly a direct route to danger. At six A.M. on the edge of the bay, she's the jogger who stumbles onto the scene of a crime. The killer has seen her face and she's IDed him as a political honcho with enough clout to cover up anything . . . even murder. Now she's running for her life from the barrios to San Francisco's ritziest neighborhoods . . . and her destination is that dark place called Justice and Revenge.</p>",en,1,"Height: 7 Inches, Length: 4.25 Inches, Width: 0.75 Inches",5.5,https://images.isbndb.com/covers/98/36/9780440209836.jpg,Success,58.0,14.1
0-380-71177-X,Wall Around Eden,"Slonczewski, Joan",Avon Books,,1990,"Fiction, Science Fiction",Paperback,,en,Reprint,Weight: 0.36 Pounds,0.0,https://images.isbndb.com/covers/17/72/9780380711772.jpg,Success,51.0,14.1
0-919441-29-7,Slash,"Armstrong, Jeannette",Theytus Books,256.0,2002-08-07,,Paperback,Jeannette C. Armstrong.,en,,"Height: 8 Inches, Length: 6 Inches, Weight: 0.78 Pounds, Width: 1 Inches",18.95,https://images.isbndb.com/covers/12/93/9780919441293.jpg,Success,47.0,14.1
0-86358-301-6,Does Khaki Become You? the Militarization of Women's Lives,"Enloe, Cynthia",Pandora Pr,270.0,1988,,Paperback,,en,Revised,Weight: 0.55 Pounds,11.0,https://images.isbndb.com/covers/30/18/9780863583018.jpg,Success,97.0,14.1
0-312-05892-6,The Love Space Demands: A Continuing Saga,"Shange, Ntozake",St Martins Pr,64.0,1991,"American poetry, Poetry--Black authors, PS3569.H3324 L68 1991, 811/.54",Hardcover,"Songs Of Love And Urban Tragedy From One Of The Preeminent African-american Writers Of Our Time. Shange's Poems Express The Need To Be Felt And Heard, To Be Necessary. In This Love Space, We All Wear Our Desires, T-cells, And Hearts On Our Sleeves And Experience All That Comes With Wanting To Get Hold Of Life, Or Someone To Love. Ntozake Shange.",en,First Edition,"Height: 9.5 Inches, Length: 5.75 Inches, Weight: 0.6 Pounds, Width: 0.75 Inches",15.95,https://images.isbndb.com/covers/89/20/9780312058920.jpg,Success,105.0,14.1
1-55921-043-5,Passenger to Teheran,"Sackville-West, V.",Moyer Bell,155.0,1990,,Hardcover,"New Introduction / By Nigel Nicolson -- Introductory -- To Egypt -- To Iraq -- Into Persia -- Round Tehran -- To Isfahan -- Kum -- The Coronation Of Reza Khan -- Russia. V. Sackville-west ; With A New Introduction By Nigel Nicolson. This Edition First Published In United Kingdom, 1990, By Cockbird Press ... The First Edition Published In The United Kingdom, 1926, By Hogarth Press--t.p. Verso.",en,,"Height: 0.66929 Inches, Length: 10.39368 Inches, Weight: 1.2676580065 Pounds, Width: 6.88975 Inches",14.95,https://images.isbndb.com/covers/04/30/9781559210430.jpg,Success,73.0,14.1
0-299-12884-9,"The Wages of Sin: Censorship and the Fallen Woman Film, 1928-1942 (Wisconsin Studies in Film)","Jacobs, Lea",Univ of Wisconsin Pr,192.0,1991,"Motion Pictures, Censorship, History, Women In Motion Pictures, Sex In Motion Pictures",Paperback,,en,First Edition,"Height: 9 Inches, Length: 6 Inches, Weight: 0.7 Pounds, Width: 0.5 Inches",14.95,https://images.isbndb.com/covers/88/45/9780299128845.jpg,Success,88.0,14.1
1-55885-025-2,Sleep of the Innocents,"Fernandez, Carole",Arte Publico Press,238.0,1990-01-01,"PS3556.E7242 S57 1991, 813/.54",Paperback,Carole Fragoza Fernández.,en,First Edition,"Height: 8.47 Inches, Length: 5.4 Inches, Weight: 0.69 Pounds, Width: 0.68 Inches",9.5,https://images.isbndb.com/covers/02/55/9781558850255.jpg,Success,75.0,14.1
0-8722-6244-8,Women's Studies Encyclopedia: Views from the Sciences,,Peter Bedrick Books,1.0,1991,"Women, Encyclopedias, Feminism",Paperback,,en,1st Edition: 1991,"Height: 9 Inches, Length: 6.25 Inches, Width: 1.25 Inches",16.95,https://images.isbndb.com/covers/24/47/9780872262447.jpg,Success,89.0,14.1
0-919441-12-2,Enwhisteetkwa Walk In Water,Jeannette Armstrong,Theytus Books,1.0,1986,,Paperback,,en,,,5.95,https://images.isbndb.com/covers/11/25/9780919441125.jpg,Success,47.0,14.1
