ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
,,,,,,,,,,,,,,Error,,15.5
1-85145-365-2,Mabel Lucie Attwell,"Beetles, Chris",Trafalgar Square,120.0,1991,,Paperback,,en,,"Height: 11.75 Inches, Length: 8.75 Inches, Weight: 0.661386786 Pounds, Width: 0.5 Inches",22.95,https://images.isbndb.com/covers/36/58/9781851453658.jpg,Success,76.0,15.5
0-664-25176-5,"Coming Out to God: Prayers for Lesbians and Gay Men, Their Families and Friends","Glaser, Chris",Westminster John Knox Press,172.0,1991-01-01,,Paperback,"""In this collection of sixty prayers . . . Chris Glaser opens new vistas to us in prayer, discipleship, and the relationship between spirituality and sexuality. . . . This book is a classic in devotional literature which one will return to again and again"".--Merrill M. Follansbee, co-founder of the Sacramento chapter of Parents and Friends of Lesbians and Gays.

                        <p>""In this collection of sixty prayers . . . Chris Glaser opens new vistas to us in prayer, discipleship, and the relationship between spirituality and sexuality. . . . This book is a classic in devotional literature which one will return to again and again.""--Merrill M. Follansbee, co-founder of the Sacramento chapter of Parents and Friends of Lesbians and Gays.
</p>",en,First Edition,"Height: 8 Inches, Length: 5 Inches, Weight: 0.43 Pounds, Width: 0.4 Inches",20.0,https://images.isbndb.com/covers/17/65/9780664251765.jpg,Success,80.0,15.5
1-56341-029-X,Stone Butch Blues,"Feinberg, Leslie",Firbrand Books,304.0,1993,Fiction,Paperback,Jess Goldberg Decides To Come Out As A Butch In The Bars And Factories Of The Prefeminist '60s And Then To Pass As A Man In Order To Survive When She Is Left Without Work Or A Community In The Early '70s. Leslie Feinberg.,en,First Thus Used,"Height: 8.25 Inches, Length: 5.5 Inches, Weight: 0.78 Pounds, Width: 0.75 Inches",2.5,https://images.isbndb.com/covers/02/91/9781563410291.jpg,Success,82.0,15.5
549-730327 -4,,,,,,,,,,,,,,Error,35.0,15.5
0-415-90692-X,Elemental Passions,Luce Irigaray,Routledge,112.0,1992-11-17,Literary Collections,Paperback,,en,1,"Height: 8.5 Inches, Length: 5.43 Inches, Weight: 0.4629707502 Pounds, Width: 0.26 Inches",32.95,https://images.isbndb.com/covers/69/20/9780415906920.jpg,Success,102.0,15.5
1-85727-030-4,Because You Want to Write: A Workbook for Women,"McNeill, Pearlie",Scarlet Pr,240.0,1993,,Paperback,,en,English Language,Weight: 0.440924524 Pounds,17.95,https://images.isbndb.com/covers/03/03/9781857270303.jpg,Success,87.0,15.5
0-06-020547-4,Witch Baby,"Block, Francesca Lia",Harpercollins Childrens Books,103.0,1991,"Identity, Fiction",Hardcover,Witch Baby Comes To Live With Weetzie Bat And My-secret-agent-lover-man And Has Wild Adventures In Los Angeles As She Tries To Understand Where She Belongs.,en,First Edition,"Height: 8.5 Inches, Length: 5.75 Inches, Weight: 0.7 Pounds, Width: 0.5 Inches",14.95,https://images.isbndb.com/covers/54/78/9780060205478.jpg,Success,35.0,15.5
0-415-90650-4,,,,,,,,,,,,,,Error,102.0,15.5
0-941300-20-X,Singin' the Sun Up,"Wings, Ocala",Mother Courage Pr,,1991,Literary Collections,Paperback,,en,,"Height: 8.5 Inches, Length: 5.75 inches, Weight: 0.55 Pounds, Width: 0.5 inches",8.95,https://images.isbndb.com/covers/02/09/9780941300209.jpg,Success,84.0,15.5
0-385-42309-8,,,,,,,,,,,,,,Error,74.0,15.5
0-920813-66-6,The Princess of Spadina,"Sullivan, Veronica",Sister Vision,1.0,1992-01-01,,Paperback,,en,,"Height: 9.96 Inches, Length: 7.98 Inches, Weight: 0.3 Pounds, Width: 0.15 Inches",6.95,https://images.isbndb.com/covers/36/69/9780920813669.jpg,Success,108.0,15.5
0-8070-7903-X,,,,,,,,,,,,,,Error,80.0,15.5
