ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
,,,,,,,,,,,,,,Error,,13.Sidelines
0-9613584-6-7,,,,,,,,,,,,,,Error,24.0,13.Sidelines
7 5 14 22 - x,,,,,,,,,,,,,,Error,22.0,13.Sidelines
1-55811-058-5,,,,,,,,,,,,,,Error,26.0,13.Sidelines
1-55811-063-1,,,,,,,,,,,,,,Error,26.0,13.Sidelines
0-919996-44-2,"""Gossip"": A spoken history of women in the North",Mary Canadian Arctic Resources Committee; Crnkovich,Canadian Arctic Resources Committee,289.0,1990.0,,Paperback,,en,First Edition,,0.0,https://images.isbndb.com/covers/64/41/9780919996441.jpg,Success,50.0,13.Sidelines
0-7043-4251-0,,,,,,,,,,,,,,Error,20.0,13.Sidelines
0-87951-358-6,A Year And A Day Engagement Calendar 1991,"Bogdanovich, Peter",Overlook Hardcover,,1990.0,,,,en,,,0.0,https://images.isbndb.com/covers/35/80/9780879513580.jpg,Success,2.0,13.Sidelines
