ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
,,,,,,,,,,,,,,Error,,12.6
0-919626-44-0,The Whole Elephant (Nutritional Medicine Series; 3),"Cookshaw, Marlene",Brick Books,80.0,1989-01-16,,Paperback,,en,First Edition,"Height: 9 Inches, Length: 6 Inches, Weight: 0.36 Pounds, Width: 0.25 Inches",9.95,https://images.isbndb.com/covers/64/47/9780919626447.jpg,Success,52.0,12.6
0-385-41277-0,Songs from the Alley,"Hirsch, Kathleen",Anchor,418.0,1990-04-01,,Paperback,"Hirsch writes a startling account of life on the streets. Wendy and Amanda both came from the suburbs, both had dreams of lasting love and security. But befoer age 30, both women were homeless.

                        <p>Hirsch writes a startling account of life on the streets. Wendy and Amanda both came from the suburbs, both had dreams of lasting love and security. But befoer age 30, both women were homeless.
</p>",en,1,"Height: 8.25 Inches, Length: 5.25 Inches, Weight: 0.85 Pounds, Width: 1 Inches",10.95,https://images.isbndb.com/covers/27/73/9780385412773.jpg,Success,82.0,12.6
0-377-00200-3,Making Peace: One Woman's Journey Around the World,"Phillips, Jan",Friendship Pr,122.0,1989-10-01,,Paperback,,en,"First Edition, First Printing","Height: 10.5 Inches, Length: 8.5 Inches, Weight: 0.95 Pounds, Width: 0.5 Inches",12.95,https://images.isbndb.com/covers/20/05/9780377002005.jpg,Success,65.0,12.6
0-201-09665-X,Dr. Susan Love's Breast Book,"Love, Susan M., Lindsey, Karen",Da Capo Press,304.0,1990-01-21,"Medical, General",Hardcover,,en,Second Edition,"Height: 9.75 Inches, Length: 6.75 Inches, Weight: 1.9 Pounds, Width: 1.5 Inches",18.9,https://images.isbndb.com/covers/66/51/9780201096651.jpg,Success,79.0,12.6
0-449-90523-3,Silk Road,"Larsen, Jeanne",Ballantine Books,434.0,1990-07-08,,Paperback,,en,Reprint,"Height: 1.2 Inches, Length: 8.9 Inches, Weight: 1.1 Pounds, Width: 6 Inches",9.95,https://images.isbndb.com/covers/52/34/9780449905234.jpg,Success,81.0,12.6
0-913327-09-3,Sunbonnet Sue Makes Her First Quilt,"Laury, Jane Ray",Quilt Digest,24.0,1987,,Paperback,,en,,"Height: 8 Inches, Length: 8.25 Inches, Weight: 0.88 Pounds, Width: 0.25 Inches",4.95,https://images.isbndb.com/covers/70/98/9780913327098.jpg,Success,46.0,12.6
0-553-34905-8,Wisdom of the Heart: Working With Women's Dreams,"Signell, Karen A.",Bantam,325.0,1990-06-01,,Paperback,Karen A. Signell ; Foreword By Riane Eisler. A Bantam New Age Book--spine. Includes Bibliographical References (p. [305]-313) And Index.,en,,"Height: 8 Inches, Length: 5.25 Inches, Weight: 0.77 Pounds, Width: 0.75 Inches",14.95,https://images.isbndb.com/covers/90/54/9780553349054.jpg,Success,81.0,12.6
0-7456-0733-0,A Wollstonecraft anthology,"Wollstonecraft, Mary",Polity Press,269.0,1989,,Paperback,"Edited With An Introduction By Janet Todd. Reprint. Originally Published: Bloomington : Indiana University Press, 1977. Includes Bibliographical References (p. [267]-269).",en,Illustrated edition,,0.0,https://images.isbndb.com/covers/73/37/9780745607337.jpg,Success,40.0,12.6
0-919626-43-2,Pale as Real Ladies: Poems for Pauline Johnson,"Crate, Joan",Brick Books,76.0,1991-01-16,"In literatureJohnson, E. Pauline (Emily Pauline) , 1862-1913, Johnson, E. Pauline (Emily Pauline) , 1862-1913, PS8555 R38 P3 1991, C811/.54",Paperback,Joan Crate.,en,First Edition,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.32 Pounds, Width: 0.35 Inches",11.95,https://images.isbndb.com/covers/64/30/9780919626430.jpg,Success,52.0,12.6
0-8027-2466-3,Gift from the Sea: Twentieth Anniversary Edition,"Lindbergh, Anne Morrow",Christian Large Print,124.0,1985,,Paperback,,en,Large Print,"Height: 9 Inches, Length: 6 Inches, Weight: 0.7 Pounds, Width: 0.3 Inches",9.95,https://images.isbndb.com/covers/46/63/9780802724663.jpg,Success,16.0,12.6
0-393-30014-5,Poems of Anna Andreevna Akhmatova,"Akhmatova, Anna Andreevna",W. W. Norton & Company,136.0,1983-04-17,,Paperback,,en,First Edition,"Height: 8.2 Inches, Length: 5.3 Inches, Weight: 0.40344593946 Pounds, Width: 0.5 Inches",16.95,https://images.isbndb.com/covers/01/47/9780393300147.jpg,Success,52.0,12.6
0-312-02602-1,Love Alone: Eighteen Elegies for Rog,"Monette, Paul",St. Martin's,64.0,1988-11-15,,Paperback,,en,Copyright 1988,"Height: 8.26 Inches, Length: 5.44 Inches, Weight: 0.220462262 Pounds, Width: 0.23 Inches",8.95,https://images.isbndb.com/covers/60/28/9780312026028.jpg,Success,53.0,12.6
0-8306-3227-1,Stop Drinking and Start Living,"Schlesinger, Stephen E., Gillick, John J.",Human Services Inst,181.0,1989,,Paperback,,en,Subsequent,"Height: 8.5 Inches, Length: 5.25 Inches, Weight: 0.55 Pounds, Width: 0.5 Inches",7.95,https://images.isbndb.com/covers/22/75/9780830632275.jpg,Success,84.0,12.6
553-028418- 5,,,,,,,,,,,,,,Error,50.0,12.6
0-679-72865-1,Going Back to the River,"Hacker, Marilyn",Vintage,,1990-03-17,,Paperback,,en,,"Height: 8.25 Inches, Length: 5.5 inches, Weight: 0.4 Pounds, Width: 0.5 inches",0.0,https://images.isbndb.com/covers/86/58/9780679728658.jpg,Success,51.0,12.6
0-88378-135-2,"Black Men, Obsolete, Single, Dangerous?: The Afrikan American Family in Transition","Madhubuti, Haki R",Third World Press,276.0,1991-01-01,"African American Men, African American Families",Paperback,"<p>Here is the seminal and critical work that helped solidify Haki Madhubuti as an informed, passionate, and caring commentator on Black life, culture, relationships, and the development and stability of the Black community. In <I>Black Men</I>, an integral text for anyone with vested interest in building healthy, thriving Black families and communities, Madhubuti takes aim at some of the critical issues facing the African American family. He offers useful, pointed, practical solutions for overcoming these obstacles and challenges.</p>",en,1,"Height: 8.51 Inches, Length: 5.41 Inches, Weight: 1.7 Pounds, Width: 0.7 Inches",15.95,https://images.isbndb.com/covers/13/57/9780883781357.jpg,Success,68.0,12.6
0-08-037463-8,Between Worlds: Women Writers of Chinese Ancestry (Athene Series),,Pergamon,,1990,,Paperback,"Writing As Rebellion: Historical And Contextual Backgrounds -- Pioneers And Paradigms: The Eaton Sisters -- Focus On China: Stances Patriotic, Critical, And Nostalgic -- Focus On America: Seeking A Self And A Place -- Righting Wrongs By Writing Wrongs. By Amy Ling. Includes Bibliographical References (p. 191-199).",en,,Weight: 0.76 Pounds,0.0,https://images.isbndb.com/covers/46/35/9780080374635.jpg,Success,78.0,12.6
0-8306-9201-0,Rational Madness: The Paradox of Addiction,"Hoskins, Ray",Human Services Inst,274.0,1989,,Paperback,,en,,"Height: 8.25 Inches, Length: 5.5 Inches, Weight: 0.7 Pounds, Width: 0.75 Inches",14.95,https://images.isbndb.com/covers/20/19/9780830692019.jpg,Success,84.0,12.6
0-934770-97-2,The Wedding,"Ponce, Mary Helen",Arte Publico Pr,199.0,1989,"Mexican Americans, Mexican Americans--Fiction, PS3566.O586 W44 1989, 813/.54",Paperback,Mary Helen Ponce.,en,,"Height: 8.5 Inches, Length: 5.25 Inches, Weight: 0.55 Pounds, Width: 0.75 Inches",9.5,https://images.isbndb.com/covers/09/72/9780934770972.jpg,Success,37.0,12.6
0-933377-04-5,The Eating Hill,"Mitchell, Karen",The Eighth Mountain Press,96.0,1993-01-01,"Poetry, General",Paperback,,en,First Edition,"Height: 8.9 Inches, Length: 5.9 Inches, Weight: 0.38 Pounds, Width: 0.3 Inches",0.0,https://images.isbndb.com/covers/70/42/9780933377042.jpg,Success,57.0,12.6
0-415-01841-2,Reflecting on the Well of Loneliness (Heroines?),"O'Rourke, Rebecca",Routledge,146.0,1989,"Lesbians' Writings, English, History And Criticism, Social Isolation In Literature, Heroines In Literature, Lesbians In Literature",Paperback,Rebecca O'rourke. Spine Title: Rebecca O'rourke Reflecting On The Well Of Loneliness. Bibliography: P. 145-146.,en,,Weight: 0.3968320716 pounds,10.95,https://images.isbndb.com/covers/84/18/9780415018418.jpg,Success,69.0,12.6
0-394-89158-9,Nettie Jo's Friends,"McKissack, Patricia",Knopf Books for Young Readers,,1989-03-18,,Hardcover,,en,,"Height: 11 Inches, Length: 9.25 Inches, Weight: 0.85 Pounds, Width: 0.5 Inches",17.0,https://images.isbndb.com/covers/15/83/9780394891583.jpg,Success,22.0,12.6
0-88360-038-2,,,,,,,,,,,,,,Error,47.0,12.6
