ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
0-919573-53-3,Albuquerque: Coming back to the U.S.A,"Randall, Margaret",New Star Books,350.0,1986,"DiariesRandall, Margaret , 1936-, Authors, American, Authors, American--20th century--Diaries, Social conditions, PS3535.A56277 Z463 1986, 811/.54 B",Paperback,Margaret Randall.,en,,350 p. : ill. ; 22 cm.,1.99,https://images.isbndb.com/covers/35/36/9780919573536.jpg,Success,20,9.5
0-919143-37-7,My Mom is so Unusual,"Loewen, Iris",Pemmican Publications,32.0,2015-08-24,"Family &amp; Relationships, Family Relationships",Mass Market Paperback,,en,1,"Height: 9 Inches, Length: 8 Inches, Weight: 0.2 Pounds, Width: 0.3 Inches",0.0,https://images.isbndb.com/covers/33/71/9780919143371.jpg,Success,2,9.5
0-913990-25-6,No Immediate Danger: Prognosis for a Radioactive Earth,"Bertell, Rosalie",Book Pub Co,438.0,1986,,Paperback,,en,1,"Height: 8 Inches, Length: 5 Inches, Weight: 1.04940036712 Pounds, Width: 1.5 Inches",11.95,https://images.isbndb.com/covers/02/54/9780913990254.jpg,Success,42,9.5
0-913990-13-2,A Cooperative Method of Natural Birth Control,"Nofziger, Margaret",Book Publishing Company (TN),117.0,1979-01,,Paperback,,en,3rd,Weight: 0.45 Pounds,0.0,https://images.isbndb.com/covers/01/31/9780913990131.jpg,Success,42,9.5
0-312-88929-1,Ridin' the Moon in Texas,"Shange, Ntozake",St. Martins Press,81.0,1987,,Hardcover,,en,First Edition,Weight: 3 pounds,16.95,https://images.isbndb.com/covers/92/96/9780312889296.jpg,Success,52,9.5
0-934134-73-1,AIDS: A Catholic Call for Compassion,"Flynn, Eileen P.",Sheed & Ward,99.0,1985-11-01,"DoctrinesCatholic Church, Ethics, Medical, Christianity--psychology, Acquired Immunodeficiency Syndrome--psychology, AIDS (Disease)--Moral and ethical aspects, AIDS (Disease)--Social aspects, AIDS (Disease)--Religious aspects--Catholic Church, RC607.A26 F59 1985, WD 308 F648a 1985",Paperback,<p>Reacting to AIDS with panic and hysteria is unchristian.AIDS A Catholic Calll for Compassion points the way beyond fear to reason and charitable concern.</p>,en,First Edition,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.25 Pounds, Width: 0.5 Inches",6.95,https://images.isbndb.com/covers/47/36/9780934134736.jpg,Success,8,9.5
0-935834-51-6,Truth About Women: How Women Can Advance the World,"Bray, Caolyn H.",Rainbow Books,141.0,1986,"Women, Psychology, Feminism, Sex Role",Paperback,,en,First Edition,,8.5,https://images.isbndb.com/covers/45/12/9780935834512.jpg,Success,48,9.5
0-312-00189-4,Simone De Beauvoir: A Life...a Love Story (English and French Edition),"Francis, Claude, Gontier, Fernande",St Martins Pr,412.0,1987,"Beauvoir, Simone de , 1908-1986, Authors, French, Authors, French--20th century--Biography, Feminists, Feminists--France--Biography, Women authors, French, Women authors, French--20th century--Biography, PQ2603.E362 Z68313 1987, 848/.91409 B",Hardcover,"Claude Francis, Fernande Gontier ; Translated From The French By Lisa Nesselson. Includes Index. Bibliography: P. 365-401.",en,First Edition,Weight: 1.75 Pounds,1.99,https://images.isbndb.com/covers/18/96/9780312001896.jpg,Success,52,9.5
0-940721-00-7,The Dress: The Sharda Stories,"Wells, Jess",Inland Womensource,113.0,1989-03-01,"Women, Social Life And Customs, Fiction",Paperback,,en,1,,7.95,https://images.isbndb.com/covers/10/05/9780940721005.jpg,Success,19,9.5
0-312-00667-5,"Passionate politics: Essays, 1968-1986 : feminist theory in action","Bunch, Charlotte",St. Martin's Press,352.0,1987,,Paperback,,en,First Edition,Weight: 1.15 Pounds,1.99,https://images.isbndb.com/covers/66/79/9780312006679.jpg,Success,52,9.5
2 1- 592 -4 6,,,,,,,,,,,,,,Error,8,9.5
0-919143-32-6,In Search of April Raintree,Beatrice Culleton,Pemmican Pubns,228.0,1983,"Métis Women, Foster Home Care, Sisters",Paperback,,en,,Weight: 0.3 Pounds,6.95,https://images.isbndb.com/covers/33/26/9780919143326.jpg,Success,2,9.5
