ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
,,,,,,,,,,,,,,Error,,14.5
1-877727-15-6,Secret Weavers: Stories of the Fantastic by Women Writers of Argentina and Chile,,White Pine Pr,,1991,,Paperback,,en,,"Height: 8.75 Inches, Length: 5.75 Inches, Width: 1.25 Inches",15.0,https://images.isbndb.com/covers/71/53/9781877727153.jpg,Success,94.0,14.5
0-14-014908-2,When a Woman's Body Says No to Sex: Understanding and Overcoming Vaginismus,"Valins, Linda",Penguin Group USA,272.0,1992,,Paperback,,en,,"Height: 7.75 Inches, Length: 5.25 Inches, Weight: 0.6 Pounds, Width: 0.5 Inches",10.0,https://images.isbndb.com/covers/90/81/9780140149081.jpg,Success,108.0,14.5
0-921586-25-6,The Burial Ground: A Novella,"Holdstock, Pauline",New Star Books,98.0,1991,,Paperback,Pauline Holdstock.,en,Canadian First,"Height: 8.25 Inches, Length: 5 Inches, Width: 0.25 Inches",14.0,https://images.isbndb.com/covers/62/58/9780921586258.jpg,Success,91.0,14.5
0-8147-3487-1,"Paint It Today (The Cutting Edge: Lesbian Life and Literature Series, 12)",,NYU Press,288.0,1992,"PS3507.O726 P28 1992, 813/.52",Hardcover,H.d. ; Edited And With An Introduction By Cassandra Laity. Includes Bibliographical References.,en,,"Height: 8.75 Inches, Length: 5.75 Inches, Weight: 0.35053499658 Pounds, Width: 0.5 Inches",85.0,https://images.isbndb.com/covers/48/72/9780814734872.jpg,Success,59.0,14.5
0-472-06475-4,Period Piece (Ann Arbor Paperbacks),"Raverat, Gwen",University of Michigan Press,290.0,1991-10-07,"Raverat, Gwen , 1885-1957, Wood-engravers, Wood-engravers--England--Biography, Social life and customs, NE1147.6.R28 A2 1991, 769.92 B",Paperback,"To celebrate its 50 years in print, we are publishing this classic and much loved work as an Audio Book. Gwen Raverat, the granddaughter of Charles Darwin, described this memoir of her late Victorian Cambridge childhood as a drawing of the world when I was young. The observations of the small incidents in her life and of her eccentric Darwin family, recorded here in her inimitably charming prose reveal an artist's careful eye. Vividly evoking a bygone era, it is a shrewd, touching and comic portrait of her childhood, her eccentric relations, and of Cambridge academic society.
<p>Recorded on 11 cassettes, Anne Harvey brings out the wit and charm of the author and captures the essence of this delightful cameo of a privileged childhood in the Victorian era.</p>",en,REPRINT,"Height: 8 Inches, Length: 5.25 Inches, Weight: 0.73413933246 Pounds, Width: 1 Inches",26.95,https://images.isbndb.com/covers/47/55/9780472064755.jpg,Success,46.0,14.5
0-914610-97-X,Imaginary Income,"Owen, Maureen",Hanging Loose Press,47.0,1991,Literary Collections,Paperback,,en,1st,"Height: 9.25 Inches, Length: 6.25 Inches, Width: 0.25 Inches",9.0,https://images.isbndb.com/covers/09/77/9780914610977.jpg,Success,93.0,14.5
0-571-14472-1,Faber Book of Gay Short Fiction,,Faber & Faber,586.0,1991,"Short stories, American, Short stories, English, Gay men, Gay men--Fiction, Male homosexuality, Male homosexuality--Fiction, Gays' writings, American, Gays' writings, English, Gay men's writings, English, Gay men's writings, American, PR1309.H57 F33 1991",Hardcover,The Pupil / Henry James -- Concerning The Eccentricities Of Cardinal Pirelli / Ronald Firbank -- Dr Woolacott / E.m. Forster -- When I Was Thirteen / Denton Welch -- Mr Lancaster / Christopher Isherwood -- In Praise Of Vespasian / Alfred Chester -- The Wild Boys / William Burroughs -- Pages From An Abandoned Journal / Gore Vidal -- Two On A Party / Tennessee Williams -- Pages From Cold Point / Paul Bowles -- Dawn / James Purdy -- From Just Above My Head / James Baldwin -- Darts / Tom Wakefield -- Good Fortune / Simon Burt -- From Trespasses / Paul Bailey -- The Secret Of The Gentiles / David Plante -- Skinned Alive / Edmund White -- Sunday Morning : Key West / Andrew Holleran -- Suddenly Home / Armistead Maupin -- Southern Skies / David Malouf -- The Changes Of Those Terrible Years / Adam Mars-jones -- From The Swimming-pool Library / Alan Hollinghurst -- The List / Patrick Gale -- From The Novice / Timothy Ireland -- Three Wedding Ceremonies / Neil Bartlett -- When You Grow To Adultery / David Leavitt -- From Native / William Haywood Henderson -- Denny Smith / Robert Gluck -- Bm / James M. Estep -- Another Life / Lev Raphael -- My Mark / Dennis Cooper -- Forced Use / Allan Gurganus. Edited By Edmund White.,en,First Edition,"Height: 8.75 Inches, Length: 5.75 Inches, Weight: 1.79897205792 Pounds, Width: 2.25 Inches",0.0,https://images.isbndb.com/covers/47/23/9780571144723.jpg,Success,77.0,14.5
0-940450-71-2,"Cather: Stories, Poems, and Other Writings (Library of America)","Cather, Willa, O'Brien, Sharon",Library of America,1039.0,1992-03-01,"Social Life And Customs, Fiction, Literary Collections",Hardcover,"<p>The library of America is dedicated to publishing America's best and most significant writing in handsome, enduring volumes, featuring authoritative texts. Hailed as the ""finest-looking, longest-lasting editions ever made"" (The New Republic), Library of America volumes make a fine gift for any occasion. Now, with exactly one hundred volumes to choose from, there is a perfect gift for everyone.</p>",en,First Edition,"Height: 8.16 Inches, Length: 5.18 Inches, Weight: 1.47930177802 Pounds, Width: 1.27 Inches",30.89,https://images.isbndb.com/covers/07/14/9780940450714.jpg,Success,108.0,14.5
0-689-11968-2,Middle Passage,Charles Johnson,Atheneum,209.0,1990-07-11,"Slave trade, Slave trade--Fiction, African Americans, African Americans--Fiction, PS3560.O3735 M5 1990, 813/.54",Hardcover,A Freed Slave Escapes His Bad Debts In New Orleans By Stowing Away On A Slave Ship En Route To Africa. Charles Johnson.,en,First Edition,"Height: 9 Inches, Length: 5.75 Inches, Weight: 0.85318895394 Pounds, Width: 1 Inches",0.0,https://images.isbndb.com/covers/96/82/9780689119682.jpg,Success,72.0,14.5
